=== Soft Spaces Phase 2 v25.18 PERTURBATIVE PATH-ORGANIZATION ANALYSIS ===
Targets: [155, 165, 175, 183] | local radius=+/-10 | step=2
Geometry: 8Q source -> 9Q target | branches=2
Seed blocks: 4 x 25 = 100 | base_seed=18301000 | stride=1000000
Perturb reps/seed=3 | dH_terms=5 | resolvent regularizer=0.001

Theory-derived method change:
  Keep the Q-space path distribution instead of collapsing immediately to one susceptibility scalar.
  X-path weights: w_m ~ ||<m|V|P>||^2 / [(Eref-E_m)^2 + reg^2].
  PR measures effective number of contributing Q states; entropy measures spread; top1/top5 measure concentration.
  Sigma cancellation ratios measure destructive/constructive organization of signed virtual paths.
  Cancellation near 0 = strong cancellation; near 1 = coherent reinforcement.
  v25.18 is exploratory/structural: NO success gate, no continuation score, no fitted weights.

Target summary against immediate REAL background:
target | units | PR T | PR bg | dPR | H T | H bg | dH | top1 T | top1 bg | dtop1 | Cmat T | Cmat bg | dCmat | NULL-REAL PR | NULL-REAL H | NULL-REAL Cmat | controls
   155 |     4 |  44.319 |  43.907 |  +0.428 |  3.9424 |  3.9407 | +0.0047 |  0.04810 |  0.04897 | -0.00090 |  0.5269 |  0.5263 | +0.0011 |      -1.2088 |    -0.02133 |       -0.168053 | [145, 147, 149, 151, 153, 157, 159, 161, 163]
   165 |     4 |  44.262 |  43.940 |  +0.307 |  3.9433 |  3.9422 | -0.0005 |  0.04929 |  0.04938 | +0.00033 |  0.5295 |  0.5304 | +0.0012 |      -0.8406 |    -0.01889 |       -0.176217 | [157, 159, 161, 163, 167, 169, 171, 173]
   175 |     4 |  43.586 |  43.997 |  -0.411 |  3.9426 |  3.9436 | +0.0005 |  0.04947 |  0.04865 | +0.00082 |  0.5298 |  0.5285 | +0.0013 |      -0.3702 |    -0.02345 |       -0.185773 | [167, 169, 171, 173, 177, 179, 181, 185]
   183 |     4 |  44.170 |  44.264 |  -0.214 |  3.9448 |  3.9443 | +0.0015 |  0.04832 |  0.04845 | -0.00025 |  0.5268 |  0.5288 | +0.0002 |      -1.0837 |    -0.02340 |       -0.173442 | [173, 177, 179, 181, 185, 187, 189, 191, 193]

Detailed candidate x batch units:
k | batch | model | n | PR | entropy | top1 | top5 | cancel_trace | cancel_matrix | Sigma signed trace | Sigma abs trace mass
 145 |     1 | NULL |  150 |   43.380 |  3.92112 |  0.04865 |  0.19677 |     0.530020 |      0.377436 |     +1.816678e-04 |        4.690520e-03
 145 |     1 | REAL |  150 |   44.170 |  3.94254 |  0.04778 |  0.19977 |     0.711442 |      0.505256 |     +1.032844e-03 |        3.706396e-03
 145 |     2 | NULL |  150 |   43.789 |  3.93201 |  0.04726 |  0.19760 |     0.472911 |      0.341689 |     -6.065940e-04 |        4.900664e-03
 145 |     2 | REAL |  150 |   43.692 |  3.93541 |  0.05031 |  0.20216 |     0.746625 |      0.533824 |     +3.571004e-04 |        3.761454e-03
 145 |     3 | NULL |  150 |   42.433 |  3.91032 |  0.05162 |  0.20513 |     0.499258 |      0.358924 |     -7.750358e-04 |        4.627628e-03
 145 |     3 | REAL |  150 |   43.314 |  3.93290 |  0.04957 |  0.20243 |     0.735292 |      0.519935 |     +3.101774e-04 |        3.865226e-03
 145 |     4 | NULL |  150 |   43.728 |  3.93400 |  0.04969 |  0.19992 |     0.446736 |      0.322472 |     +5.777200e-04 |        5.049452e-03
 145 |     4 | REAL |  150 |   45.633 |  4.05521 |  0.04875 |  0.19125 |     0.787155 |      0.556603 |     +1.351554e-03 |        4.042560e-03
 147 |     1 | NULL |  150 |   43.216 |  3.92734 |  0.04938 |  0.20372 |     0.526508 |      0.378586 |     +1.162233e-04 |        4.761698e-03
 147 |     1 | REAL |  150 |   43.777 |  3.94236 |  0.04944 |  0.19864 |     0.714269 |      0.507045 |     +1.009290e-03 |        3.681636e-03
 147 |     2 | NULL |  150 |   43.506 |  3.92249 |  0.04922 |  0.20029 |     0.481688 |      0.343944 |     -5.073456e-04 |        4.757675e-03
 147 |     2 | REAL |  150 |   44.037 |  3.94061 |  0.05005 |  0.20268 |     0.747633 |      0.528891 |     +3.797359e-04 |        3.785394e-03
 147 |     3 | NULL |  150 |   42.848 |  3.91728 |  0.04995 |  0.20357 |     0.500472 |      0.362108 |     -6.281303e-04 |        4.606677e-03
 147 |     3 | REAL |  150 |   44.090 |  3.94543 |  0.04852 |  0.19802 |     0.731537 |      0.517325 |     +3.128757e-04 |        3.883726e-03
