=== Soft Spaces Phase 2 v25.4 CONTINUATION RANKER ===
Source anchor: 157-158 at 8Q -> search all legal successor coordinates at 9Q
Seeds: 1 x 25 | base_seed=3301000 | target candidates REAL=12619 NULL=12619
Static-first score: C = wA*A + wM*M + wR*R - wL*L - wD*D + wB*B + wG*G
A=source-anchor feature compatibility; M=REAL/NULL static contrast; R=seed recurrence; L=REAL leakage; D=feature drift; B=batch recurrence; G=descendant-branch balance.
Dynamic retention and logical purity are intentionally deferred to Stage 2 for the top-ranked successors.
Weights: {'A_anchor': 0.25, 'M_static': 0.3, 'R_seed': 0.15, 'L_leak': 0.05, 'D_drift': 0.1, 'B_batch': 0.05, 'G_branch': 0.1}
Source-anchor profile hits: 25
Original source coordinate 157 rank: 105 / 255

Rank | source_k | target centers | C | A | M | R | L | D | B | G | observations
   1 |       17 |        (17, 273) |  0.4286 |  0.057 |  0.602 |  1.000 |  0.099 |  0.614 |  1.000 |  1.000 |   50
   2 |       30 |        (30, 286) |  0.4279 |  0.043 |  0.601 |  1.000 |  0.099 |  0.582 |  1.000 |  1.000 |   50
   3 |       78 |        (78, 334) |  0.4250 |  0.051 |  0.582 |  1.000 |  0.099 |  0.573 |  1.000 |  1.000 |   50
   4 |      160 |       (160, 416) |  0.4240 |  0.052 |  0.577 |  1.000 |  0.099 |  0.573 |  1.000 |  1.000 |   50
   5 |       40 |        (40, 296) |  0.4230 |  0.059 |  0.577 |  1.000 |  0.099 |  0.600 |  1.000 |  1.000 |   50
   6 |       39 |        (39, 295) |  0.4224 |  0.067 |  0.563 |  1.000 |  0.099 |  0.583 |  1.000 |  1.000 |   50
   7 |        5 |         (5, 261) |  0.4214 |  0.048 |  0.575 |  1.000 |  0.099 |  0.580 |  1.000 |  1.000 |   50
   8 |       16 |        (16, 272) |  0.4211 |  0.051 |  0.562 |  1.000 |  0.099 |  0.552 |  1.000 |  1.000 |   50
   9 |      180 |       (180, 436) |  0.4197 |  0.051 |  0.552 |  1.000 |  0.099 |  0.535 |  1.000 |  1.000 |   50
  10 |      194 |       (194, 450) |  0.4195 |  0.044 |  0.562 |  1.000 |  0.099 |  0.552 |  1.000 |  1.000 |   50
  11 |      161 |       (161, 417) |  0.4192 |  0.051 |  0.585 |  1.000 |  0.099 |  0.639 |  1.000 |  1.000 |   50
  12 |      132 |       (132, 388) |  0.4189 |  0.048 |  0.544 |  1.000 |  0.099 |  0.512 |  1.000 |  1.000 |   50
  13 |      253 |       (253, 509) |  0.4188 |  0.046 |  0.545 |  1.000 |  0.099 |  0.511 |  1.000 |  1.000 |   50
  14 |      131 |       (131, 387) |  0.4183 |  0.048 |  0.551 |  1.000 |  0.099 |  0.541 |  1.000 |  1.000 |   50
  15 |       76 |        (76, 332) |  0.4181 |  0.043 |  0.569 |  1.000 |  0.099 |  0.583 |  1.000 |  1.000 |   50
  16 |       77 |        (77, 333) |  0.4181 |  0.047 |  0.563 |  1.000 |  0.099 |  0.577 |  1.000 |  1.000 |   50
  17 |      236 |       (236, 492) |  0.4177 |  0.062 |  0.561 |  1.000 |  0.099 |  0.611 |  1.000 |  1.000 |   50
  18 |      187 |       (187, 443) |  0.4175 |  0.048 |  0.550 |  1.000 |  0.099 |  0.543 |  1.000 |  1.000 |   50
  19 |      162 |       (162, 418) |  0.4173 |  0.056 |  0.580 |  1.000 |  0.099 |  0.656 |  1.000 |  1.000 |   50
  20 |        4 |         (4, 260) |  0.4166 |  0.055 |  0.550 |  1.000 |  0.099 |  0.574 |  1.000 |  1.000 |   50
  21 |       11 |        (11, 267) |  0.4157 |  0.046 |  0.547 |  1.000 |  0.099 |  0.549 |  1.000 |  1.000 |   50
  22 |      101 |       (101, 357) |  0.4157 |  0.045 |  0.546 |  1.000 |  0.099 |  0.544 |  1.000 |  1.000 |   50
  23 |       71 |        (71, 327) |  0.4147 |  0.043 |  0.546 |  1.000 |  0.099 |  0.549 |  1.000 |  1.000 |   50
  24 |       67 |        (67, 323) |  0.4146 |  0.043 |  0.543 |  1.000 |  0.099 |  0.539 |  1.000 |  1.000 |   50
  25 |      140 |       (140, 396) |  0.4142 |  0.047 |  0.553 |  1.000 |  0.099 |  0.584 |  1.000 |  1.000 |   50

=== End of v25.4 continuation ranker ===
