=== Soft Spaces Phase 2 v25.5.1 ETA SWEEP + OVERLAP-BASED SUBSPACE TRACKING ===
Fixed candidates: [67, 193, 180, 192, 131, 251, 157, 160, 165, 0, 114] | 8Q source geometry -> 9Q target (2 descendant branches)
Seeds=25 | perturb reps/seed=3 | etas=[0.0001, 0.0003, 0.001, 0.003, 0.01] | dH_terms=5 | chi_regularizer=0.001

v25.5.1 change: the perturbed 2D subspace is tracked by MAXIMUM PROJECTOR OVERLAP, not by closest energy pair.
For each candidate and eta: higher ΔOv(R-N) is favorable; higher Δchi(N-R) and ΔK(N-R) mean stronger REAL-specific perturbative protection.

source_k | target centers | eta | hits R/N | Ov_R | Ov_N | ΔOv(R-N) | chi_R | chi_N | Δchi(N-R) | K_R | K_N | ΔK(N-R)
      67 |        (67, 323) |  1.0e-04 |  150/150  |  0.0724 |  0.0725 |    -0.0001 |  2.4652 |  2.6913 |     +0.2261 |  0.0624 |  0.0624 |   -0.0001
      67 |        (67, 323) |  3.0e-04 |  150/150  |  0.0731 |  0.0721 |    +0.0010 |  2.4652 |  2.6913 |     +0.2261 |  0.0624 |  0.0624 |   -0.0001
      67 |        (67, 323) |  1.0e-03 |  150/150  |  0.0719 |  0.0701 |    +0.0017 |  2.4652 |  2.6913 |     +0.2261 |  0.0624 |  0.0624 |   -0.0001
      67 |        (67, 323) |  3.0e-03 |  150/150  |  0.0708 |  0.0705 |    +0.0003 |  2.4652 |  2.6913 |     +0.2261 |  0.0624 |  0.0624 |   -0.0001
      67 |        (67, 323) |  1.0e-02 |  150/150  |  0.0698 |  0.0698 |    -0.0001 |  2.4652 |  2.6913 |     +0.2261 |  0.0624 |  0.0624 |   -0.0001
     193 |       (193, 449) |  1.0e-04 |  150/150  |  0.0723 |  0.0698 |    +0.0025 |  2.3710 |  2.6858 |     +0.3148 |  0.0624 |  0.0624 |   -0.0001
     193 |       (193, 449) |  3.0e-04 |  150/150  |  0.0713 |  0.0698 |    +0.0015 |  2.3710 |  2.6858 |     +0.3148 |  0.0624 |  0.0624 |   -0.0001
     193 |       (193, 449) |  1.0e-03 |  150/150  |  0.0699 |  0.0699 |    -0.0000 |  2.3710 |  2.6858 |     +0.3148 |  0.0624 |  0.0624 |   -0.0001
     193 |       (193, 449) |  3.0e-03 |  150/150  |  0.0728 |  0.0701 |    +0.0027 |  2.3710 |  2.6858 |     +0.3148 |  0.0624 |  0.0624 |   -0.0001
     193 |       (193, 449) |  1.0e-02 |  150/150  |  0.0701 |  0.0700 |    +0.0001 |  2.3710 |  2.6858 |     +0.3148 |  0.0624 |  0.0624 |   -0.0001
