=== Soft Spaces Phase 3.1 v30.2 COMPLETE EIGENSPACE HOTSPOT SCAN ===
8Q; term counts = [5, 7, 9, 11]
Primary working model = 11 terms
Local energy-order neighbourhood radius = 5 eigenspaces

=== CASE SUMMARY ===
seed | terms | groups | group min:max | scored | positive | top prominence
25042000 |    11 |     64 |    4:4    |     64 |       32 | +0.632689923
25042001 |    11 |     32 |    8:8    |     32 |       16 | +0.293291777
25042002 |    11 |     64 |    4:4    |     64 |       32 | +0.317501801
25042003 |    11 |     64 |    4:4    |     64 |       33 | +0.435642291
25042004 |    11 |     64 |    4:4    |     64 |       31 | +0.413099271
25042005 |    11 |     32 |    8:8    |     32 |       17 | +0.345170174
25042006 |    11 |     64 |    4:4    |     64 |       35 | +0.468964227
25042007 |    11 |     32 |    8:8    |     32 |       16 | +0.280337799
25042008 |    11 |     64 |    4:4    |     64 |       31 | +0.518936595
25042009 |    11 |     32 |    8:8    |     32 |       17 | +0.497550798
25042010 |    11 |     32 |    8:8    |     32 |       16 | +0.397637724
25042011 |    11 |     32 |    8:8    |     32 |       17 | +0.409481225

=== SUMMARY BY TERM COUNT ===
terms | median groups | median max-group | median scored | median positive | median top prominence
    5 |           nan |              nan |           nan |             nan | +nan
    7 |           nan |              nan |           nan |             nan | +nan
    9 |           nan |              nan |           nan |             nan | +nan
   11 |          48.0 |              6.0 |          48.0 |            24.0 | +0.411290248

=== TOP 10 HOTSPOTS FOR PRIMARY 11-TERM MODEL ===
seed | rank | group | eig-index range | size | energy | robust | prominence
25042000 |    1 |    41 | 164:167 |    4 | +0.635388301 | +0.336472907 | +0.632689923
25042000 |    2 |    22 |  88:91  |    4 | -0.635388301 | +0.319121972 | +0.598093983
25042000 |    3 |    57 | 228:231 |    4 | +1.966744402 | +0.363028674 | +0.463658909
25042000 |    4 |    10 |  40:43  |    4 | -1.676442004 | +0.379301237 | +0.463432448
25042000 |    5 |     6 |  24:27  |    4 | -1.966744402 | +0.347017428 | +0.431148640
25042000 |    6 |    21 |  84:87  |    4 | -0.652364120 | +0.102198218 | +0.344734247
25042000 |    7 |    42 | 168:171 |    4 | +0.652364120 | +0.096564123 | +0.338404157
25042000 |    8 |    53 | 212:215 |    4 | +1.676442004 | +0.227011637 | +0.318034735
25042000 |    9 |    61 | 244:247 |    4 | +2.843949411 | +0.167412418 | +0.304901898
25042000 |   10 |    49 | 196:199 |    4 | +1.433452795 | +0.195181521 | +0.290635413
25042001 |    1 |    12 |  96:103 |    8 | -0.520032371 | -0.013208337 | +0.293291777
25042001 |    2 |    19 | 152:159 |    8 | +0.520032371 | -0.047317219 | +0.246858583
25042001 |    3 |    27 | 216:223 |    8 | +2.758292510 | +0.134829523 | +0.186702241
25042001 |    4 |    13 | 104:111 |    8 | -0.440113700 | -0.057900749 | +0.183967909
25042001 |    5 |     4 |  32:39  |    8 | -2.758292510 | +0.094921558 | +0.174573274
25042001 |    6 |     1 |   8:15  |    8 | -3.384229800 | +0.202530940 | +0.171027022
25042001 |    7 |    18 | 144:151 |    8 | +0.440113700 | -0.043588109 | +0.164406607
25042001 |    8 |     2 |  16:23  |    8 | -3.217664523 | +0.129827054 | +0.139602688
25042001 |    9 |    30 | 240:247 |    8 | +3.384229800 | +0.162349991 | +0.138922371
25042001 |   10 |    20 | 160:167 |    8 | +0.822557872 | -0.091285826 | +0.116708891
25042002 |    1 |    26 | 104:107 |    4 | -1.320022905 | +0.068297615 | +0.317501801
25042002 |    2 |    48 | 192:195 |    4 | +1.900631732 | +0.206299795 | +0.260804776
25042002 |    3 |    15 |  60:63  |    4 | -1.900631732 | +0.166129202 | +0.234495315
25042002 |    4 |    37 | 148:151 |    4 | +1.320022905 | -0.029516283 | +0.201640763
25042002 |    5 |    33 | 132:135 |    4 | +1.010686757 | -0.112512581 | +0.180375751
25042002 |    6 |    57 | 228:231 |    4 | +2.552457966 | +0.313652177 | +0.179063843
25042002 |    7 |    16 |  64:67  |    4 | -1.881661992 | +0.102046422 | +0.170412534
25042002 |    8 |    14 |  56:59  |    4 | -1.900755905 | +0.091937146 | +0.160303259
25042002 |    9 |    46 | 184:187 |    4 | +1.881660394 | +0.104904343 | +0.159409324
25042002 |   10 |    47 | 188:191 |    4 | +1.881661992 | +0.093533005 | +0.148037986
25042003 |    1 |    53 | 212:215 |    4 | +2.625743239 | +0.374447761 | +0.435642291
25042003 |    2 |    10 |  40:43  |    4 | -2.625743239 | +0.299511539 | +0.416695933
25042003 |    3 |    61 | 244:247 |    4 | +4.483076472 | +0.309732805 | +0.232486625
25042003 |    4 |    23 |  92:95  |    4 | -0.814503592 | +0.144262603 | +0.225416803
25042003 |    5 |     2 |   8:11  |    4 | -4.483076472 | +0.272870229 | +0.218189519
25042003 |    6 |    26 | 104:107 |    4 | -0.628229577 | +0.095303243 | +0.203030414
25042003 |    7 |    40 | 160:163 |    4 | +0.814503592 | +0.079792024 | +0.201207558
25042003 |    8 |    47 | 188:191 |    4 | +1.768181366 | +0.024298014 | +0.195494491
25042003 |    9 |    41 | 164:167 |    4 | +0.860011180 | +0.023593683 | +0.189894063
25042003 |   10 |    11 |  44:47  |    4 | -2.587630624 | +0.052683123 | +0.182516697
25042004 |    1 |    36 | 144:147 |    4 | +0.128927532 | +0.378551727 | +0.413099271
25042004 |    2 |    46 | 184:187 |    4 | +0.972438859 | +0.270962297 | +0.384005314
25042004 |    3 |     2 |   8:11  |    4 | -2.603895411 | +0.576946398 | +0.358910643
25042004 |    4 |    27 | 108:111 |    4 | -0.128927532 | +0.293993774 | +0.333659640
25042004 |    5 |    17 |  68:71  |    4 | -0.972438859 | +0.232326970 | +0.309293935
25042004 |    6 |    61 | 244:247 |    4 | +2.603895411 | +0.526138958 | +0.300727906
25042004 |    7 |    41 | 164:167 |    4 | +0.517058206 | +0.245150112 | +0.286020849
25042004 |    8 |    26 | 104:107 |    4 | -0.153429971 | +0.198124946 | +0.266193716
25042004 |    9 |    10 |  40:43  |    4 | -2.044332664 | +0.145436354 | +0.266103922
25042004 |   10 |    22 |  88:91  |    4 | -0.517058206 | +0.235185144 | +0.262009109
