seed,family,metric,spearman,perm_p_one_sided,n_pairs
25042000,dephasing,coherence_obs,0.4567448680351906,0.005497251374312844,32
25042000,dephasing,coherence_excess,0.3288123167155425,0.033483258370814596,32
25042000,dephasing,coherence_z,0.3911290322580645,0.013993003498250875,32
25042000,transverse,coherence_obs,0.7093108504398825,0.0004997501249375312,32
25042000,transverse,coherence_excess,0.4043255131964809,0.010994502748625687,32
25042000,transverse,coherence_z,0.33394428152492667,0.031484257871064465,32
25042001,dephasing,coherence_obs,0.0823529411764706,0.3698150924537731,16
25042001,dephasing,coherence_excess,0.044117647058823525,0.41579210394802596,16
25042001,dephasing,coherence_z,-0.02058823529411765,0.5262368815592204,16
25042001,transverse,coherence_obs,0.39999999999999997,0.06896551724137931,16
25042001,transverse,coherence_excess,0.35000000000000003,0.09245377311344327,16
25042001,transverse,coherence_z,0.24705882352941175,0.18140929535232383,16
25042002,dephasing,coherence_obs,0.07038123167155425,0.3328335832083958,32
25042002,dephasing,coherence_excess,-0.005865102639296188,0.5162418790604698,32
25042002,dephasing,coherence_z,-0.035923753665689145,0.5732133933033483,32
25042002,transverse,coherence_obs,0.14772727272727273,0.2128935532233883,32
25042002,transverse,coherence_excess,-0.07881231671554251,0.6846576711644178,32
25042002,transverse,coherence_z,-0.043621700879765385,0.6026986506746627,32
25042003,dephasing,coherence_obs,0.4241202346041055,0.0069965017491254375,32
25042003,dephasing,coherence_excess,0.35593841642228735,0.0239880059970015,32
25042003,dephasing,coherence_z,0.35153958944281516,0.022988505747126436,32
25042003,transverse,coherence_obs,0.6019061583577713,0.0004997501249375312,32
25042003,transverse,coherence_excess,0.3779325513196481,0.014492753623188406,32
25042003,transverse,coherence_z,0.3936950146627565,0.012993503248375811,32
25042004,dephasing,coherence_obs,0.35923753665689145,0.01999000499750125,32
25042004,dephasing,coherence_excess,0.32954545454545453,0.026986506746626688,32
25042004,dephasing,coherence_z,0.29398826979472137,0.05747126436781609,32
25042004,transverse,coherence_obs,0.4915689149560116,0.00399800099950025,32
25042004,transverse,coherence_excess,0.5238269794721407,0.0009995002498750624,32
25042004,transverse,coherence_z,0.4930351906158357,0.0024987506246876563,32
25042005,dephasing,coherence_obs,0.28529411764705886,0.14392803598200898,16
25042005,dephasing,coherence_excess,0.5705882352941177,0.009995002498750625,16
25042005,dephasing,coherence_z,0.5088235294117647,0.027486256871564217,16
25042005,transverse,coherence_obs,0.6852941176470588,0.0024987506246876563,16
25042005,transverse,coherence_excess,0.36470588235294116,0.07896051974012994,16
25042005,transverse,coherence_z,0.1323529411764706,0.3053473263368316,16
25042006,dephasing,coherence_obs,0.5692815249266862,0.0004997501249375312,32
25042006,dephasing,coherence_excess,0.5766129032258064,0.0004997501249375312,32
25042006,dephasing,coherence_z,0.595307917888563,0.0004997501249375312,32
25042006,transverse,coherence_obs,-0.05535190615835778,0.6221889055472264,32
25042006,transverse,coherence_excess,0.1502932551319648,0.20539730134932535,32
25042006,transverse,coherence_z,0.18841642228739003,0.1629185407296352,32
25042007,dephasing,coherence_obs,0.3058823529411765,0.11894052973513243,16
25042007,dephasing,coherence_excess,0.3058823529411765,0.12843578210894552,16
25042007,dephasing,coherence_z,0.22647058823529412,0.19640179910044978,16
25042007,transverse,coherence_obs,0.0588235294117647,0.42528735632183906,16
25042007,transverse,coherence_excess,-0.08529411764705883,0.617191404297851,16
25042007,transverse,coherence_z,-0.17352941176470588,0.7381309345327336,16
25042008,dephasing,coherence_obs,0.19208211143695011,0.1539230384807596,32
25042008,dephasing,coherence_excess,0.3354105571847507,0.031984007996002,32
25042008,dephasing,coherence_z,0.3698680351906158,0.01999000499750125,32
25042008,transverse,coherence_obs,0.593108504398827,0.0004997501249375312,32
25042008,transverse,coherence_excess,0.43108504398826974,0.010494752623688156,32
25042008,transverse,coherence_z,0.3947947214076246,0.012993503248375811,32
25042009,dephasing,coherence_obs,0.6764705882352942,0.004497751124437781,16
25042009,dephasing,coherence_excess,0.7823529411764706,0.0004997501249375312,16
25042009,dephasing,coherence_z,0.5,0.026986506746626688,16
25042009,transverse,coherence_obs,0.17058823529411765,0.2588705647176412,16
25042009,transverse,coherence_excess,0.25,0.1924037981009495,16
25042009,transverse,coherence_z,0.10294117647058824,0.34182908545727136,16
25042010,dephasing,coherence_obs,-0.02941176470588235,0.5507246376811594,16
25042010,dephasing,coherence_excess,0.06176470588235294,0.4197901049475262,16
25042010,dephasing,coherence_z,0.07647058823529412,0.38780609695152424,16
25042010,transverse,coherence_obs,0.7617647058823529,0.0014992503748125937,16
25042010,transverse,coherence_excess,0.8470588235294119,0.0004997501249375312,16
25042010,transverse,coherence_z,0.8558823529411764,0.0009995002498750624,16
25042011,dephasing,coherence_obs,0.31176470588235294,0.11644177911044477,16
25042011,dephasing,coherence_excess,0.21176470588235297,0.2193903048475762,16
25042011,dephasing,coherence_z,0.09411764705882353,0.37681159420289856,16
25042011,transverse,coherence_obs,0.7176470588235294,0.0029985007496251873,16
25042011,transverse,coherence_excess,0.7823529411764706,0.0014992503748125937,16
25042011,transverse,coherence_z,0.6264705882352941,0.004997501249375313,16
