version,seed,family,validation_pair_rank,pair_prominence,sign,group,delta,rel_fro_error_dSigma,analytic_R_E,fd_R_E,analytic_D_signed,fd_D_signed,abs_error_D_signed,sigma0_fro
v32.17,25042000,dephasing,1,-0.751304197451854,minus,27,0.0001,4.894338119820074e-06,0.23775794372909947,0.23775907018081263,-1.3504475315784248e-12,8.43769498715119e-11,8.572739740309032e-11,1.437455880210927
v32.17,25042000,dephasing,1,-0.751304197451854,minus,27,0.0003,4.405536936424197e-05,0.23775794372909947,0.23776808314210796,-1.3504475315784248e-12,6.291263806209221e-11,6.426308559367064e-11,1.437455880210927
v32.17,25042000,dephasing,1,-0.751304197451854,minus,27,0.001,0.0004892802044750406,0.23775794372909947,0.23787055020731418,-1.3504475315784248e-12,9.769962616701378e-11,9.90500736985922e-11,1.437455880210927
v32.17,25042000,dephasing,1,-0.751304197451854,minus,27,0.003,0.004385782177931717,0.23775794372909947,0.23876714068401225,-1.3504475315784248e-12,-4.033810322804735e-11,3.898765569646893e-11,1.437455880210927
v32.17,25042000,dephasing,1,-0.751304197451854,plus,36,0.0001,4.895561707746894e-06,0.2377579437316945,0.23775907049269726,2.4793014863355722e-12,-5.88418203051333e-10,5.908975045376685e-10,1.4374558802109367
v32.17,25042000,dephasing,1,-0.751304197451854,plus,36,0.0003,4.405533291940604e-05,0.2377579437316945,0.23776808314621187,2.4793014863355722e-12,1.1324274851176598e-10,1.1076344702543041e-10,1.4374558802109367
v32.17,25042000,dephasing,1,-0.751304197451854,plus,36,0.001,0.0004892803875689299,0.2377579437316945,0.23787055024700235,2.4793014863355722e-12,5.484501741648273e-11,5.236571593014716e-11,1.4374558802109367
v32.17,25042000,dephasing,1,-0.751304197451854,plus,36,0.003,0.004385782150513106,0.2377579437316945,0.2387671406787203,2.4793014863355722e-12,3.9968028886505635e-12,1.5175014023149913e-12,1.4374558802109367
v32.17,25042000,dephasing,2,0.023834044377988334,minus,8,0.0001,4.387302515746859e-06,0.09761051679422139,0.09761093973630171,6.7554850602391525e-12,-8.819611707622244e-09,8.826367192682483e-09,3.6067441032141354
v32.17,25042000,dephasing,2,0.023834044377988334,minus,8,0.0003,3.97009490021255e-05,0.09761051679422139,0.09761434024907069,6.7554850602391525e-12,-7.98768458783646e-09,7.9944400728967e-09,3.6067441032141354
v32.17,25042000,dephasing,2,0.023834044377988334,minus,8,0.001,0.00044108903691741463,0.09761051679422139,0.09765299714252101,6.7554850602391525e-12,2.604139126560767e-09,2.597383641500528e-09,3.6067441032141354
v32.17,25042000,dephasing,2,0.023834044377988334,minus,8,0.003,0.0039742430603513165,0.09761051679422139,0.09799328495012008,6.7554850602391525e-12,1.5898393712632242e-10,1.5222845206608326e-10,3.6067441032141354
