version,seed,family,metric,n_pairs,spearman_rho_vs_prominence
v32.17,25042000,dephasing,A_group,32,0.35593841642228735
v32.17,25042000,dephasing,C_group,32,0.4508797653958944
v32.17,25042000,dephasing,cross_sum,32,0.1997800586510264
v32.17,25042000,dephasing,R_E,32,-0.2415689149560117
v32.17,25042000,dephasing,D_E,32,0.16458944281524926
v32.17,25042000,dephasing,D_Q_within,32,0.16312316715542519
v32.17,25042000,dephasing,D_Q_crossmix,32,-0.03995601173020528
v32.17,25042000,transverse,A_group,32,0.2745601173020527
v32.17,25042000,transverse,C_group,32,0.7166422287390029
v32.17,25042000,transverse,cross_sum,32,0.25733137829912023
v32.17,25042000,transverse,R_E,32,0.45344574780058644
v32.17,25042000,transverse,D_E,32,0.6477272727272727
v32.17,25042000,transverse,D_Q_within,32,0.6506598240469208
v32.17,25042000,transverse,D_Q_crossmix,32,0.5828445747800586
