version,seed,family,delta,metric,n_pairs,spearman_rho_vs_prominence,previous_delta
v32.18,25042000,transverse,0.01,A_group,32,0.2745601173020527,
v32.18,25042000,transverse,0.01,C_group,32,0.7166422287390029,
v32.18,25042000,transverse,0.01,R2_E,32,0.504032258064516,
v32.18,25042000,transverse,0.01,D2_E,32,0.6407624633431084,
v32.18,25042000,transverse,0.003,A_group,32,0.2745601173020527,
v32.18,25042000,transverse,0.003,C_group,32,0.7166422287390029,
v32.18,25042000,transverse,0.003,R2_E,32,0.4978005865102638,
v32.18,25042000,transverse,0.003,D2_E,32,0.6407624633431084,
v32.18,25042000,transverse,0.001,A_group,32,0.2745601173020527,
v32.18,25042000,transverse,0.001,C_group,32,0.7166422287390029,
v32.18,25042000,transverse,0.001,R2_E,32,0.4978005865102638,
v32.18,25042000,transverse,0.001,D2_E,32,0.6407624633431084,
v32.18,25042000,transverse,0.0003,A_group,32,0.2745601173020527,
v32.18,25042000,transverse,0.0003,C_group,32,0.7166422287390029,
v32.18,25042000,transverse,0.0003,R2_E,32,0.4978005865102638,
v32.18,25042000,transverse,0.0003,D2_E,32,0.6407624633431084,
v32.18,25042000,dephasing,0.01,A_group,32,0.35593841642228735,
v32.18,25042000,dephasing,0.01,C_group,32,0.4508797653958944,
v32.18,25042000,dephasing,0.01,R2_E,32,-0.2133431085043988,
v32.18,25042000,dephasing,0.01,D2_E,32,0.08614369501466275,
v32.18,25042000,dephasing,0.003,A_group,32,0.35593841642228735,
v32.18,25042000,dephasing,0.003,C_group,32,0.4508797653958944,
v32.18,25042000,dephasing,0.003,R2_E,32,-0.21187683284457476,
v32.18,25042000,dephasing,0.003,D2_E,32,0.06708211143695014,
v32.18,25042000,dephasing,0.001,A_group,32,0.35593841642228735,
v32.18,25042000,dephasing,0.001,C_group,32,0.4508797653958944,
v32.18,25042000,dephasing,0.001,R2_E,32,-0.21187683284457476,
v32.18,25042000,dephasing,0.001,D2_E,32,0.06708211143695014,
v32.18,25042000,dephasing,0.0003,A_group,32,0.35593841642228735,
v32.18,25042000,dephasing,0.0003,C_group,32,0.4508797653958944,
v32.18,25042000,dephasing,0.0003,R2_E,32,-0.21187683284457476,
v32.18,25042000,dephasing,0.0003,D2_E,32,0.06708211143695014,
v32.18,25042000,transverse,0.01,R2_E_rank_stability,32,nan,
v32.18,25042000,transverse,0.003,R2_E_rank_stability,32,0.9996334310850439,0.01
v32.18,25042000,transverse,0.001,R2_E_rank_stability,32,1.0,0.003
v32.18,25042000,transverse,0.0003,R2_E_rank_stability,32,1.0,0.001
v32.18,25042000,transverse,0.01,D2_E_rank_stability,32,nan,
v32.18,25042000,transverse,0.003,D2_E_rank_stability,32,1.0,0.01
v32.18,25042000,transverse,0.001,D2_E_rank_stability,32,1.0,0.003
v32.18,25042000,transverse,0.0003,D2_E_rank_stability,32,1.0,0.001
v32.18,25042000,dephasing,0.01,R2_E_rank_stability,32,nan,
v32.18,25042000,dephasing,0.003,R2_E_rank_stability,32,0.9989002932551319,0.01
v32.18,25042000,dephasing,0.001,R2_E_rank_stability,32,1.0,0.003
v32.18,25042000,dephasing,0.0003,R2_E_rank_stability,32,1.0,0.001
v32.18,25042000,dephasing,0.01,D2_E_rank_stability,32,nan,
v32.18,25042000,dephasing,0.003,D2_E_rank_stability,32,0.9893695014662756,0.01
v32.18,25042000,dephasing,0.001,D2_E_rank_stability,32,1.0,0.003
v32.18,25042000,dephasing,0.0003,D2_E_rank_stability,32,1.0,0.001
