version,seed,family,metric,order,n_pairs,spearman_rho_vs_prominence,h2
v32.19,25042000,dephasing,A_group,1,32,0.35593841642228735,
v32.19,25042000,dephasing,C_group,1,32,0.4508797653958944,
v32.19,25042000,dephasing,R1_E,1,32,-0.2415689149560117,
v32.19,25042000,dephasing,D1_E,1,32,0.16458944281524926,
v32.19,25042000,transverse,A_group,2,32,0.2745601173020527,0.001
v32.19,25042000,transverse,C_group,2,32,0.7166422287390029,0.001
v32.19,25042000,transverse,R2_E,2,32,0.4978005865102638,0.001
v32.19,25042000,transverse,D2_E,2,32,0.6407624633431084,0.001
v32.19,25042001,dephasing,A_group,1,16,0.07352941176470588,
v32.19,25042001,dephasing,C_group,1,16,0.11176470588235293,
v32.19,25042001,dephasing,R1_E,1,16,-0.2764705882352941,
v32.19,25042001,dephasing,D1_E,1,16,-0.15294117647058825,
v32.19,25042001,transverse,A_group,2,16,0.2411764705882353,0.001
v32.19,25042001,transverse,C_group,2,16,0.38235294117647056,0.001
v32.19,25042001,transverse,R2_E,2,16,-0.21470588235294116,0.001
v32.19,25042001,transverse,D2_E,2,16,0.023529411764705882,0.001
v32.19,25042002,dephasing,A_group,1,32,-0.018328445747800584,
v32.19,25042002,dephasing,C_group,1,32,0.07038123167155425,
v32.19,25042002,dephasing,R1_E,1,32,0.03665689149560117,
v32.19,25042002,dephasing,D1_E,1,32,0.13049853372434017,
v32.19,25042002,transverse,A_group,2,32,-0.06781524926686217,0.001
v32.19,25042002,transverse,C_group,2,32,0.14259530791788855,0.001
v32.19,25042002,transverse,R2_E,2,32,-0.14809384164222872,0.001
v32.19,25042002,transverse,D2_E,2,32,0.09127565982404691,0.001
v32.19,25042003,dephasing,A_group,1,32,0.3251466275659824,
v32.19,25042003,dephasing,C_group,1,32,0.4296187683284457,
v32.19,25042003,dephasing,R1_E,1,32,0.07587976539589442,
v32.19,25042003,dephasing,D1_E,1,32,0.0879765395894428,
v32.19,25042003,transverse,A_group,2,32,0.3390762463343108,0.001
v32.19,25042003,transverse,C_group,2,32,0.5377565982404692,0.001
v32.19,25042003,transverse,R2_E,2,32,0.1063049853372434,0.001
v32.19,25042003,transverse,D2_E,2,32,0.1821847507331378,0.001
v32.19,25042004,dephasing,A_group,1,32,0.20307917888563048,
v32.19,25042004,dephasing,C_group,1,32,0.35520527859237533,
v32.19,25042004,dephasing,R1_E,1,32,0.12829912023460407,
v32.19,25042004,dephasing,D1_E,1,32,0.1785190615835777,
v32.19,25042004,transverse,A_group,2,32,0.4490469208211143,0.001
v32.19,25042004,transverse,C_group,2,32,0.5010997067448679,0.001
v32.19,25042004,transverse,R2_E,2,32,-0.20234604105571843,0.001
v32.19,25042004,transverse,D2_E,2,32,-0.12316715542521992,0.001
v32.19,25042005,dephasing,A_group,1,16,0.4147058823529412,
v32.19,25042005,dephasing,C_group,1,16,0.17058823529411765,
v32.19,25042005,dephasing,R1_E,1,16,0.047058823529411764,
v32.19,25042005,dephasing,D1_E,1,16,-0.3323529411764706,
v32.19,25042005,transverse,A_group,2,16,0.3147058823529411,0.001
v32.19,25042005,transverse,C_group,2,16,0.7029411764705883,0.001
v32.19,25042005,transverse,R2_E,2,16,0.4941176470588235,0.001
v32.19,25042005,transverse,D2_E,2,16,0.6823529411764706,0.001
v32.19,25042006,dephasing,A_group,1,32,0.5509530791788856,
v32.19,25042006,dephasing,C_group,1,32,0.5692815249266862,
v32.19,25042006,dephasing,R1_E,1,32,-0.2994868035190616,
v32.19,25042006,dephasing,D1_E,1,32,-0.15762463343108502,
v32.19,25042006,transverse,A_group,2,32,0.2111436950146627,0.001
v32.19,25042006,transverse,C_group,2,32,0.03079178885630498,0.001
v32.19,25042006,transverse,R2_E,2,32,-0.4831378299120234,0.001
v32.19,25042006,transverse,D2_E,2,32,-0.3837976539589442,0.001
v32.19,25042007,dephasing,A_group,1,16,0.2647058823529412,
v32.19,25042007,dephasing,C_group,1,16,0.3294117647058824,
v32.19,25042007,dephasing,R1_E,1,16,0.2323529411764706,
v32.19,25042007,dephasing,D1_E,1,16,0.22058823529411767,
