version,seed,family,metric,n_pairs,spearman_rho_vs_prominence
v32.20,25042000,dephasing,A_group,32,0.35593841642228735
v32.20,25042000,dephasing,C_group,32,0.4508797653958944
v32.20,25042000,dephasing,mean_cosine,32,0.1033724340175953
v32.20,25042000,dephasing,positive_fraction,32,0.06671554252199413
v32.20,25042000,dephasing,mode_excess,32,-0.002932551319648094
v32.20,25042000,dephasing,weighted_mode_fraction,32,0.25476539589442815
v32.20,25042000,transverse,A_group,32,0.2745601173020527
v32.20,25042000,transverse,C_group,32,0.7166422287390029
v32.20,25042000,transverse,mean_cosine,32,0.06671554252199413
v32.20,25042000,transverse,positive_fraction,32,0.06671554252199413
v32.20,25042000,transverse,mode_excess,32,-0.22947214076246328
v32.20,25042000,transverse,weighted_mode_fraction,32,0.6173020527859236
v32.20,25042001,dephasing,A_group,16,0.07352941176470588
v32.20,25042001,dephasing,C_group,16,0.11176470588235293
v32.20,25042001,dephasing,mean_cosine,16,0.2529411764705882
v32.20,25042001,dephasing,positive_fraction,16,0.2529411764705882
v32.20,25042001,dephasing,mode_excess,16,-0.12352941176470587
v32.20,25042001,dephasing,weighted_mode_fraction,16,0.0823529411764706
v32.20,25042001,transverse,A_group,16,0.2411764705882353
v32.20,25042001,transverse,C_group,16,0.38235294117647056
v32.20,25042001,transverse,mean_cosine,16,0.2529411764705882
v32.20,25042001,transverse,positive_fraction,16,0.2529411764705882
v32.20,25042001,transverse,mode_excess,16,0.3147058823529411
v32.20,25042001,transverse,weighted_mode_fraction,16,-0.02647058823529412
v32.20,25042002,dephasing,A_group,32,-0.018328445747800584
v32.20,25042002,dephasing,C_group,32,0.07038123167155425
v32.20,25042002,dephasing,mean_cosine,32,-0.013929618768328446
v32.20,25042002,dephasing,positive_fraction,32,-0.013929618768328446
v32.20,25042002,dephasing,mode_excess,32,0.08870967741935483
v32.20,25042002,dephasing,weighted_mode_fraction,32,0.3376099706744868
v32.20,25042002,transverse,A_group,32,-0.06781524926686217
v32.20,25042002,transverse,C_group,32,0.14259530791788855
v32.20,25042002,transverse,mean_cosine,32,0.020161290322580645
v32.20,25042002,transverse,positive_fraction,32,0.024963316194472642
v32.20,25042002,transverse,mode_excess,32,-0.035557184750733134
v32.20,25042002,transverse,weighted_mode_fraction,32,0.09860703812316715
v32.20,25042003,dephasing,A_group,32,0.3251466275659824
v32.20,25042003,dephasing,C_group,32,0.4296187683284457
v32.20,25042003,dephasing,mean_cosine,32,0.03225806451612903
v32.20,25042003,dephasing,positive_fraction,32,0.04142228739002932
v32.20,25042003,dephasing,mode_excess,32,0.13196480938416422
v32.20,25042003,dephasing,weighted_mode_fraction,32,0.17631964809384162
v32.20,25042003,transverse,A_group,32,0.3390762463343108
v32.20,25042003,transverse,C_group,32,0.5377565982404692
v32.20,25042003,transverse,mean_cosine,32,0.03372434017595308
v32.20,25042003,transverse,positive_fraction,32,0.04142228739002932
v32.20,25042003,transverse,mode_excess,32,-0.08064516129032258
v32.20,25042003,transverse,weighted_mode_fraction,32,0.14699413489736068
v32.20,25042004,dephasing,A_group,32,0.20307917888563048
v32.20,25042004,dephasing,C_group,32,0.35520527859237533
v32.20,25042004,dephasing,mean_cosine,32,0.00879765395894428
v32.20,25042004,dephasing,positive_fraction,32,0.00879765395894428
v32.20,25042004,dephasing,mode_excess,32,0.06268328445747799
v32.20,25042004,dephasing,weighted_mode_fraction,32,-0.17778592375366567
v32.20,25042004,transverse,A_group,32,0.4490469208211143
v32.20,25042004,transverse,C_group,32,0.5010997067448679
v32.20,25042004,transverse,mean_cosine,32,0.0018328445747800585
v32.20,25042004,transverse,positive_fraction,32,0.00879765395894428
v32.20,25042004,transverse,mode_excess,32,-0.0846774193548387
v32.20,25042004,transverse,weighted_mode_fraction,32,0.06928152492668621
v32.20,25042005,dephasing,A_group,16,0.4147058823529412
v32.20,25042005,dephasing,C_group,16,0.17058823529411765
v32.20,25042005,dephasing,mean_cosine,16,0.0058823529411764705
v32.20,25042005,dephasing,positive_fraction,16,0.0029411764705882353
v32.20,25042005,dephasing,mode_excess,16,-0.55
v32.20,25042005,dephasing,weighted_mode_fraction,16,-0.3852941176470588
v32.20,25042005,transverse,A_group,16,0.3147058823529411
v32.20,25042005,transverse,C_group,16,0.7029411764705883
v32.20,25042005,transverse,mean_cosine,16,0.0058823529411764705
v32.20,25042005,transverse,positive_fraction,16,0.0029411764705882353
v32.20,25042005,transverse,mode_excess,16,-0.032352941176470584
v32.20,25042005,transverse,weighted_mode_fraction,16,0.7470588235294118
v32.20,25042006,dephasing,A_group,32,0.5509530791788856
v32.20,25042006,dephasing,C_group,32,0.5692815249266862
v32.20,25042006,dephasing,mean_cosine,32,0.15579178885630496
v32.20,25042006,dephasing,positive_fraction,32,0.15579178885630496
v32.20,25042006,dephasing,mode_excess,32,0.3969941348973607
v32.20,25042006,dephasing,weighted_mode_fraction,32,0.3863636363636363
v32.20,25042006,transverse,A_group,32,0.2111436950146627
v32.20,25042006,transverse,C_group,32,0.03079178885630498
v32.20,25042006,transverse,mean_cosine,32,0.15175953079178883
v32.20,25042006,transverse,positive_fraction,32,0.15579178885630496
v32.20,25042006,transverse,mode_excess,32,0.17045454545454544
v32.20,25042006,transverse,weighted_mode_fraction,32,-0.3108504398826979
v32.20,25042007,dephasing,A_group,16,0.2647058823529412
v32.20,25042007,dephasing,C_group,16,0.3294117647058824
v32.20,25042007,dephasing,mean_cosine,16,-0.15294117647058825
v32.20,25042007,dephasing,positive_fraction,16,-0.15294117647058825
v32.20,25042007,dephasing,mode_excess,16,-0.3
v32.20,25042007,dephasing,weighted_mode_fraction,16,0.10882352941176471
v32.20,25042007,transverse,A_group,16,-0.1323529411764706
v32.20,25042007,transverse,C_group,16,0.11470588235294117
v32.20,25042007,transverse,mean_cosine,16,-0.15294117647058825
v32.20,25042007,transverse,positive_fraction,16,-0.15294117647058825
v32.20,25042007,transverse,mode_excess,16,-0.28529411764705886
v32.20,25042007,transverse,weighted_mode_fraction,16,0.17352941176470588
v32.20,25042008,dephasing,A_group,32,0.2562316715542522
v32.20,25042008,dephasing,C_group,32,0.1601906158357771
v32.20,25042008,dephasing,mean_cosine,32,0.05058651026392961
v32.20,25042008,dephasing,positive_fraction,32,0.04919241720675491
v32.20,25042008,dephasing,mode_excess,32,0.12463343108504396
v32.20,25042008,dephasing,weighted_mode_fraction,32,0.03005865102639296
v32.20,25042008,transverse,A_group,32,0.4131231671554252
v32.20,25042008,transverse,C_group,32,0.5854105571847507
v32.20,25042008,transverse,mean_cosine,32,0.027126099706744865
v32.20,25042008,transverse,positive_fraction,32,0.02202443125438806
v32.20,25042008,transverse,mode_excess,32,0.09017595307917887
v32.20,25042008,transverse,weighted_mode_fraction,32,0.29288856304985333
v32.20,25042009,dephasing,A_group,16,0.7764705882352941
v32.20,25042009,dephasing,C_group,16,0.6617647058823529
v32.20,25042009,dephasing,mean_cosine,16,0.011764705882352941
