version,family,metric,n_seeds,median_rho,mean_rho,min_rho,max_rho,positive_seeds,negative_seeds,zero_seeds,sign_test_p_one_sided
v32.20,dephasing,A_group,12,0.2604687769535967,0.2693203381059169,-0.02647058823529412,0.7764705882352941,10,2,0,0.019287109375
v32.20,dephasing,C_group,12,0.25,0.2791885889253061,0.0029411764705882353,0.6617647058823529,12,0,0,0.000244140625
v32.20,dephasing,mean_cosine,12,0.041422287390029316,0.0631220890115577,-0.15294117647058825,0.2529411764705882,10,2,0,0.019287109375
v32.20,dephasing,positive_fraction,12,0.04530735229839211,0.060469760832435715,-0.15294117647058825,0.2529411764705882,10,2,0,0.019287109375
v32.20,dephasing,mode_excess,12,0.06222399516991546,-0.002034816859295042,-0.55,0.3969941348973607,7,5,0,0.38720703125
v32.20,dephasing,weighted_mode_fraction,12,0.09558823529411765,0.08762075211316199,-0.3852941176470588,0.3863636363636363,10,2,0,0.019287109375
v32.20,transverse,A_group,12,0.2946329998274969,0.3113984963486861,-0.1323529411764706,0.8558823529411764,10,2,0,0.019287109375
v32.20,transverse,C_group,12,0.5194281524926685,0.4433482117187051,0.03079178885630498,0.7294117647058823,12,0,0,0.000244140625
v32.20,transverse,mean_cosine,12,0.03042521994134897,0.06015899028232994,-0.15294117647058825,0.2529411764705882,11,1,0,0.003173828125
v32.20,transverse,positive_fraction,12,0.03319280179225098,0.061446839916638574,-0.15294117647058825,0.2529411764705882,11,1,0,0.003173828125
v32.20,transverse,mode_excess,12,-0.058101173020527856,-0.030074823184405724,-0.28529411764705886,0.3147058823529411,4,8,0,0.927001953125
v32.20,transverse,weighted_mode_fraction,12,0.12280058651026392,0.18206759243286763,-0.3108504398826979,0.7470588235294118,10,2,0,0.019287109375
