version,n_qubits,dimension,seed,family,metric,spearman_rho_vs_prominence,n_pairs,n_groups
v32.22,12,4096,25042000,dephasing,S_group,0.0411764705882353,16,32
v32.22,12,4096,25042000,dephasing,A_group,0.5735294117647058,16,32
v32.22,12,4096,25042000,dephasing,C2_group,0.31176470588235294,16,32
v32.22,12,4096,25042000,dephasing,C_group,0.31176470588235294,16,32
v32.22,12,4096,25042000,transverse,S_group,0.1411764705882353,16,32
v32.22,12,4096,25042000,transverse,A_group,0.4323529411764706,16,32
v32.22,12,4096,25042000,transverse,C2_group,0.45,16,32
v32.22,12,4096,25042000,transverse,C_group,0.45,16,32
v32.22,12,4096,25042001,dephasing,S_group,0.18878299120234604,32,64
v32.22,12,4096,25042001,dephasing,A_group,-0.08577712609970674,32,64
v32.22,12,4096,25042001,dephasing,C2_group,0.14699413489736068,32,64
v32.22,12,4096,25042001,dephasing,C_group,0.14699413489736068,32,64
v32.22,12,4096,25042001,transverse,S_group,-0.06708211143695014,32,64
v32.22,12,4096,25042001,transverse,A_group,0.3317448680351906,32,64
v32.22,12,4096,25042001,transverse,C2_group,0.4292521994134897,32,64
v32.22,12,4096,25042001,transverse,C_group,0.4292521994134897,32,64
v32.22,12,4096,25042002,dephasing,S_group,-0.023809523809523815,8,16
v32.22,12,4096,25042002,dephasing,A_group,0.4761904761904762,8,16
v32.22,12,4096,25042002,dephasing,C2_group,0.4523809523809524,8,16
v32.22,12,4096,25042002,dephasing,C_group,0.4523809523809524,8,16
v32.22,12,4096,25042002,transverse,S_group,-0.2380952380952381,8,16
v32.22,12,4096,25042002,transverse,A_group,0.5714285714285715,8,16
v32.22,12,4096,25042002,transverse,C2_group,0.5952380952380953,8,16
v32.22,12,4096,25042002,transverse,C_group,0.5952380952380953,8,16
v32.22,12,4096,25042003,dephasing,S_group,0.052419354838709666,32,64
v32.22,12,4096,25042003,dephasing,A_group,-0.02346041055718475,32,64
v32.22,12,4096,25042003,dephasing,C2_group,-0.0813782991202346,32,64
v32.22,12,4096,25042003,dephasing,C_group,-0.0813782991202346,32,64
v32.22,12,4096,25042003,transverse,S_group,0.02382697947214076,32,64
v32.22,12,4096,25042003,transverse,A_group,0.18988269794721407,32,64
v32.22,12,4096,25042003,transverse,C2_group,0.2214076246334311,32,64
v32.22,12,4096,25042003,transverse,C_group,0.2214076246334311,32,64
v32.22,12,4096,25042004,dephasing,S_group,0.3205882352941176,16,32
v32.22,12,4096,25042004,dephasing,A_group,0.5529411764705882,16,32
v32.22,12,4096,25042004,dephasing,C2_group,0.6794117647058824,16,32
