version,seed,family,group,lambda,leading_norm,exact_norm,abs_error,rel_error
v32.23,25042000,dephasing,0,0.01,8.671059923641609e-05,8.676920059502701e-05,1.1916582240860986e-07,0.001374293609524076
v32.23,25042000,dephasing,0,0.003,7.803953931277448e-06,7.804492787888193e-06,2.8516475340485997e-09,0.0003654106058493616
v32.23,25042000,dephasing,0,0.001,8.671059923641609e-07,8.671127121859151e-07,1.039252602582752e-10,0.00011985300663754314
v32.23,25042000,dephasing,0,0.0003,7.803953931277447e-08,7.803959380511785e-08,2.8006212691885987e-12,3.588720914873672e-05
v32.23,25042000,dephasing,1,0.01,4.06945217479951e-05,4.077269786625747e-05,1.2956239415525842e-07,0.003183779747003454
v32.23,25042000,dephasing,1,0.003,3.6625069573195587e-06,3.663080940983328e-06,2.846593005706132e-09,0.0007772252828126882
v32.23,25042000,dephasing,1,0.001,4.0694521747995093e-07,4.069522371055745e-07,1.0349851596609851e-10,0.00025433034108871813
v32.23,25042000,dephasing,1,0.0003,3.6625069573195584e-08,3.6625126370613025e-08,2.7885928654247103e-12,7.613890971187587e-05
v32.23,25042000,dephasing,2,0.01,8.79750361596353e-05,8.805211651418539e-05,1.3364906478286078e-07,0.00151917033077824
v32.23,25042000,dephasing,2,0.003,7.917753254367176e-06,7.918439538121495e-06,3.024911271289838e-09,0.0003820416188925053
v32.23,25042000,dephasing,2,0.001,8.797503615963529e-07,8.797588990800459e-07,1.0943775090244988e-10,0.00012439636933353387
v32.23,25042000,dephasing,2,0.0003,7.917753254367174e-08,7.917760175684276e-08,2.946601912619016e-12,3.72151267910978e-05
v32.23,25042000,dephasing,3,0.01,3.963116777509627e-05,3.972727227468024e-05,1.4531177678904968e-07,0.0036666034575030056
v32.23,25042000,dephasing,3,0.003,3.5668050997586644e-06,3.567526527148817e-06,3.028268279817977e-09,0.0008490142284541632
v32.23,25042000,dephasing,3,0.001,3.963116777509627e-07,3.9632052010492607e-07,1.092828437671431e-10,0.00027574974420969516
v32.23,25042000,dephasing,3,0.0003,3.5668050997586636e-08,3.566812256134918e-08,2.9418198000700995e-12,8.247772776452372e-05
v32.23,25042000,dephasing,4,0.01,0.00019240120148204668,0.00019336612859036046,9.801407482199636e-07,0.005094254821020036
v32.23,25042000,dephasing,4,0.003,1.73161081333842e-05,1.732388872149177e-05,8.88413320617629e-09,0.0005130560018303607
v32.23,25042000,dephasing,4,0.001,1.9240120148204665e-06,1.9241080331825133e-06,1.845731283520125e-10,9.59313803293663e-05
v32.23,25042000,dephasing,4,0.0003,1.7316108133384197e-07,1.731618590473134e-07,4.322895917003492e-12,2.4964592988820987e-05
v32.23,25042000,dephasing,5,0.01,0.00010066378678328237,9.968863691182883e-05,9.786694535998273e-07,0.0097221601220585
v32.23,25042000,dephasing,5,0.003,9.059740810495414e-06,9.051806464624041e-06,8.176576784552776e-09,0.0009025177381543276
v32.23,25042000,dephasing,5,0.001,1.0066378678328236e-06,1.0065398742145755e-06,1.2174466972085302e-10,0.00012094187354878213
v32.23,25042000,dephasing,5,0.0003,9.059740810495412e-08,9.059661432095029e-08,2.1032394531705727e-12,2.3215227644636798e-05
v32.23,25042000,dephasing,6,0.01,0.00021726796598203069,0.00021843165915240607,1.1744241552701497e-06,0.005405417913137187
