version,seed,family,g_minus,g_plus,E_abs,prominence,L1,C_group,S_group,A_group,response_norm_coeff,C_times_L1,abs_error_slope,rel_error_slope
v32.23,25042000,dephasing,0,63,2.874552422746733,0.18871847023623955,0.8731376616976585,0.9930919606402441,0.14453622043745612,0.8416954218508279,0.8671059923641657,0.8671059923641657,3.037346967756709,1.0373469677567102
v32.23,25042000,dephasing,1,62,2.87344508633917,-0.31508147386664376,0.8734092523853312,0.46592730311541275,0.1435565740568494,0.07353167773155227,0.4069452174799462,0.4069452174799462,3.060377271561497,1.0603772715614972
v32.23,25042000,dephasing,2,61,2.8439494108712084,0.30490189758471686,0.8861629423455967,0.9927636550313534,0.1469684339973297,0.8386112407538825,0.8797503615963531,0.8797503615963531,3.054532560874441,1.0545325608744411
v32.23,25042000,dephasing,3,60,2.8428147436945483,-0.37654043188966524,0.8859598005190892,0.4473246726530492,0.14697440708077858,0.05312495568337901,0.3963116777509623,0.3963116777509623,3.07688654034863,1.0768865403486316
v32.23,25042000,dephasing,4,59,1.9787294107422513,0.09163904430626355,2.1881352312623554,0.8792930104737413,0.46797701608336767,0.3051791821846074,1.9240120148203328,1.9240120148203328,3.5175567801301657,1.5175567801301657
v32.23,25042000,dephasing,5,58,1.9761806190048739,-0.047486139244666936,2.188559333333811,0.4599545703425326,0.467350620077058,-0.25579241329807423,1.0066378678326924,1.0066378678326924,3.731362558896544,1.7313625588965427
v32.23,25042000,dephasing,6,57,1.966744402461953,0.46365890923314146,2.434352883727378,0.8925080970567079,0.5087237996058989,0.28784690370588717,2.1726796598200315,2.1726796598200315,3.623718186062631,1.6237181860626309
v32.23,25042000,dephasing,7,56,1.9644309918628977,-0.4975409645034512,2.4371232966412153,0.5126791804733883,0.5078434300017232,-0.24500348791085808,1.2494623744346205,1.2494623744346205,3.6662406463460413,1.6662406463460417
v32.23,25042000,dephasing,8,55,1.6921458564839147,0.023834044377988334,3.855405530533058,0.935503172013923,0.6015493937629846,0.27361679108512693,3.606744103213697,3.606744103213697,3.8514064316674816,1.8514064316674814
v32.23,25042000,dephasing,9,54,1.6886100349699211,0.01571539170803185,3.858857832318739,0.6047817136699847,0.6007694286694414,-0.23500850747983795,2.3337666526385696,2.3337666526385696,3.746473925913985,1.7464739259139854
v32.23,25042000,dephasing,10,53,1.6764420039565993,0.46343244789583143,3.4472089944851865,0.9211141598911402,0.5578701578623102,0.2905811376896509,3.175273016924405,3.175273016924405,3.3725521631438267,1.3725521631438276
v32.23,25042000,dephasing,11,52,1.6720595812293473,-0.2931208456369997,3.4529598608108185,0.5533666545961602,0.5559589906441778,-0.24974433622523157,1.9107528466317059,1.9107528466317056,3.239326359621862,1.239326359621863
v32.23,25042000,dephasing,12,51,1.4639107662982664,-0.1691666279032112,3.423631783034522,0.8959432320646323,0.4992269911756887,0.303487283906731,3.0673797250911496,3.0673797250911496,3.2413584530421726,1.2413584530421726
v32.23,25042000,dephasing,13,50,1.4584129115423414,0.22512599499772068,3.4281207259174087,0.49833208291955633,0.49805601373134306,-0.24972114886439947,1.7083425418461238,1.7083425418461238,3.4517748779609008,1.451774877960902
v32.23,25042000,dephasing,14,49,1.4334527954745644,0.29063541288859407,3.6057789541409493,0.8906322939375069,0.5193638717001521,0.2738620113042334,3.2114231813581378,3.2114231813581378,3.698414623628568,1.6984146236285682
v32.23,25042000,dephasing,15,48,1.4275616977982164,0.00545299082877565,3.6066479764383343,0.5335366852355795,0.5190526901550468,-0.23439129566287698,1.9242790061605195,1.9242790061605195,3.775064471022155,1.7750644710221546
v32.23,25042000,dephasing,16,47,1.0939615772545648,-0.12727287836418105,4.231495085857018,0.921234616215737,0.570439634440769,0.2782335836733873,3.898199751438267,3.8981997514382667,3.6462581900210305,1.6462581900210305
v32.23,25042000,dephasing,17,46,1.0881648225246672,-0.0019399843253508076,4.218612928769865,0.5739072525887914,0.5741034195489124,-0.24473388497489762,2.421092555685868,2.421092555685868,3.841962405934093,1.8419624059340935
v32.23,25042000,dephasing,18,45,1.0741101228597905,-0.025214000864455688,4.079790352999371,0.9080604249087858,0.5592863423344996,0.2652873929510251,3.7046961614833744,3.7046961614833744,3.5311020918996903,1.5311020918996903
v32.23,25042000,dephasing,19,44,1.0687765868124621,-0.2796673059394926,4.071830329578063,0.5647215516930065,0.5612438460337794,-0.24233341508722223,2.29945034194997,2.29945034194997,3.6973905849351754,1.6973905849351754
v32.23,25042000,dephasing,20,43,0.6587625915442124,0.271925888444691,4.144667515710152,0.8067829637858466,0.4408407970384096,0.21005795361666485,3.343847142231558,3.343847142231558,3.4314222533054597,1.4314222533054604
v32.23,25042000,dephasing,21,42,0.6523641195267388,0.34473424651455187,4.1486152718481595,0.4732832155305198,0.4398009123507592,-0.21580391024785076,1.9634699758593184,1.9634699758593184,3.950176700403248,1.9501767004032482
v32.23,25042000,dephasing,22,41,0.6353883011550365,0.6326899225480247,4.014570998450652,0.7399899950115659,0.41950775172078625,0.1280774409964311,2.970742373117075,2.970742373117075,3.2333692989636287,1.2333692989636293
v32.23,25042000,dephasing,23,40,0.6293356210701317,0.16502413161883028,3.996957353037563,0.4995935560081616,0.42320318660439193,-0.17360946539951183,1.996854137217005,1.996854137217005,3.9915354311034315,1.991535431103432
v32.23,25042000,dephasing,24,39,0.2843715887463743,-0.5475178260577758,3.1033874612153856,0.7641062464191464,0.39318522490504504,0.1906731309117122,2.371317744173533,2.371317744173533,3.432370534250814,1.432370534250814
v32.23,25042000,dephasing,25,38,0.2812054412565679,-0.46029967445888076,3.101196097001898,0.3912583701818825,0.3937451657488117,-0.24066205351142878,1.2133689305273776,1.2133689305273776,3.5121714706672265,1.5121714706672273
v32.23,25042000,dephasing,26,37,0.26482062964046393,-0.585737424372401,3.1634718433696776,0.7763057620342307,0.42657749196111694,0.17607314420643083,2.4558214200409303,2.4558214200409303,3.4461318829801817,1.4461318829801826
v32.23,25042000,dephasing,27,36,0.2619864687735263,-0.751304197451854,3.165178879049434,0.45414680659142626,0.4261197504251423,-0.2198704284879519,1.4374558802109307,1.4374558802109307,3.4877831034476126,1.487783103447612
v32.23,25042000,dephasing,28,35,0.07278294475567904,0.1666843876215432,8.137261586924517,0.9269563716522953,0.8427611656411909,0.016486949305597513,7.54288647580115,7.54288647580115,3.220483103697668,1.2204831036976689
v32.23,25042000,dephasing,29,34,0.07081255002358793,0.12307328643041221,8.140985555395316,0.9241532274014416,0.8420064690951644,0.01205271862133616,7.5235180752470985,7.5235180752470985,3.0456792181055663,1.0456792181055663
v32.23,25042000,dephasing,30,33,0.048600388009180644,0.1783224940845633,11.966874184570457,0.9519289652379234,0.8934904533308834,0.012678301528060086,11.391614159650572,11.391614159650572,3.5463496967621744,1.5463496967621753
v32.23,25042000,dephasing,31,32,0.04659378773055864,0.07724022316920248,11.969894766521556,0.9515077916535497,0.8930363177279569,0.012330759849457917,11.389448135618307,11.389448135618307,3.4370180689140195,1.4370180689140204
v32.23,25042000,transverse,0,63,2.874552422746733,0.18871847023623955,1.6639483104867203,0.9790091153958037,0.0911676522696629,0.8672911957584112,1.629020563513946,1.629020563513946,3.915193695874202,1.915193695874203
v32.23,25042000,transverse,1,62,2.87344508633917,-0.31508147386664376,1.6640916939716601,0.8204843482512656,0.09516176186819462,0.5780328038571095,1.3653611889586823,1.3653611889586823,4.054058529914942,2.0540585299149408
v32.23,25042000,transverse,2,61,2.8439494108712084,0.30490189758471686,1.6379383468030118,0.9556664860851108,0.09504101698387028,0.8182574156423931,1.56532278431329,1.56532278431329,3.9409564539883597,1.9409564539883601
v32.23,25042000,transverse,3,60,2.8428147436945483,-0.37654043188966524,1.6380710849737756,0.771439364352535,0.09176790068541957,0.5033507921872238,1.2636725165564369,1.2636725165564369,4.0420980222343115,2.0420980222343106
v32.23,25042000,transverse,4,59,1.9787294107422513,0.09163904430626355,8.540767784541323,0.9729419119954069,0.39347816874231656,0.5531377953749615,8.309670938200409,8.309670938200409,4.009161575196586,2.0091615751965857
v32.23,25042000,transverse,5,58,1.9761806190048739,-0.047486139244666936,8.709335945236834,0.2137990564267887,0.37720256506438654,-0.33149252853540134,1.862047807195549,1.862047807195549,3.9909197015860496,1.990919701586049
v32.23,25042000,transverse,6,57,1.966744402461953,0.46365890923314146,6.584798886277934,0.8741044694325122,0.28168589871213856,0.482372724769755,5.75580213680977,5.75580213680977,4.00557619662659,2.00557619662659
v32.23,25042000,transverse,7,56,1.9644309918628977,-0.4975409645034512,6.699879227483395,0.13023112704946427,0.277110464311629,-0.2601503178590553,0.8725328228904565,0.8725328228904565,3.993842318783034,1.993842318783034
v32.23,25042000,transverse,8,55,1.6921458564839147,0.023834044377988334,11.651206299781009,0.7184266361374597,0.3405732974761803,0.17556353403560565,8.37053694889525,8.37053694889525,4.005811188280516,2.005811188280516
v32.23,25042000,transverse,9,54,1.6886100349699211,0.01571539170803185,11.670590840722792,0.3748467902589808,0.3552859506593181,-0.21477583449185775,4.374683517070799,4.374683517070799,3.9944590877611534,1.9944590877611539
v32.23,25042000,transverse,10,53,1.6764420039565993,0.46343244789583143,10.841691779546142,0.7320037978015925,0.309234784424628,0.22659477557132685,7.936159557222083,7.936159557222083,4.007420107942476,2.007420107942477
v32.23,25042000,transverse,11,52,1.6720595812293473,-0.2931208456369997,10.84976606906585,0.19601498046578625,0.28701555969620873,-0.24859368712920615,2.126716684086293,2.126716684086293,3.9926132586263643,1.9926132586263643
v32.23,25042000,transverse,12,51,1.4639107662982664,-0.1691666279032112,11.923872718526798,0.4326472172133027,0.31436287992997103,-0.12717926536755636,5.158830350076238,5.158830350076238,3.9977571783502093,1.9977571783502102
v32.23,25042000,transverse,13,50,1.4584129115423414,0.22512599499772068,11.97719757277439,0.5470515398233062,0.29474457112870256,0.004520816094347875,6.552144374954196,6.552144374954196,4.00087022320524,2.000870223205241
v32.23,25042000,transverse,14,49,1.4334527954745644,0.29063541288859407,11.49998866011515,0.4913951099263314,0.31789695783401134,-0.07642780377450004,5.651038191788849,5.651038191788849,3.999559201836824,1.9995592018368238
v32.23,25042000,transverse,15,48,1.4275616977982164,0.00545299082877565,11.456110008662009,0.57554903877606,0.3361073860809347,-0.004850690044887989,6.593553103598221,6.5935531035982216,4.00091867232484,2.0009186723248398
v32.23,25042000,transverse,16,47,1.0939615772545648,-0.12727287836418105,3.40767433558422,0.4660545063737077,0.07867719353631897,0.13852960937492137,1.588161980353056,1.588161980353056,4.002855548161442,2.0028555481614427
v32.23,25042000,transverse,17,46,1.0881648225246672,-0.0019399843253508076,3.6014900714516367,0.3078642673369377,0.07314206908840837,0.02163833801450111,1.1087701021687137,1.1087701021687137,3.998168352825346,1.998168352825345
