version,seed,family,group,lambda,exact_norm,k2_term_norm,k3_term_norm,k4_term_norm,abs_err_K2,abs_err_K2K3,abs_err_K2K3K4,rel_err_K2,rel_err_K2K3,rel_err_K2K3K4
v32.24,25042000,dephasing,0,0.01,8.676920059502701e-05,8.671059923641612e-05,1.0370700745445368e-07,6.723624637371569e-08,1.1916582240916235e-07,5.8557533410686314e-08,8.681403819733118e-09,0.0013733654521647406,0.0006748654247028111,0.00010005167455963255
v32.24,25042000,dephasing,0,0.003,7.804492787888193e-06,7.80395393127745e-06,2.800089201270249e-09,5.44613595627097e-10,2.851647534105442e-09,5.384869004827715e-10,6.133482627474882e-12,0.00036538537629644797,6.899703992531715e-05,7.858912544571051e-07
v32.24,25042000,dephasing,0,0.001,8.671127121859151e-07,8.67105992364161e-07,1.0370700745445367e-10,6.723624637371569e-12,1.0392526026472217e-10,6.715244081465666e-12,8.450710253906713e-15,0.0001198520778258869,7.744372775411312e-06,9.745803671362647e-09
v32.24,25042000,dephasing,0,0.0003,7.803959380511785e-08,7.803953931277448e-08,2.800089201270248e-12,5.446135956270968e-14,2.8006212697696224e-12,5.445525209722514e-14,6.642522805999003e-18,3.588718409738772e-05,6.97790050435321e-07,8.51173421351584e-11
v32.24,25042000,dephasing,1,0.01,4.077269786625747e-05,4.069452174799556e-05,1.032597525318488e-07,6.999913142569097e-08,1.2956239415529196e-07,7.806131249848914e-08,8.064969942273576e-09,0.0031776752811472587,0.0019145486215934426,0.00019780319587210725
v32.24,25042000,dephasing,1,0.003,3.663080940983328e-06,3.6625069573196e-06,2.7880133183599172e-09,5.66992964548097e-10,2.846593005732749e-09,5.730623536250415e-10,6.07805020885361e-12,0.0007771034960992703,0.0001564427220849799,1.6592727015259457e-06
v32.24,25042000,dephasing,1,0.001,4.069522371055745e-07,4.0694521747995554e-07,1.0325975253184879e-10,6.999913142569099e-12,1.0349851596975019e-10,7.008262374006734e-12,8.438823847835858e-15,0.00025432595408708827,1.7221338857485135e-05,2.0736644447162965e-08
v32.24,25042000,dephasing,1,0.0003,3.6625126370613025e-08,3.6625069573195994e-08,2.7880133183599165e-12,5.6699296454809666e-14,2.7885928657752636e-12,5.6705384991246847e-14,6.764802842972421e-18,7.613879164694848e-05,1.5482645552520375e-06,1.8470387718307805e-10
v32.24,25042000,dephasing,2,0.01,8.805211651418539e-05,8.797503615963504e-05,1.0910320070934481e-07,8.540402562068203e-08,1.336490647836968e-07,7.70296323208085e-08,8.376474237216539e-09,0.0015178404571588651,0.0008748186343527455,9.513086759098029e-05
v32.24,25042000,dephasing,2,0.003,7.918439538121495e-06,7.917753254367154e-06,2.9457864191523092e-09,6.917726075275244e-10,3.0249112713699283e-09,6.858663357013942e-10,5.917087985134693e-12,0.0003820085077125604,8.661635065841563e-05,7.472542988613149e-07
