version,seed,family,g_minus,g_plus,E_abs,lambda,paired_gamma_response_residual,same_target_evenness_residual
v32.25,25042000,dephasing,0,63,2.874552422746733,0.01,2.1240210972396923e-14,0.002392229215463904
v32.25,25042000,dephasing,0,63,2.874552422746733,0.003,2.152544444286499e-14,0.0007176235301620345
v32.25,25042000,dephasing,0,63,2.874552422746733,0.001,2.17463800675674e-14,0.00023920322114077784
v32.25,25042000,dephasing,0,63,2.874552422746733,0.0003,2.1990656378769883e-14,7.176079908913426e-05
v32.25,25042000,dephasing,1,62,2.87344508633917,0.01,8.118615514261745e-14,0.0050723314992568045
v32.25,25042000,dephasing,1,62,2.87344508633917,0.003,6.916841981428098e-14,0.0015223869745627382
v32.25,25042000,dephasing,1,62,2.87344508633917,0.001,6.81346330782915e-14,0.0005074844487040011
v32.25,25042000,dephasing,1,62,2.87344508633917,0.0003,6.836361175051382e-14,0.0001522460964397642
v32.25,25042000,dephasing,2,61,2.8439494108712084,0.01,3.507686343111427e-14,0.0024807528771958872
v32.25,25042000,dephasing,2,61,2.8439494108712084,0.003,3.9653191258472106e-14,0.0007441185648489318
v32.25,25042000,dephasing,2,61,2.8439494108712084,0.001,3.99370576726874e-14,0.0002480330288853193
v32.25,25042000,dephasing,2,61,2.8439494108712084,0.0003,3.991510238390085e-14,7.440967744371873e-05
v32.25,25042000,dephasing,3,60,2.8428147436945483,0.01,1.1781704210408704e-13,0.005492862822271036
v32.25,25042000,dephasing,3,60,2.8428147436945483,0.003,1.0356256137638484e-13,0.001648951398021324
v32.25,25042000,dephasing,3,60,2.8428147436945483,0.001,1.0257221006561496e-13,0.0005496843075715409
v32.25,25042000,dephasing,3,60,2.8428147436945483,0.0003,1.0284603394965094e-13,0.0001649064535213929
v32.25,25042000,dephasing,4,59,1.9787294107422513,0.01,2.7076159736439745e-13,0.001660281128025373
v32.25,25042000,dephasing,4,59,1.9787294107422513,0.003,2.655898750812068e-13,0.000491728112607353
v32.25,25042000,dephasing,4,59,1.9787294107422513,0.001,2.644735616860846e-13,0.0001637241962126
v32.25,25042000,dephasing,4,59,1.9787294107422513,0.0003,2.648850030531316e-13,4.911094313966992e-05
v32.25,25042000,dephasing,5,58,1.9761806190048739,0.01,2.926528536829144e-13,0.0015084810279392801
v32.25,25042000,dephasing,5,58,1.9761806190048739,0.003,2.7102337424645565e-13,0.00043194049125178124
v32.25,25042000,dephasing,5,58,1.9761806190048739,0.001,2.661562846930212e-13,0.00014337705532636313
v32.25,25042000,dephasing,5,58,1.9761806190048739,0.0003,2.6512443274186216e-13,4.299253760620652e-05
v32.25,25042000,dephasing,6,57,1.966744402461953,0.01,3.9654423182915695e-13,0.0012258642311142433
v32.25,25042000,dephasing,6,57,1.966744402461953,0.003,3.9430860910646147e-13,0.0003604133416752504
v32.25,25042000,dephasing,6,57,1.966744402461953,0.001,3.958241028266312e-13,0.00011992347279595854
v32.25,25042000,dephasing,6,57,1.966744402461953,0.0003,3.9614679248463106e-13,3.5969731578886616e-05
v32.25,25042000,dephasing,7,56,1.9644309918628977,0.01,6.129909811192138e-13,0.0018754846322351422
v32.25,25042000,dephasing,7,56,1.9644309918628977,0.003,5.920535958489629e-13,0.0005415746751651552
v32.25,25042000,dephasing,7,56,1.9644309918628977,0.001,5.887074638427238e-13,0.00017990826288885982
v32.25,25042000,dephasing,7,56,1.9644309918628977,0.0003,5.879607894819804e-13,5.395143903687847e-05
v32.25,25042000,dephasing,8,55,1.6921458564839147,0.01,2.6333306185930247e-13,0.0005616033097749178
v32.25,25042000,dephasing,8,55,1.6921458564839147,0.003,2.665924092360072e-13,0.00016292428738394127
v32.25,25042000,dephasing,8,55,1.6921458564839147,0.001,2.682445284892349e-13,5.414680931416207e-05
v32.25,25042000,dephasing,8,55,1.6921458564839147,0.0003,2.690791815817788e-13,1.6238543633858327e-05
v32.25,25042000,dephasing,9,54,1.6886100349699211,0.01,6.003555095909549e-13,0.0014129813951955907
v32.25,25042000,dephasing,9,54,1.6886100349699211,0.003,6.047302846613357e-13,0.00040973485853679095
v32.25,25042000,dephasing,9,54,1.6886100349699211,0.001,6.056520727963735e-13,0.00013616240218834578
v32.25,25042000,dephasing,9,54,1.6886100349699211,0.0003,6.067793424824994e-13,4.0834525687528293e-05
v32.25,25042000,dephasing,10,53,1.6764420039565993,0.01,1.6615593183040942e-13,0.0028789113260699476
v32.25,25042000,dephasing,10,53,1.6764420039565993,0.003,1.6223357906411927e-13,0.0008673726796283905
v32.25,25042000,dephasing,10,53,1.6764420039565993,0.001,1.6174790449550975e-13,0.00028923142160012746
v32.25,25042000,dephasing,10,53,1.6764420039565993,0.0003,1.61505035051387e-13,8.677308081851871e-05
v32.25,25042000,dephasing,11,52,1.6720595812293473,0.01,2.329103896270994e-13,0.007927386644704515
v32.25,25042000,dephasing,11,52,1.6720595812293473,0.003,2.3442542271851387e-13,0.0023606563103758184
v32.25,25042000,dephasing,11,52,1.6720595812293473,0.001,2.3499938186954995e-13,0.000786370334798375
v32.25,25042000,dephasing,11,52,1.6720595812293473,0.0003,2.3625598267002617e-13,0.00023589352092827349
v32.25,25042000,dephasing,12,51,1.4639107662982664,0.01,1.547554562724527e-13,0.004001053608956238
v32.25,25042000,dephasing,12,51,1.4639107662982664,0.003,1.515417758232516e-13,0.0011954448236616837
v32.25,25042000,dephasing,12,51,1.4639107662982664,0.001,1.510207590074784e-13,0.000398339831334788
v32.25,25042000,dephasing,12,51,1.4639107662982664,0.0003,1.508187117912724e-13,0.00011949711424247001
v32.25,25042000,dephasing,13,50,1.4584129115423414,0.01,2.2802089621402557e-13,0.0034800108217960847
v32.25,25042000,dephasing,13,50,1.4584129115423414,0.003,2.2661310383024458e-13,0.0010553315397007666
v32.25,25042000,dephasing,13,50,1.4584129115423414,0.001,2.252907640436882e-13,0.0003521099995399017
v32.25,25042000,dephasing,13,50,1.4584129115423414,0.0003,2.2552064589265275e-13,0.00010564435997903908
v32.25,25042000,dephasing,14,49,1.4334527954745644,0.01,2.140543174973394e-13,0.0006710463233190275
v32.25,25042000,dephasing,14,49,1.4334527954745644,0.003,2.1440981922734752e-13,0.00019778653244281576
v32.25,25042000,dephasing,14,49,1.4334527954745644,0.001,2.141446757094803e-13,6.582617307273366e-05
