version,seed,family,g_minus,g_plus,E_abs,prominence,gamma_map_unitarity_residual,projector_map_residual,K2_pair_symmetry_residual,K3_pair_symmetry_residual,K4_pair_symmetry_residual,K5_pair_symmetry_residual,K6_pair_symmetry_residual,K3_over_K2_pair,K5_over_K2_pair
v32.25,25042000,dephasing,0,63,2.874552422746733,0.18871847023623955,3.5324661041266406e-15,2.4893608908870796e-12,2.178009958880778e-14,4.295998053594024e-12,4.0776884222787645e-12,9.917372092138719e-10,1.7066320643287509e-12,0.11960130407094377,1.2382285134672768
v32.25,25042000,dephasing,1,62,2.87344508633917,-0.31508147386664376,3.311826551528569e-15,2.489921153314588e-12,6.818502502739136e-14,4.316754273308337e-12,7.69194243648223e-12,8.832590224150876e-10,3.432187979283691e-12,0.2537436197709011,2.978210986219737
v32.25,25042000,dephasing,2,61,2.8439494108712084,0.30490189758471686,3.0479362985053135e-15,3.2007685961662096e-12,3.9888198879010784e-14,5.379038316147339e-12,6.821340095978319e-12,7.6290988746958e-10,3.926903026479858e-12,0.12401609078202588,1.6322340342524504
v32.25,25042000,dephasing,3,60,2.8428147436945483,-0.37654043188966524,3.0072397277989526e-15,3.199652960474531e-12,1.0260942411345702e-13,5.3756168162989775e-12,9.171266156200478e-12,6.920527472976604e-10,5.4736574078145825e-12,0.2748442807368256,4.001373858193218
v32.25,25042000,dephasing,4,59,1.9787294107422513,0.09163904430626355,2.657261175554056e-15,8.913939954124389e-13,2.6457814656897327e-13,4.964230765064373e-11,5.774415793850153e-13,2.5220518197686256e-11,3.2129589452638085e-13,0.08185053090772558,15.658196420675573
v32.25,25042000,dephasing,5,58,1.9761806190048739,-0.047486139244666936,2.6411448343848266e-15,8.960241056631101e-13,2.6482452291035367e-13,1.082503093247589e-10,2.765184458212616e-13,2.5394743896692865e-11,1.6435515058708538e-13,0.07165083724147815,30.73846115715799
v32.25,25042000,dephasing,6,57,1.966744402461953,0.46365890923314146,2.9554027240652122e-15,1.3955733325185313e-12,3.966652006913028e-13,1.4305783994183642e-10,6.71308022722696e-13,4.6050588270836687e-11,5.163027509768991e-13,0.05994834769724369,16.595388760021798
v32.25,25042000,dephasing,7,56,1.9644309918628977,-0.4975409645034512,4.419743846137182e-15,1.3982935302432688e-12,5.878792297998323e-13,1.6308522417789332e-10,5.789933085753319e-13,4.460173018122562e-11,3.8121107230167354e-13,0.08991559700928052,30.03046543544033
v32.25,25042000,dephasing,8,55,1.6921458564839147,0.023834044377988334,1.7211062267100684e-15,5.918047984021912e-13,2.694357693787349e-13,1.4451269429597013e-10,5.769805402082278e-13,4.522691936711671e-11,7.227031715027954e-13,0.02706333302271821,11.935532857606033
v32.25,25042000,dephasing,9,54,1.6886100349699211,0.01571539170803185,2.9150787977553167e-15,5.783318955177572e-13,6.065688548139638e-13,8.796445178688767e-11,8.446916086908723e-13,4.294124448730603e-11,1.0601473627380069e-12,0.06805520292794681,19.4341078760963
v32.25,25042000,dephasing,10,53,1.6764420039565993,0.46343244789583143,2.184517994680765e-15,5.034323852498386e-13,1.6127857397361313e-13,1.5685044460249825e-11,3.812559275514409e-13,2.9800465558983386e-10,5.294550153631342e-13,0.14462240365882026,0.958695016283357
v32.25,25042000,dephasing,11,52,1.6720595812293473,-0.2931208456369997,2.5064875373894008e-15,5.100190835444826e-13,2.360011100908902e-13,9.88551609749437e-12,3.3322689997100704e-13,2.816928267679266e-10,4.599912123592618e-13,0.39315297046060166,1.677123609365881
v32.25,25042000,dephasing,12,51,1.4639107662982664,-0.1691666279032112,1.909646132061443e-15,2.1054600003054463e-13,1.507894534148909e-13,6.220016542845355e-12,3.667412274691975e-13,7.670057222198754e-12,5.250735925304689e-13,0.19916106012121335,17.519068740297165
v32.25,25042000,dephasing,13,50,1.4584129115423414,0.22512599499772068,1.4310785284577423e-15,2.1522931681620323e-13,2.2590647611704623e-13,1.2498308086907176e-11,3.090375668854826e-13,7.0705735721921745e-12,4.639779144319569e-13,0.17607580589384025,36.0019484145688
v32.25,25042000,dephasing,14,49,1.4334527954745644,0.29063541288859407,1.9112040846256567e-15,2.1886927227055216e-13,2.145143985756015e-13,2.7411695572176302e-11,5.387299805321773e-13,1.1089486598396966e-11,7.651829729529855e-13,0.03290667352424338,7.689498690785083
v32.25,25042000,dephasing,15,48,1.4275616977982164,0.00545299082877565,1.6978397210531682e-15,2.0674851379936572e-13,3.8444058271085317e-13,3.5121587152061816e-11,5.555836056391118e-13,1.530148720300044e-11,8.140579869309424e-13,0.04402109193130025,10.381008110601922
v32.25,25042000,dephasing,16,47,1.0939615772545648,-0.12727287836418105,1.7403504663060433e-15,2.181406444468827e-13,1.0991488959679354e-13,3.536644547635117e-11,2.516812471025731e-13,5.0884850935972006e-11,3.483719540779854e-13,0.04873220049404209,3.7566755285877145
