version,seed,family,target_group,partner_target_group,g,k,bar_g,bar_k,X_norm,partner_norm,anti_pair_residual,same_pair_residual,pair_sum_norm
v32.26,25042000,dephasing,32,31,0,0,63,63,6.814820129526707e-18,8.221387881378462e-18,1.2649575856479822,1.3319451115699716,1.0399706965104078e-17
v32.26,25042000,dephasing,32,31,0,1,63,62,2.2252082349184708e-06,2.2252082349160224e-06,0.00693825635011128,1.9999879651123955,1.5439065166242992e-08
v32.26,25042000,dephasing,32,31,0,2,63,61,1.2842048788946254e-06,1.2842048788928282e-06,0.003588661578520151,1.9999967803730272,4.608576707837266e-09
v32.26,25042000,dephasing,32,31,0,3,63,60,7.856622715592975e-10,7.856622713653818e-10,0.003386272065548774,1.9999971330415014,2.6604662031368443e-12
v32.26,25042000,dephasing,32,31,0,4,63,59,6.14700502248034e-05,6.147005022478392e-05,0.005923849985759514,1.9999912269807782,3.641393561488382e-07
v32.26,25042000,dephasing,32,31,0,5,63,58,7.233047496563127e-05,7.233047496563817e-05,0.0008165421606161343,1.9999998333146227,5.90608823068334e-08
v32.26,25042000,dephasing,32,31,0,6,63,57,0.00018077118337184357,0.00018077118337194014,0.0006465210247322603,1.9999998955021043,1.168723707156901e-07
v32.26,25042000,dephasing,32,31,0,7,63,56,6.940391316686553e-05,6.940391316677806e-05,0.0006600287487048185,1.9999998910892494,4.580857796274413e-08
v32.26,25042000,dephasing,32,31,0,8,63,55,1.5866687283709335e-05,1.5866687283704835e-05,0.0009952140386691728,1.9999997523869553,1.5790749931921175e-08
v32.26,25042000,dephasing,32,31,0,9,63,54,5.546666237786916e-05,5.5466662377876005e-05,0.0007881599467611274,1.9999998447008451,4.371660166676418e-08
v32.26,25042000,dephasing,32,31,0,10,63,53,6.659598457924082e-05,6.659598457924696e-05,0.0006353663383590281,1.999999899077309,4.2312846871530444e-08
v32.26,25042000,dephasing,32,31,0,11,63,52,1.5564367508206074e-06,1.5564367508182948e-06,0.062053745600733956,1.9990371013693007,9.658273017905492e-08
v32.26,25042000,dephasing,32,31,0,12,63,51,2.768631409448998e-06,2.768631409449349e-06,0.002421711434707513,1.9999985338277675,6.704826342753867e-09
v32.26,25042000,dephasing,32,31,0,13,63,50,6.731049588642324e-08,6.731049588617088e-08,0.0013601221331703956,1.9999995375131427,9.155049524979911e-11
v32.26,25042000,dephasing,32,31,0,14,63,49,6.348664152449592e-10,6.348664152174099e-10,0.031701189284777435,1.9997487428235468,2.0126020400228563e-11
v32.26,25042000,dephasing,32,31,0,15,63,48,1.4912332695524662e-07,1.4912332695522e-07,0.0003405095908771422,1.999999971013126,5.077792305176934e-11
v32.26,25042000,dephasing,32,31,0,16,63,47,1.6992242015146587e-05,1.6992242015147095e-05,0.0024717586828649288,1.9999984726016404,4.2000721742282084e-08
v32.26,25042000,dephasing,32,31,0,17,63,46,7.535337417397336e-05,7.535337417398091e-05,0.0007127230062416858,1.9999998730063746,5.370608337173429e-08
v32.26,25042000,dephasing,32,31,0,18,63,45,6.429089751763672e-05,6.429089751764279e-05,0.0009364500577679044,1.999999780765216,6.020521469434701e-08
v32.26,25042000,dephasing,32,31,0,19,63,44,6.357849095782049e-06,6.357849095778955e-06,0.009230419321271216,1.9999786997258762,5.868561313543336e-08
v32.26,25042000,dephasing,32,31,0,20,63,43,1.3986412604676602e-05,1.3986412604679765e-05,0.0008952330387480832,1.9999997996392156,1.252109865727196e-08
v32.26,25042000,dephasing,32,31,0,21,63,42,2.324691844256881e-06,2.3246918442588774e-06,0.00042246632665375404,1.9999999553796917,9.821040240459888e-10
v32.26,25042000,dephasing,32,31,0,22,63,41,1.746243139634054e-07,1.7462431396354303e-07,0.0041089252829096,1.999995779178013,7.175182586555458e-10
v32.26,25042000,dephasing,32,31,0,23,63,40,2.55642105362099e-07,2.5564210536283206e-07,0.03244511001139779,1.9997368113891583,8.294336232042432e-09
v32.26,25042000,dephasing,32,31,0,24,63,39,5.122731105470084e-07,5.122731105529186e-07,0.019682344408067143,1.9999031489730832,1.0082735792894398e-08
v32.26,25042000,dephasing,32,31,0,25,63,38,3.7435712822220826e-06,3.743571282220222e-06,0.01593445803447698,1.9999365222539338,5.965177949564095e-08
v32.26,25042000,dephasing,32,31,0,26,63,37,2.7525047223208245e-05,2.7525047223187378e-05,0.018519510304182567,1.999914255095718,5.097503956733169e-07
v32.26,25042000,dephasing,32,31,0,27,63,36,2.3986691104599432e-05,2.3986691104609447e-05,0.020208626960494008,1.9998979002425852,4.847380925496523e-07
v32.26,25042000,dephasing,32,31,0,28,63,35,5.356968954031693e-06,5.356968954032001e-06,0.034645343440714294,1.9996999025297881,1.855940292136827e-07
v32.26,25042000,dephasing,32,31,0,29,63,34,6.203233780220866e-05,6.203233780217174e-05,0.04898399453151659,1.9994000520849637,3.0385916956805788e-06
v32.26,25042000,dephasing,32,31,0,30,63,33,0.005495104171982129,0.005495104171981924,0.06076385132306105,1.999076725484102,0.0003339036929110546
v32.26,25042000,dephasing,32,31,0,31,63,32,0.00020296683093295537,0.00020296683093351398,0.06131881169511531,1.999059779826829,1.244568488636645e-05
