version,label,H_parity,V_transverse_parity,V_dephasing_parity,candidate_same_target_transverse
v32.27,IIIIIIII,1,1,1,0
v32.27,IIIIIIIX,0,1,0,0
v32.27,IIIIIIIY,0,1,0,0
v32.27,IIIIIIIZ,0,1,1,0
v32.27,IIIIIIXI,0,1,0,0
v32.27,IIIIIIXX,0,1,0,0
v32.27,IIIIIIXY,0,1,0,0
v32.27,IIIIIIXZ,0,1,0,0
v32.27,IIIIIIYI,0,0,0,0
v32.27,IIIIIIYX,0,0,0,0
v32.27,IIIIIIYY,0,0,0,0
v32.27,IIIIIIYZ,0,0,0,0
v32.27,IIIIIIZI,0,0,1,0
v32.27,IIIIIIZX,0,0,0,0
v32.27,IIIIIIZY,0,0,0,0
v32.27,IIIIIIZZ,0,0,1,0
v32.27,IIIIIXII,0,1,0,0
v32.27,IIIIIXIX,0,1,0,0
v32.27,IIIIIXIY,0,1,0,0
v32.27,IIIIIXIZ,0,1,0,0
v32.27,IIIIIXXI,0,1,1,0
v32.27,IIIIIXXX,0,1,0,0
v32.27,IIIIIXXY,0,1,0,0
v32.27,IIIIIXXZ,0,1,1,0
v32.27,IIIIIXYI,0,0,1,0
v32.27,IIIIIXYX,0,0,0,0
v32.27,IIIIIXYY,0,0,0,0
v32.27,IIIIIXYZ,0,0,1,0
v32.27,IIIIIXZI,0,0,0,0
v32.27,IIIIIXZX,0,0,0,0
v32.27,IIIIIXZY,0,0,0,0
v32.27,IIIIIXZZ,0,0,0,0
v32.27,IIIIIYII,0,0,0,0
v32.27,IIIIIYIX,0,0,0,0
v32.27,IIIIIYIY,0,0,0,0
v32.27,IIIIIYIZ,0,0,0,0
v32.27,IIIIIYXI,0,0,1,0
v32.27,IIIIIYXX,0,0,0,0
v32.27,IIIIIYXY,0,0,0,0
v32.27,IIIIIYXZ,0,0,1,0
v32.27,IIIIIYYI,0,0,1,0
v32.27,IIIIIYYX,0,0,0,0
v32.27,IIIIIYYY,0,0,0,0
v32.27,IIIIIYYZ,0,0,1,0
v32.27,IIIIIYZI,0,0,0,0
v32.27,IIIIIYZX,0,0,0,0
v32.27,IIIIIYZY,0,0,0,0
v32.27,IIIIIYZZ,0,0,0,0
v32.27,IIIIIZII,0,0,1,0
v32.27,IIIIIZIX,0,0,0,0
v32.27,IIIIIZIY,0,0,0,0
v32.27,IIIIIZIZ,0,0,1,0
v32.27,IIIIIZXI,0,0,0,0
v32.27,IIIIIZXX,0,0,0,0
v32.27,IIIIIZXY,0,0,0,0
v32.27,IIIIIZXZ,0,0,0,0
v32.27,IIIIIZYI,0,0,0,0
v32.27,IIIIIZYX,0,0,0,0
v32.27,IIIIIZYY,0,0,0,0
v32.27,IIIIIZYZ,0,0,0,0
v32.27,IIIIIZZI,0,0,1,0
v32.27,IIIIIZZX,0,0,0,0
v32.27,IIIIIZZY,0,0,0,0
v32.27,IIIIIZZZ,0,0,1,0
v32.27,IIIIXIII,0,1,0,0
v32.27,IIIIXIIX,0,1,0,0
v32.27,IIIIXIIY,0,1,0,0
v32.27,IIIIXIIZ,0,1,0,0
v32.27,IIIIXIXI,0,1,0,0
v32.27,IIIIXIXX,0,1,0,0
v32.27,IIIIXIXY,0,1,0,0
v32.27,IIIIXIXZ,0,1,0,0
v32.27,IIIIXIYI,0,0,0,0
v32.27,IIIIXIYX,0,0,0,0
v32.27,IIIIXIYY,0,0,0,0
v32.27,IIIIXIYZ,0,0,0,0
v32.27,IIIIXIZI,0,0,0,0
v32.27,IIIIXIZX,0,0,0,0
v32.27,IIIIXIZY,0,0,0,0
v32.27,IIIIXIZZ,0,0,0,0
v32.27,IIIIXXII,0,1,0,0
v32.27,IIIIXXIX,0,1,0,0
v32.27,IIIIXXIY,0,1,0,0
v32.27,IIIIXXIZ,0,1,0,0
v32.27,IIIIXXXI,0,1,0,0
v32.27,IIIIXXXX,0,1,0,0
v32.27,IIIIXXXY,0,1,0,0
v32.27,IIIIXXXZ,0,1,0,0
v32.27,IIIIXXYI,0,0,0,0
v32.27,IIIIXXYX,0,0,0,0
v32.27,IIIIXXYY,0,0,0,0
v32.27,IIIIXXYZ,0,0,0,0
v32.27,IIIIXXZI,0,0,0,0
v32.27,IIIIXXZX,0,0,0,0
v32.27,IIIIXXZY,0,0,0,0
v32.27,IIIIXXZZ,0,0,0,0
v32.27,IIIIXYII,0,0,0,0
v32.27,IIIIXYIX,0,0,0,0
v32.27,IIIIXYIY,0,0,0,0
v32.27,IIIIXYIZ,0,0,0,0
v32.27,IIIIXYXI,0,0,0,0
v32.27,IIIIXYXX,0,0,0,0
v32.27,IIIIXYXY,0,0,0,0
v32.27,IIIIXYXZ,0,0,0,0
v32.27,IIIIXYYI,0,0,0,0
v32.27,IIIIXYYX,0,0,0,0
v32.27,IIIIXYYY,0,0,0,0
v32.27,IIIIXYYZ,0,0,0,0
v32.27,IIIIXYZI,0,0,0,0
v32.27,IIIIXYZX,0,0,0,0
v32.27,IIIIXYZY,0,0,0,0
v32.27,IIIIXYZZ,0,0,0,0
v32.27,IIIIXZII,0,0,0,0
v32.27,IIIIXZIX,0,0,0,0
v32.27,IIIIXZIY,0,0,0,0
v32.27,IIIIXZIZ,0,0,0,0
v32.27,IIIIXZXI,0,0,0,0
v32.27,IIIIXZXX,0,0,0,0
v32.27,IIIIXZXY,0,0,0,0
v32.27,IIIIXZXZ,0,0,0,0
v32.27,IIIIXZYI,0,0,0,0
v32.27,IIIIXZYX,0,0,0,0
v32.27,IIIIXZYY,0,0,0,0
v32.27,IIIIXZYZ,0,0,0,0
v32.27,IIIIXZZI,0,0,0,0
v32.27,IIIIXZZX,0,0,0,0
v32.27,IIIIXZZY,0,0,0,0
v32.27,IIIIXZZZ,0,0,0,0
v32.27,IIIIYIII,0,0,0,0
v32.27,IIIIYIIX,0,0,0,0
v32.27,IIIIYIIY,0,0,0,0
v32.27,IIIIYIIZ,0,0,0,0
v32.27,IIIIYIXI,0,0,0,0
v32.27,IIIIYIXX,0,0,0,0
v32.27,IIIIYIXY,0,0,0,0
v32.27,IIIIYIXZ,0,0,0,0
v32.27,IIIIYIYI,0,0,0,0
v32.27,IIIIYIYX,0,0,0,0
v32.27,IIIIYIYY,0,0,0,0
v32.27,IIIIYIYZ,0,0,0,0
v32.27,IIIIYIZI,0,0,0,0
v32.27,IIIIYIZX,0,0,0,0
v32.27,IIIIYIZY,0,0,0,0
v32.27,IIIIYIZZ,0,0,0,0
v32.27,IIIIYXII,0,0,0,0
v32.27,IIIIYXIX,0,0,0,0
v32.27,IIIIYXIY,0,0,0,0
v32.27,IIIIYXIZ,0,0,0,0
v32.27,IIIIYXXI,0,0,0,0
v32.27,IIIIYXXX,0,0,0,0
v32.27,IIIIYXXY,0,0,0,0
v32.27,IIIIYXXZ,0,0,0,0
v32.27,IIIIYXYI,0,0,0,0
v32.27,IIIIYXYX,0,0,0,0
v32.27,IIIIYXYY,0,0,0,0
v32.27,IIIIYXYZ,0,0,0,0
v32.27,IIIIYXZI,0,0,0,0
