family,held_seed,n_test,r2,rmse,spearman
dephasing,25042000,32,0.006563938057207674,0.3304402064674235,0.2976539589442815
dephasing,25042001,16,0.12841202940558594,0.1569131469725314,0.6382352941176471
dephasing,25042002,32,0.004595055106365931,0.1797490715110718,0.10447214076246333
dephasing,25042003,32,0.004571653354606853,0.1593837423381513,0.156891495601173
dephasing,25042004,32,0.04650288661612889,0.20312643485401805,0.2456011730205278
dephasing,25042005,16,-0.08655939468038887,0.19686821137326768,-0.17058823529411765
dephasing,25042006,32,0.11055469191238121,0.24437122068224545,0.6037390029325512
dephasing,25042007,16,-0.30424481060137465,0.16712380018509929,0.18235294117647058
dephasing,25042008,32,0.002330689393523544,0.24597311189746604,0.12866568914956011
dephasing,25042009,16,-0.11212147525522398,0.263614623741984,-0.0823529411764706
dephasing,25042010,16,-0.060877796129174655,0.23222107051182597,0.2088235294117647
dephasing,25042011,16,-2.388092087033238,0.5132736349549442,0.14411764705882352
transverse,25042000,32,0.22394693158056012,0.2920576824037464,0.7155425219941348
transverse,25042001,16,0.313577201579323,0.1392513994410671,0.7058823529411764
transverse,25042002,32,0.03243335209001452,0.17721774401686072,0.23350439882697946
transverse,25042003,32,0.13355436509121432,0.14869955777920413,0.37573313782991197
transverse,25042004,32,-0.006509212168452905,0.2086967240423069,0.36217008797653955
transverse,25042005,16,0.24006092135515777,0.16464109618448167,0.7441176470588236
transverse,25042006,32,-0.11049908341107906,0.2730546244727069,0.00879765395894428
transverse,25042007,16,-0.30139704412070056,0.16694124640772248,0.07058823529411765
transverse,25042008,32,0.04992569484481113,0.2400341951107445,0.4886363636363636
transverse,25042009,16,0.016159923924859765,0.24794516262864297,0.011764705882352941
transverse,25042010,16,-0.11072354847817811,0.23761394927125945,0.5029411764705883
transverse,25042011,16,0.06650439100383099,0.26941854941118404,0.4264705882352941
