family,held_seed,n_test,r2,rmse,spearman
dephasing,25042000,32,0.011291273945312041,0.32965305735706735,0.4270527859237536
dephasing,25042001,16,0.05167486889881856,0.1636749996071485,0.5647058823529412
dephasing,25042002,32,-0.06994290823918603,0.18635757952317292,0.04765395894428152
dephasing,25042003,32,0.0070034963060494615,0.15918893512434848,0.2133431085043988
dephasing,25042004,32,0.07190820785540941,0.20040207812745303,0.3804985337243401
dephasing,25042005,16,-0.09161616009861318,0.19732578451239224,0.15588235294117647
dephasing,25042006,32,0.13807969599912118,0.24056031825508287,0.5670821114369501
dephasing,25042007,16,-0.39581555152451986,0.17289114880481796,0.15
dephasing,25042008,32,-0.0133583205823955,0.2478996125286716,0.15065982404692083
dephasing,25042009,16,-0.25635846802871387,0.2801884125710422,0.06764705882352941
dephasing,25042010,16,-0.12833181226805457,0.23948998637030522,0.28823529411764703
dephasing,25042011,16,-1.535994462324827,0.44406393620259743,0.1647058823529412
transverse,25042000,32,-0.11898329604114233,0.35069916039426086,0.46114369501466274
transverse,25042001,16,0.3461619397771727,0.13590605850572465,0.6941176470588235
transverse,25042002,32,0.003679452888410095,0.17983172170320844,0.22104105571847504
transverse,25042003,32,0.10200589977708852,0.15138253015155614,0.3870967741935483
transverse,25042004,32,-0.034992216914197405,0.2116290570107962,0.31598240469208205
transverse,25042005,16,0.02965476941729628,0.18604242757350148,0.8058823529411765
transverse,25042006,32,-0.2376433083921483,0.28826252269909824,0.012463343108504396
transverse,25042007,16,-0.9006858081661584,0.20175017015959054,0.055882352941176466
transverse,25042008,32,0.03936803580805681,0.24136419515863242,0.31781524926686217
transverse,25042009,16,-0.009253800615189656,0.2511271002012121,0.047058823529411764
transverse,25042010,16,-0.1609625963023047,0.24292826968918915,0.3970588235294118
transverse,25042011,16,0.08024850350057744,0.26742783308672874,0.4323529411764706
