family,held_seed,n_test,r2,rmse,spearman
dephasing,25042000,32,0.08037422428761354,0.3179277906689378,0.26502932551319647
dephasing,25042001,16,0.25619976191794824,0.14495455773057903,0.5705882352941177
dephasing,25042002,32,-0.05543179539142051,0.18508952695647765,0.17448680351906154
dephasing,25042003,32,0.15562571639387435,0.146793395678971,0.3980938416422287
dephasing,25042004,32,-0.05470863768395651,0.21363529572871692,0.12866568914956011
dephasing,25042005,16,-1.9035940584670663,0.32182280032213956,-0.21470588235294116
dephasing,25042006,32,0.17942568349391097,0.234719620220139,0.6418621700879765
dephasing,25042007,16,-0.549047701478869,0.1821340477730538,0.1411764705882353
dephasing,25042008,32,-0.25344662589333433,0.27570665668097616,0.1407624633431085
dephasing,25042009,16,-0.2252650471519968,0.27669952103898415,-0.12058823529411765
dephasing,25042010,16,-0.02221982521484489,0.22795078525446721,0.3911764705882353
dephasing,25042011,16,-1.5574788337789132,0.4459409737386661,0.07058823529411765
transverse,25042000,32,0.258335642415643,0.285513487318341,0.7364369501466275
transverse,25042001,16,0.2617075065606741,0.1444168756306088,0.488235294117647
transverse,25042002,32,-0.19885426938938933,0.19726496324764528,0.09934017595307917
transverse,25042003,32,-0.15416053297421262,0.17162167155199315,0.15835777126099704
transverse,25042004,32,0.11009650325553055,0.19623578702634611,0.44574780058651026
transverse,25042005,16,0.3636707840049499,0.15065716533662524,0.8294117647058824
transverse,25042006,32,-2.3320077560661274,0.47298071753761817,0.016495601173020527
transverse,25042007,16,-0.9324959886707072,0.20343142640056777,0.0411764705882353
transverse,25042008,32,0.13472038845804224,0.22907229366502738,0.4556451612903225
transverse,25042009,16,-0.07058472383114345,0.2586448921267826,0.15882352941176472
transverse,25042010,16,0.10040296972921059,0.21384197134310642,0.6529411764705881
transverse,25042011,16,0.23163811041276894,0.24442986152637067,0.6029411764705882
