family,held_seed,n_test,r2,rmse,spearman
dephasing,25042000,32,0.10203420823703668,0.3141613978147385,0.43731671554252194
dephasing,25042001,16,0.17633599806821898,0.15253825066104074,0.3411764705882353
dephasing,25042002,32,-0.03569739177652531,0.18335096500692877,0.03958944281524926
dephasing,25042003,32,-0.0772831913736034,0.165807419281152,0.4607771260997067
dephasing,25042004,32,0.040745763171225136,0.20373874087773136,0.4035923753665689
dephasing,25042005,16,0.016673278852841866,0.1872827511536965,0.40294117647058825
dephasing,25042006,32,0.36807773360311746,0.20597867644432355,0.6935483870967741
dephasing,25042007,16,0.03506801853388508,0.14374974868313312,0.29411764705882354
dephasing,25042008,32,0.05234518884951056,0.23972836034003742,0.24376832844574778
dephasing,25042009,16,0.010464440085441673,0.2486618084655998,0.5617647058823529
dephasing,25042010,16,-0.10191534695835447,0.23666991714010147,0.19999999999999998
dephasing,25042011,16,-0.08019033083629235,0.2898154250427201,0.15
transverse,25042000,32,0.3273392340178193,0.2719073661895208,0.7463343108504398
transverse,25042001,16,0.03744956717250125,0.1648980293333006,0.5588235294117647
transverse,25042002,32,-0.20789988404462445,0.19800776812310908,0.10923753665689148
transverse,25042003,32,0.11091267926457371,0.15062991336805368,0.4490469208211143
transverse,25042004,32,0.19303945402012646,0.18686712574958664,0.5549853372434016
transverse,25042005,16,0.30530961261474254,0.15741441680334312,0.8058823529411765
transverse,25042006,32,-0.4375926748819272,0.31067646831081963,0.06341642228739001
transverse,25042007,16,-1.3428801779682633,0.22399265768035148,0.07058823529411765
transverse,25042008,32,0.26607255369574856,0.21097009265165137,0.687683284457478
transverse,25042009,16,0.07440728998877377,0.24049350271936595,0.13823529411764704
transverse,25042010,16,0.08697151753400512,0.2154324427003406,0.6882352941176471
transverse,25042011,16,0.4155936436152152,0.2131713419959105,0.85
