fold,repeat,fold_within_repeat,model,chosen_k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
1,1,1,logistic_l2,,76,20,10,3,0.9166666666666665,0.9803921568627451,0.803921568627451,0.6666666666666666,0.9411764705882353
1,1,1,logistic_l1,,76,20,10,3,0.9166666666666665,0.9803921568627451,0.9705882352941176,1.0,0.9411764705882353
1,1,1,linear_svm,,76,20,10,3,0.8666666666666667,0.9607843137254901,0.803921568627451,0.6666666666666666,0.9411764705882353
1,1,1,univariate_logistic,16.0,76,20,10,3,0.8666666666666667,0.9607843137254901,0.9117647058823529,1.0,0.8235294117647058
2,1,2,logistic_l2,,77,19,11,2,0.22619047619047616,0.7058823529411764,0.35294117647058826,0.0,0.7058823529411765
2,1,2,logistic_l1,,77,19,11,2,0.15476190476190477,0.5294117647058824,0.5735294117647058,0.5,0.6470588235294118
2,1,2,linear_svm,,77,19,11,2,0.30952380952380953,0.7941176470588235,0.6617647058823529,0.5,0.8235294117647058
2,1,2,univariate_logistic,8.0,77,19,11,2,0.2159090909090909,0.6470588235294117,0.5735294117647058,0.5,0.6470588235294118
3,1,3,logistic_l2,,77,19,11,2,0.75,0.9411764705882353,0.6911764705882353,0.5,0.8823529411764706
3,1,3,logistic_l1,,77,19,11,2,0.8333333333333333,0.9705882352941176,0.75,0.5,1.0
3,1,3,linear_svm,,77,19,11,2,1.0,1.0,0.75,0.5,1.0
3,1,3,univariate_logistic,32.0,77,19,11,2,0.19642857142857142,0.6470588235294117,0.7941176470588236,1.0,0.5882352941176471
4,1,4,logistic_l2,,77,19,10,3,0.7,0.9166666666666666,0.6354166666666666,0.3333333333333333,0.9375
4,1,4,logistic_l1,,77,19,10,3,1.0,1.0,0.8333333333333333,0.6666666666666666,1.0
4,1,4,linear_svm,,77,19,10,3,0.6095238095238096,0.8541666666666666,0.6354166666666666,0.3333333333333333,0.9375
4,1,4,univariate_logistic,32.0,77,19,10,3,0.7222222222222222,0.9166666666666666,0.7708333333333333,0.6666666666666666,0.875
5,1,5,logistic_l2,,77,19,10,3,0.5625,0.6875,0.6041666666666666,0.3333333333333333,0.875
5,1,5,logistic_l1,,77,19,10,3,0.31666666666666665,0.6041666666666666,0.6354166666666666,0.3333333333333333,0.9375
5,1,5,linear_svm,,77,19,10,3,0.5666666666666667,0.7083333333333333,0.6041666666666666,0.3333333333333333,0.875
5,1,5,univariate_logistic,32.0,77,19,10,3,0.4027777777777778,0.7916666666666666,0.5729166666666666,0.3333333333333333,0.8125
6,2,1,logistic_l2,,76,20,10,3,0.4740740740740741,0.6274509803921569,0.6372549019607843,0.3333333333333333,0.9411764705882353
6,2,1,logistic_l1,,76,20,10,3,0.2777777777777778,0.6862745098039216,0.4411764705882353,0.0,0.8823529411764706
6,2,1,linear_svm,,76,20,10,3,0.4769230769230769,0.6470588235294117,0.6666666666666666,0.3333333333333333,1.0
6,2,1,univariate_logistic,8.0,76,20,10,3,0.37777777777777777,0.7843137254901961,0.6078431372549019,0.3333333333333333,0.8823529411764706
7,2,2,logistic_l2,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.47058823529411764,0.0,0.9411764705882353
7,2,2,logistic_l1,,77,19,11,2,0.5833333333333333,0.9411764705882353,0.9705882352941176,1.0,0.9411764705882353
7,2,2,linear_svm,,77,19,11,2,0.5,0.9117647058823529,0.5,0.0,1.0
7,2,2,univariate_logistic,16.0,77,19,11,2,0.5714285714285714,0.6470588235294117,0.6911764705882353,0.5,0.8823529411764706
8,2,3,logistic_l2,,77,19,11,2,0.8333333333333333,0.9705882352941176,0.9705882352941176,1.0,0.9411764705882353
8,2,3,logistic_l1,,77,19,11,2,1.0,1.0,0.9411764705882353,1.0,0.8823529411764706
8,2,3,linear_svm,,77,19,11,2,0.8333333333333333,0.9705882352941176,0.7205882352941176,0.5,0.9411764705882353
8,2,3,univariate_logistic,32.0,77,19,11,2,1.0,1.0,0.8235294117647058,1.0,0.6470588235294118
9,2,4,logistic_l2,,77,19,10,3,0.38888888888888884,0.7708333333333333,0.46875,0.0,0.9375
9,2,4,logistic_l1,,77,19,10,3,0.4843304843304843,0.6458333333333333,0.6354166666666666,0.3333333333333333,0.9375
9,2,4,linear_svm,,77,19,10,3,0.3888888888888889,0.7916666666666666,0.46875,0.0,0.9375
9,2,4,univariate_logistic,16.0,77,19,10,3,0.34090909090909094,0.6875,0.5416666666666666,0.3333333333333333,0.75
10,2,5,logistic_l2,,77,19,10,3,0.7222222222222222,0.9166666666666666,0.7395833333333333,0.6666666666666666,0.8125
10,2,5,logistic_l1,,77,19,10,3,0.2435897435897436,0.6041666666666666,0.5729166666666666,0.3333333333333333,0.8125
10,2,5,linear_svm,,77,19,10,3,0.8055555555555556,0.9583333333333334,0.8020833333333333,0.6666666666666666,0.9375
10,2,5,univariate_logistic,32.0,77,19,10,3,0.33730158730158727,0.7708333333333334,0.875,1.0,0.75
11,3,1,logistic_l2,,76,20,10,3,0.6666666666666667,0.9019607843137254,0.7745098039215685,0.6666666666666666,0.8823529411764706
11,3,1,logistic_l1,,76,20,10,3,0.4,0.7843137254901961,0.5,0.0,1.0
11,3,1,linear_svm,,76,20,10,3,0.4777777777777778,0.8823529411764706,0.6078431372549019,0.3333333333333333,0.8823529411764706
11,3,1,univariate_logistic,8.0,76,20,10,3,0.33134920634920634,0.7647058823529411,0.8235294117647058,1.0,0.6470588235294118
12,3,2,logistic_l2,,77,19,11,2,0.12916666666666665,0.411764705882353,0.47058823529411764,0.0,0.9411764705882353
12,3,2,logistic_l1,,77,19,11,2,0.10427807486631016,0.2647058823529412,0.38235294117647056,0.0,0.7647058823529411
12,3,2,linear_svm,,77,19,11,2,0.2,0.6470588235294118,0.47058823529411764,0.0,0.9411764705882353
12,3,2,univariate_logistic,8.0,77,19,11,2,0.14090909090909093,0.47058823529411764,0.3235294117647059,0.0,0.6470588235294118
13,3,3,logistic_l2,,77,19,11,2,0.5,0.9117647058823529,0.47058823529411764,0.0,0.9411764705882353
13,3,3,logistic_l1,,77,19,11,2,0.5,0.9117647058823529,0.7205882352941176,0.5,0.9411764705882353
13,3,3,linear_svm,,77,19,11,2,0.7,0.9117647058823529,0.5,0.0,1.0
13,3,3,univariate_logistic,8.0,77,19,11,2,1.0,1.0,0.9411764705882353,1.0,0.8823529411764706
14,3,4,logistic_l2,,77,19,10,3,0.40277777777777773,0.8125,0.6041666666666666,0.3333333333333333,0.875
14,3,4,logistic_l1,,77,19,10,3,0.23882783882783884,0.6041666666666666,0.4375,0.0,0.875
14,3,4,linear_svm,,77,19,10,3,0.4444444444444445,0.8541666666666666,0.4375,0.0,0.875
14,3,4,univariate_logistic,8.0,77,19,10,3,0.2240740740740741,0.5416666666666666,0.5104166666666666,0.3333333333333333,0.6875
15,3,5,logistic_l2,,77,19,10,3,0.9166666666666665,0.9791666666666666,0.9375,1.0,0.875
15,3,5,logistic_l1,,77,19,10,3,1.0,1.0,0.96875,1.0,0.9375
15,3,5,linear_svm,,77,19,10,3,0.8055555555555556,0.9583333333333334,0.9375,1.0,0.875
15,3,5,univariate_logistic,8.0,77,19,10,3,0.2935897435897436,0.6666666666666666,0.7083333333333333,0.6666666666666666,0.75
16,4,1,logistic_l2,,76,20,10,3,0.2869047619047619,0.7254901960784313,0.4117647058823529,0.0,0.8235294117647058
16,4,1,logistic_l1,,76,20,10,3,0.2621082621082621,0.6274509803921569,0.5490196078431372,0.3333333333333333,0.7647058823529411
16,4,1,linear_svm,,76,20,10,3,0.38690476190476186,0.784313725490196,0.47058823529411764,0.0,0.9411764705882353
16,4,1,univariate_logistic,32.0,76,20,10,3,0.2619047619047619,0.6862745098039215,0.38235294117647056,0.0,0.7647058823529411
17,4,2,logistic_l2,,77,19,11,2,0.3333333333333333,0.8235294117647058,0.6911764705882353,0.5,0.8823529411764706
17,4,2,logistic_l1,,77,19,11,2,0.225,0.7058823529411764,0.4411764705882353,0.0,0.8823529411764706
17,4,2,linear_svm,,77,19,11,2,0.325,0.8235294117647058,0.47058823529411764,0.0,0.9411764705882353
17,4,2,univariate_logistic,32.0,77,19,11,2,0.3333333333333333,0.8235294117647058,0.6617647058823529,0.5,0.8235294117647058
18,4,3,logistic_l2,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.47058823529411764,0.0,0.9411764705882353
18,4,3,logistic_l1,,77,19,11,2,0.18333333333333335,0.5882352941176471,0.47058823529411764,0.0,0.9411764705882353
18,4,3,linear_svm,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.47058823529411764,0.0,0.9411764705882353
18,4,3,univariate_logistic,16.0,77,19,11,2,0.225,0.6764705882352942,0.6323529411764706,0.5,0.7647058823529411
19,4,4,logistic_l2,,77,19,10,3,0.8055555555555556,0.9583333333333334,0.96875,1.0,0.9375
19,4,4,logistic_l1,,77,19,10,3,0.28535353535353536,0.6875,0.40625,0.0,0.8125
19,4,4,linear_svm,,77,19,10,3,0.8055555555555556,0.9583333333333334,0.8020833333333333,0.6666666666666666,0.9375
19,4,4,univariate_logistic,32.0,77,19,10,3,0.7,0.9166666666666666,0.9375,1.0,0.875
20,4,5,logistic_l2,,77,19,10,3,0.6324786324786325,0.7708333333333333,0.7708333333333333,0.6666666666666666,0.875
20,4,5,logistic_l1,,77,19,10,3,0.5769230769230769,0.75,0.7708333333333333,0.6666666666666666,0.875
20,4,5,linear_svm,,77,19,10,3,0.6388888888888888,0.7916666666666666,0.8020833333333333,0.6666666666666666,0.9375
20,4,5,univariate_logistic,8.0,77,19,10,3,0.5435897435897437,0.7291666666666666,0.6458333333333333,0.6666666666666666,0.625
21,5,1,logistic_l2,,76,20,10,3,0.3547008547008547,0.7254901960784313,0.6078431372549019,0.3333333333333333,0.8823529411764706
21,5,1,logistic_l1,,76,20,10,3,0.5909090909090908,0.803921568627451,0.7745098039215685,0.6666666666666666,0.8823529411764706
21,5,1,linear_svm,,76,20,10,3,0.37142857142857144,0.7058823529411764,0.6372549019607843,0.3333333333333333,0.9411764705882353
21,5,1,univariate_logistic,32.0,76,20,10,3,0.29914529914529914,0.6862745098039215,0.5490196078431372,0.3333333333333333,0.7647058823529411
22,5,2,logistic_l2,,77,19,11,2,0.225,0.7058823529411764,0.47058823529411764,0.0,0.9411764705882353
22,5,2,logistic_l1,,77,19,11,2,0.15476190476190477,0.5294117647058824,0.35294117647058826,0.0,0.7058823529411765
22,5,2,linear_svm,,77,19,11,2,0.6666666666666666,0.8823529411764706,0.5,0.0,1.0
22,5,2,univariate_logistic,8.0,77,19,11,2,0.12222222222222222,0.3823529411764706,0.38235294117647056,0.0,0.7647058823529411
23,5,3,logistic_l2,,77,19,11,2,0.8333333333333333,0.9705882352941176,0.9411764705882353,1.0,0.8823529411764706
23,5,3,logistic_l1,,77,19,11,2,1.0,1.0,0.9411764705882353,1.0,0.8823529411764706
23,5,3,linear_svm,,77,19,11,2,0.5833333333333333,0.9411764705882353,0.9705882352941176,1.0,0.9411764705882353
23,5,3,univariate_logistic,8.0,77,19,11,2,0.41666666666666663,0.8823529411764706,0.7941176470588236,1.0,0.5882352941176471
24,5,4,logistic_l2,,77,19,10,3,0.6111111111111112,0.8333333333333333,0.7395833333333333,0.6666666666666666,0.8125
24,5,4,logistic_l1,,77,19,10,3,0.45833333333333326,0.8333333333333334,0.46875,0.0,0.9375
24,5,4,linear_svm,,77,19,10,3,0.7222222222222222,0.9166666666666666,0.8020833333333333,0.6666666666666666,0.9375
24,5,4,univariate_logistic,8.0,77,19,10,3,0.373015873015873,0.75,0.6770833333333333,0.6666666666666666,0.6875
25,5,5,logistic_l2,,77,19,10,3,0.8666666666666667,0.9583333333333334,0.6666666666666666,0.3333333333333333,1.0
25,5,5,logistic_l1,,77,19,10,3,0.45138888888888884,0.6875,0.8020833333333333,0.6666666666666666,0.9375
25,5,5,linear_svm,,77,19,10,3,0.9166666666666665,0.9791666666666666,0.6666666666666666,0.3333333333333333,1.0
25,5,5,univariate_logistic,8.0,77,19,10,3,0.5833333333333333,0.7708333333333333,0.7708333333333333,0.6666666666666666,0.875
26,6,1,logistic_l2,,76,20,10,3,0.5111111111111111,0.6862745098039216,0.5,0.0,1.0
26,6,1,logistic_l1,,76,20,10,3,0.6388888888888888,0.803921568627451,0.6372549019607843,0.3333333333333333,0.9411764705882353
26,6,1,linear_svm,,76,20,10,3,0.5769230769230769,0.7647058823529411,0.5,0.0,1.0
26,6,1,univariate_logistic,32.0,76,20,10,3,0.5,0.8431372549019607,0.6372549019607843,0.3333333333333333,0.9411764705882353
27,6,2,logistic_l2,,77,19,11,2,0.3333333333333333,0.8235294117647058,0.6617647058823529,0.5,0.8235294117647058
27,6,2,logistic_l1,,77,19,11,2,0.3333333333333333,0.8235294117647058,0.4411764705882353,0.0,0.8823529411764706
27,6,2,linear_svm,,77,19,11,2,0.29166666666666663,0.7647058823529411,0.6617647058823529,0.5,0.8235294117647058
27,6,2,univariate_logistic,16.0,77,19,11,2,0.5,0.9117647058823529,0.9411764705882353,1.0,0.8823529411764706
28,6,3,logistic_l2,,77,19,11,2,0.7,0.9117647058823529,0.9117647058823529,1.0,0.8235294117647058
28,6,3,logistic_l1,,77,19,11,2,0.5,0.9117647058823529,0.8823529411764706,1.0,0.7647058823529411
28,6,3,linear_svm,,77,19,11,2,0.7,0.9117647058823529,0.6911764705882353,0.5,0.8823529411764706
28,6,3,univariate_logistic,32.0,77,19,11,2,0.6111111111111112,0.7941176470588236,0.7941176470588236,1.0,0.5882352941176471
29,6,4,logistic_l2,,77,19,10,3,0.8666666666666667,0.9583333333333334,0.8333333333333333,0.6666666666666666,1.0
29,6,4,logistic_l1,,77,19,10,3,0.6666666666666666,0.8541666666666666,0.6354166666666666,0.3333333333333333,0.9375
29,6,4,linear_svm,,77,19,10,3,0.9166666666666665,0.9791666666666666,0.8333333333333333,0.6666666666666666,1.0
29,6,4,univariate_logistic,8.0,77,19,10,3,0.2847222222222222,0.6041666666666666,0.6770833333333333,0.6666666666666666,0.6875
30,6,5,logistic_l2,,77,19,10,3,0.6666666666666667,0.8958333333333334,0.6041666666666666,0.3333333333333333,0.875
