fold,repeat,fold_within_repeat,pr_auc,roc_auc
1,1,1,0.7555555555555555,0.9411764705882353
2,1,2,0.22619047619047616,0.7058823529411764
3,1,3,0.30952380952380953,0.7941176470588235
4,1,4,0.7575757575757576,0.8333333333333333
5,1,5,0.5666666666666667,0.7083333333333333
6,2,1,0.20555555555555555,0.49019607843137253
7,2,2,0.325,0.8235294117647058
8,2,3,0.75,0.9411764705882353
9,2,4,0.24314574314574317,0.5416666666666666
10,2,5,0.47619047619047616,0.8541666666666666
11,3,1,0.6805555555555556,0.8823529411764706
12,3,2,0.10263157894736842,0.23529411764705882
13,3,3,0.8333333333333333,0.9705882352941176
14,3,4,0.3213675213675214,0.6875
15,3,5,0.7916666666666666,0.8958333333333333
16,4,1,0.22962962962962963,0.6274509803921569
17,4,2,0.39285714285714285,0.8235294117647058
18,4,3,0.26785714285714285,0.7647058823529411
19,4,4,0.6984126984126984,0.8958333333333334
20,4,5,0.5625,0.6875
21,5,1,0.2563492063492063,0.5294117647058822
22,5,2,0.14215686274509803,0.4117647058823529
23,5,3,1.0,1.0
24,5,4,0.5194805194805194,0.7291666666666666
25,5,5,0.8055555555555556,0.9583333333333334
26,6,1,0.20634920634920634,0.5098039215686274
27,6,2,0.225,0.6764705882352942
28,6,3,0.6428571428571428,0.8529411764705882
29,6,4,0.5575757575757576,0.7708333333333333
30,6,5,0.5277777777777778,0.7291666666666666
31,7,1,0.31313131313131315,0.7254901960784313
32,7,2,0.5,0.9117647058823529
33,7,3,0.15555555555555556,0.5294117647058824
34,7,4,0.7916666666666666,0.8958333333333333
35,7,5,0.28888888888888886,0.49999999999999994
36,8,1,0.2222222222222222,0.47058823529411764
37,8,2,0.5714285714285714,0.6470588235294117
38,8,3,0.26785714285714285,0.7647058823529411
39,8,4,0.2851851851851852,0.6666666666666666
40,8,5,0.6111111111111112,0.6666666666666666
41,9,1,0.4444444444444445,0.8627450980392156
42,9,2,0.5833333333333333,0.9411764705882353
43,9,3,0.11513157894736842,0.29411764705882354
44,9,4,0.625,0.8541666666666666
45,9,5,0.5435897435897437,0.7291666666666666
46,10,1,0.626984126984127,0.7647058823529411
47,10,2,0.14646464646464646,0.5
48,10,3,0.29166666666666663,0.7647058823529411
49,10,4,0.5555555555555556,0.8958333333333334
50,10,5,0.41111111111111115,0.8333333333333334
51,11,1,0.4027777777777778,0.8039215686274509
52,11,2,0.10512820512820513,0.2647058823529412
53,11,3,0.3125,0.5588235294117647
54,11,4,0.9166666666666665,0.9791666666666666
55,11,5,0.1508190883190883,0.3333333333333333
56,12,1,0.5,0.8431372549019607
57,12,2,0.13025210084033612,0.38235294117647056
58,12,3,0.1625,0.5588235294117647
59,12,4,0.6095238095238096,0.8541666666666666
60,12,5,0.5435897435897437,0.7291666666666666
61,13,1,0.25,0.6666666666666666
62,13,2,0.20833333333333331,0.676470588235294
63,13,3,0.5526315789473684,0.5
64,13,4,0.8666666666666667,0.9583333333333334
65,13,5,0.5444444444444444,0.7708333333333333
66,14,1,0.6666666666666666,0.8627450980392156
67,14,2,0.7,0.9117647058823529
68,14,3,0.22619047619047616,0.7058823529411764
69,14,4,0.2492063492063492,0.6041666666666666
70,14,5,0.6428571428571428,0.875
71,15,1,0.6388888888888888,0.9411764705882353
72,15,2,0.2777777777777778,0.7352941176470589
73,15,3,0.41666666666666663,0.8529411764705882
74,15,4,0.8095238095238095,0.9166666666666666
75,15,5,0.23433048433048434,0.5833333333333334
76,16,1,0.35555555555555557,0.7843137254901961
77,16,2,0.6,0.7647058823529411
78,16,3,0.5526315789473684,0.5
79,16,4,0.25,0.6458333333333333
80,16,5,0.7916666666666666,0.8958333333333333
81,17,1,0.3888888888888889,0.8039215686274509
82,17,2,0.12222222222222222,0.3823529411764706
83,17,3,1.0,1.0
84,17,4,0.6111111111111112,0.8333333333333333
85,17,5,0.4843304843304843,0.6458333333333333
86,18,1,0.6388888888888888,0.9411764705882353
87,18,2,0.625,0.8235294117647058
88,18,3,0.26666666666666666,0.7058823529411764
89,18,4,0.625,0.8541666666666666
90,18,5,0.3242424242424242,0.6458333333333333
91,19,1,0.5285714285714286,0.7647058823529411
92,19,2,0.325,0.8235294117647058
93,19,3,0.5555555555555556,0.5294117647058824
94,19,4,0.4666666666666667,0.8541666666666666
95,19,5,0.5,0.6875
96,20,1,0.5333333333333333,0.9019607843137255
97,20,2,0.13596491228070173,0.3529411764705882
98,20,3,0.2777777777777778,0.7352941176470589
99,20,4,0.4888888888888888,0.8125
100,20,5,0.21666666666666667,0.5416666666666666
