i,j,overlap,same_repeat
0,1,0.639774791770708,1
0,2,0.6619250655469774,1
0,3,0.6490220603937085,1
0,4,0.6059096305558096,1
0,5,0.6281499972786508,0
0,6,0.6667300672533718,0
0,7,0.65544665555004,0
0,8,0.6490376947613976,0
0,9,0.6908847222104393,0
0,10,0.7173092638551491,0
0,11,0.6239355923951065,0
0,12,0.6839289286604051,0
0,13,0.6032953416124047,0
0,14,0.6754666944539693,0
0,15,0.6579790923420916,0
0,16,0.6632869261111182,0
0,17,0.648983257139801,0
0,18,0.6523419086150218,0
0,19,0.6720482043235544,0
0,20,0.7125109209907213,0
0,21,0.6285200041431874,0
0,22,0.6933148975880556,0
0,23,0.7322509551474783,0
0,24,0.6428424081193329,0
0,25,0.7034399694916937,0
0,26,0.6605924781868991,0
0,27,0.7004319964378265,0
0,28,0.6195949420995255,0
0,29,0.6156498973431068,0
0,30,0.6509181220657929,0
0,31,0.6485302248752589,0
0,32,0.7615414496008029,0
0,33,0.6808411023803934,0
0,34,0.5947868291010324,0
0,35,0.6617597714336245,0
0,36,0.673676600038327,0
0,37,0.6718938048894301,0
0,38,0.6483035332246472,0
0,39,0.663048740976914,0
0,40,0.6457915191930669,0
0,41,0.6480833635183307,0
0,42,0.655014670774793,0
0,43,0.7046747225975563,0
0,44,0.6595781860704899,0
0,45,0.6491046039245637,0
0,46,0.7116960812015387,0
0,47,0.7047321283354073,0
0,48,0.6417826815669769,0
0,49,0.6564454349537077,0
0,50,0.6666737448765092,0
0,51,0.6773289642134882,0
0,52,0.6731000744153544,0
0,53,0.6716211041272484,0
0,54,0.6923492877490038,0
0,55,0.6193960886701029,0
0,56,0.6143146067066204,0
0,57,0.6140806375350917,0
0,58,0.7306976378498854,0
0,59,0.6896440126605601,0
0,60,0.7199433919067013,0
0,61,0.6177840134065969,0
0,62,0.684746976711569,0
0,63,0.6728718580166314,0
0,64,0.6401254778065084,0
0,65,0.6331694166855497,0
0,66,0.7056900967225364,0
0,67,0.6399242642086819,0
0,68,0.656711303384275,0
0,69,0.6880534940936669,0
0,70,0.6543453596921717,0
0,71,0.673780129889482,0
0,72,0.6512465762033539,0
0,73,0.6948726992948938,0
0,74,0.6620468335524339,0
0,75,0.625295604048083,0
0,76,0.6462352340331701,0
0,77,0.6857887017595616,0
0,78,0.6520954773344005,0
0,79,0.7056774694042218,0
0,80,0.6043096501489512,0
0,81,0.6496791960647086,0
0,82,0.6601112065293144,0
0,83,0.7163404321584925,0
0,84,0.732640127897281,0
0,85,0.6668450691979297,0
0,86,0.6462878987850429,0
0,87,0.6395799709365493,0
0,88,0.7357431691078403,0
0,89,0.6419193994656132,0
0,90,0.6711122537256351,0
0,91,0.6237254450917673,0
0,92,0.6666746160302223,0
0,93,0.701132934761338,0
0,94,0.6976311240835609,0
0,95,0.681615932699879,0
0,96,0.6402643955287817,0
0,97,0.6155416933708702,0
0,98,0.6900606760288317,0
0,99,0.7084202882377496,0
1,2,0.7152261332941081,1
1,3,0.6919008935316961,1
1,4,0.6085853539803049,1
1,5,0.7374088822183085,0
1,6,0.7009160074988439,0
1,7,0.6723375338903554,0
1,8,0.7150751495928942,0
1,9,0.7096220061910211,0
1,10,0.6772434510226407,0
1,11,0.7045850549615547,0
1,12,0.7673236168370566,0
1,13,0.719347193166735,0
1,14,0.72398436755853,0
1,15,0.7227515001724335,0
1,16,0.6436252988843432,0
1,17,0.8358531793948828,0
1,18,0.6955235024009121,0
1,19,0.6679376005854691,0
1,20,0.6716117039546682,0
1,21,0.7794339974364375,0
1,22,0.7401682383907816,0
1,23,0.697430330345103,0
1,24,0.6595232779756319,0
1,25,0.6754456144014588,0
1,26,0.7805314620107465,0
1,27,0.736350161816065,0
1,28,0.6643550423588408,0
1,29,0.6552961527357279,0
1,30,0.6504927782977555,0
1,31,0.7784273045336685,0
1,32,0.7483653673589556,0
1,33,0.7054661388880992,0
1,34,0.6808780803954375,0
1,35,0.7061790647445991,0
1,36,0.7419962720258151,0
1,37,0.7330399147276545,0
1,38,0.7685452897388414,0
1,39,0.637532247812569,0
1,40,0.7079528594143172,0
1,41,0.6882692547376654,0
1,42,0.7825539102235322,0
1,43,0.6279832517449592,0
1,44,0.7632942792657268,0
1,45,0.71992480471223,0
1,46,0.7801744547940188,0
1,47,0.7099351393363389,0
1,48,0.7416455673742895,0
1,49,0.7348817829765528,0
1,50,0.7241709670605152,0
1,51,0.740536068700743,0
1,52,0.6940329901978155,0
1,53,0.643806347187885,0
1,54,0.7109339038565865,0
1,55,0.6509278075788797,0
1,56,0.7088524618470804,0
1,57,0.6819842026253492,0
1,58,0.724914487578176,0
1,59,0.6931796144842595,0
1,60,0.6803472393869889,0
1,61,0.6924834319090046,0
1,62,0.7328690004358678,0
1,63,0.7290724945009452,0
1,64,0.7386543151672644,0
1,65,0.7009511293097973,0
1,66,0.7678445536613112,0
1,67,0.7290285507578943,0
1,68,0.67647260138086,0
1,69,0.6832445291628721,0
1,70,0.6861167027573545,0
1,71,0.7831163756708179,0
1,72,0.7275803045439457,0
1,73,0.6910114461063832,0
1,74,0.7047482506145357,0
1,75,0.7683288326882042,0
1,76,0.651015680796154,0
1,77,0.727679622346767,0
1,78,0.7284901246169075,0
1,79,0.6889371548459048,0
1,80,0.7229862811086385,0
1,81,0.7421377606155688,0
1,82,0.7033113906705337,0
1,83,0.686916521120168,0
1,84,0.7016397502289777,0
1,85,0.6414635826624344,0
1,86,0.691323784156467,0
1,87,0.7274050991292539,0
1,88,0.7353472517738779,0
1,89,0.7423575166945728,0
1,90,0.7245578752383706,0
1,91,0.7468643040934189,0
1,92,0.6904460125412604,0
1,93,0.6764230078581983,0
1,94,0.6847041584875491,0
1,95,0.721897384159442,0
1,96,0.7341851134825276,0
1,97,0.7028625776562671,0
1,98,0.7068607123223772,0
1,99,0.672992810346482,0
2,3,0.7022772390321728,1
2,4,0.6205194888585819,1
2,5,0.7739417372637944,0
2,6,0.7359877674937105,0
2,7,0.6974006349051517,0
2,8,0.6296989867413435,0
2,9,0.723648043247201,0
2,10,0.6831643045483067,0
2,11,0.6960337971641283,0
2,12,0.7139724841810453,0
2,13,0.7305721836978911,0
2,14,0.7246930586782518,0
2,15,0.6988828291003932,0
2,16,0.6580805517654322,0
2,17,0.7306832457071075,0
2,18,0.771100991522309,0
2,19,0.6651628607759181,0
2,20,0.7232719324474342,0
2,21,0.6855680392650637,0
2,22,0.7938260046214716,0
2,23,0.7023914598134513,0
2,24,0.6291641751135559,0
2,25,0.6801395798531567,0
2,26,0.742164257107235,0
2,27,0.7635935456947006,0
2,28,0.6912701806313587,0
2,29,0.6068135414950404,0
2,30,0.709087461924453,0
2,31,0.7155184353726327,0
2,32,0.7057522049850657,0
2,33,0.7130382175108717,0
2,34,0.7015947373242126,0
2,35,0.7205045569288293,0
2,36,0.7323933455245949,0
2,37,0.7507606554711829,0
2,38,0.7298176025175298,0
2,39,0.6577827218143231,0
2,40,0.7203473596445529,0
2,41,0.7842775479913268,0
2,42,0.7256998990511409,0
2,43,0.646596411855701,0
2,44,0.7304622371542628,0
2,45,0.7545148196227519,0
2,46,0.7598051742343774,0
2,47,0.7297599476330705,0
2,48,0.6715710822984646,0
2,49,0.7295656977774604,0
2,50,0.7256569102753881,0
2,51,0.6698521389041199,0
2,52,0.7067917335817104,0
2,53,0.7002100728349568,0
2,54,0.7191652319394386,0
2,55,0.7326726996628175,0
2,56,0.6846533645168892,0
2,57,0.57982361132421,0
2,58,0.7494006797799939,0
2,59,0.6966659064682883,0
2,60,0.7144372448089455,0
2,61,0.6882201049222156,0
2,62,0.7571807243303402,0
2,63,0.7267718554342649,0
2,64,0.7169988096565445,0
2,65,0.7963081902878917,0
2,66,0.6887316754794724,0
2,67,0.6864643441965684,0
2,68,0.7020634558266714,0
2,69,0.6734739690381012,0
2,70,0.740606329293507,0
2,71,0.7419539052484541,0
2,72,0.7042198088460191,0
2,73,0.6449708768962805,0
2,74,0.6986036262330169,0
2,75,0.6832339673950999,0
2,76,0.654940271574616,0
2,77,0.7603615150852012,0
2,78,0.7352602507904253,0
2,79,0.7093855914742545,0
2,80,0.6927803705577396,0
2,81,0.742930088341978,0
2,82,0.7871495476218846,0
2,83,0.655747693198999,0
2,84,0.72597542564721,0
2,85,0.5989555181213719,0
2,86,0.6886271914318433,0
2,87,0.6885420904602171,0
2,88,0.7321569285497721,0
2,89,0.8053397258769259,0
2,90,0.7194260234561484,0
2,91,0.673491823825602,0
2,92,0.6964867733309377,0
2,93,0.719402148694829,0
2,94,0.775095947230069,0
2,95,0.7745485908261361,0
2,96,0.6459146030290869,0
2,97,0.7042830771069439,0
2,98,0.6989452184857979,0
2,99,0.6815384644603157,0
3,4,0.617087813511701,1
3,5,0.7579911125115135,0
3,6,0.7458046596346977,0
3,7,0.6995412417886888,0
3,8,0.6117001640861865,0
3,9,0.7401326198580431,0
3,10,0.697252568898721,0
3,11,0.7137014062753969,0
3,12,0.6682649335654909,0
3,13,0.7051223701718549,0
