gene,raw_variance_rank,gpl570_measurable,projector_diagonal_mass
HLA-A29.1,1,0,0.1298934215787365
RPS4Y1,2,1,0.09372131436097246
LOC100133662,3,0,0.09142416631485377
HLA-DRB1,4,1,0.05575808438363768
HLA-DRB5,5,1,0.07444012161331684
PRG3,6,1,0.056244769224282516
EIF1AY,7,1,0.08349910391006107
PRG2,8,1,0.03313366397552864
TUBB1,9,1,0.044956424124009416
GP9,10,1,0.047917074329168134
GNG11,11,1,0.05339473580780534
LOC729645,12,0,0.12311262144880053
SDPR,13,1,0.04576918183122514
CYorf15A,14,0,0.09063801790594192
HOXA5,15,1,0.08452019683656327
THBS1,16,1,0.12748847319058298
JARID1D,17,0,0.08049971424481446
MMP8,18,1,0.03277347076156491
LOC728835,19,0,0.07300491405295233
HIST1H1E,20,1,0.04616759454310712
CCR7,21,1,0.019205487188547487
PRTN3,22,1,0.05479874831827582
EMP1,23,1,0.07295851153581819
ORM1,24,1,0.03344869956115486
HIST1H4B,25,1,0.040400412864257024
DEFB1,26,1,0.18268489046694208
GZMH,27,1,0.04013486201835686
CCL4L1,28,0,0.07237235935550983
RNU1G2,29,0,0.05262408076319234
CCL2,30,1,0.06346223324504927
PI3,31,1,0.10566323984079767
RNU1-5,32,0,0.0538137060056037
TPSAB1,33,1,0.11831653780590477
RNU1-3,34,0,0.05186688312404128
LOC100134379,35,0,0.045572051555250716
SNORD3C,36,1,0.05453679111830684
IFIT1L,37,0,0.08196614768386785
HES4,38,1,0.06515708211191001
CXCL2,39,1,0.07254837355369295
LOC727908,40,0,0.09500089708139538
LOC654055,41,0,0.11162098790471958
GZMB,42,1,0.034026763315166506
RGS1,43,1,0.07666633937598426
MIR1974,44,0,0.09286045613451809
GYPB,45,1,0.07706343772650556
IL7R,46,1,0.03168311954174243
HIST1H1B,47,1,0.036342562644022906
ALPL,48,1,0.06685761304155233
FGFBP2,49,1,0.04227308904889179
HBM,50,1,0.07595425086352213
KLRB1,51,1,0.030694516680166182
LTF,52,1,0.039699152184655195
TFF3,53,1,0.039257255106272884
GZMA,54,1,0.030201622762080813
VWF,55,1,0.09039277575433328
C21orf7,56,0,0.053055689413994564
RAP1GAP,57,1,0.10557380202914063
PPBP,58,1,0.05424872684800673
SNORD3D,59,1,0.05543195455248169
HBG2,60,1,0.06392120526655791
