coordinate_index,development_gene,projector_diagonal_mass,development_entrez_ids,match_status,matched_entrez_ids,external_symbols_for_match
0,HLA-A29.1,0.1298934215787365,649853,UNRESOLVED,,
1,RPS4Y1,0.09372131436097246,6192,EXACT_SYMBOL,,
2,LOC100133662,0.09142416631485377,100133662,UNRESOLVED,,
3,HLA-DRB1,0.05575808438363768,3123,EXACT_SYMBOL,,
4,HLA-DRB5,0.07444012161331684,3127,EXACT_SYMBOL,,
5,PRG3,0.056244769224282516,10394,EXACT_SYMBOL,,
6,EIF1AY,0.08349910391006107,9086,EXACT_SYMBOL,,
7,PRG2,0.03313366397552864,5553,EXACT_SYMBOL,,
8,TUBB1,0.044956424124009416,81027,EXACT_SYMBOL,,
9,GP9,0.047917074329168134,2815,EXACT_SYMBOL,,
10,GNG11,0.05339473580780534,2791,EXACT_SYMBOL,,
11,LOC729645,0.12311262144880053,729645,UNRESOLVED,,
12,SDPR,0.04576918183122514,8436,EXACT_SYMBOL,,
13,CYorf15A,0.09063801790594192,246126,ENTREZ_ID_MATCH,246126,TXLNGY
14,HOXA5,0.08452019683656327,3202,EXACT_SYMBOL,,
15,THBS1,0.12748847319058298,7057,EXACT_SYMBOL,,
16,JARID1D,0.08049971424481446,8284,ENTREZ_ID_MATCH,8284,KDM5D
17,MMP8,0.03277347076156491,4317,EXACT_SYMBOL,,
18,LOC728835,0.07300491405295233,728835,UNRESOLVED,,
19,HIST1H1E,0.04616759454310712,3008,EXACT_SYMBOL,,
20,CCR7,0.019205487188547487,1236,EXACT_SYMBOL,,
21,PRTN3,0.05479874831827582,5657,EXACT_SYMBOL,,
22,EMP1,0.07295851153581819,2012,EXACT_SYMBOL,,
23,ORM1,0.03344869956115486,5004,EXACT_SYMBOL,,
24,HIST1H4B,0.040400412864257024,8366,EXACT_SYMBOL,,
25,DEFB1,0.18268489046694208,1672,EXACT_SYMBOL,,
26,GZMH,0.04013486201835686,2999,EXACT_SYMBOL,,
27,CCL4L1,0.07237235935550983,9560,UNRESOLVED,,
28,RNU1G2,0.05262408076319234,26864,UNRESOLVED,,
29,CCL2,0.06346223324504927,6347,EXACT_SYMBOL,,
30,PI3,0.10566323984079767,5266,EXACT_SYMBOL,,
31,RNU1-5,0.0538137060056037,26863,UNRESOLVED,,
32,TPSAB1,0.11831653780590477,7177,EXACT_SYMBOL,,
33,RNU1-3,0.05186688312404128,26869,UNRESOLVED,,
34,LOC100134379,0.045572051555250716,100134379,UNRESOLVED,,
35,SNORD3C,0.05453679111830684,780853,EXACT_SYMBOL,,
36,IFIT1L,0.08196614768386785,439996,UNRESOLVED,,
37,HES4,0.06515708211191001,57801,EXACT_SYMBOL,,
38,CXCL2,0.07254837355369295,2920,EXACT_SYMBOL,,
39,LOC727908,0.09500089708139538,727908,UNRESOLVED,,
40,LOC654055,0.11162098790471958,654055,UNRESOLVED,,
41,GZMB,0.034026763315166506,3002,EXACT_SYMBOL,,
42,RGS1,0.07666633937598426,5996,EXACT_SYMBOL,,
43,MIR1974,0.09286045613451809,100302207,UNRESOLVED,,
44,GYPB,0.07706343772650556,2994,EXACT_SYMBOL,,
45,IL7R,0.03168311954174243,3575,EXACT_SYMBOL,,
46,HIST1H1B,0.036342562644022906,3009,EXACT_SYMBOL,,
47,ALPL,0.06685761304155233,249,EXACT_SYMBOL,,
48,FGFBP2,0.04227308904889179,83888,EXACT_SYMBOL,,
49,HBM,0.07595425086352213,3042,EXACT_SYMBOL,,
50,KLRB1,0.030694516680166182,3820,EXACT_SYMBOL,,
51,LTF,0.039699152184655195,4057,EXACT_SYMBOL,,
52,TFF3,0.039257255106272884,7033,EXACT_SYMBOL,,
53,GZMA,0.030201622762080813,3001,EXACT_SYMBOL,,
