coordinate_index,gene,projector_diagonal_mass,patients_with_gene_feature,present_all_9,present_any,present_patients
0,HLA-A29.1,0.1298934215787365,0,0,0,
1,RPS4Y1,0.09372131436097246,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
2,LOC100133662,0.09142416631485377,0,0,0,
3,HLA-DRB1,0.05575808438363768,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
4,HLA-DRB5,0.07444012161331684,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
5,PRG3,0.056244769224282516,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
6,EIF1AY,0.08349910391006107,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
7,PRG2,0.03313366397552864,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
8,TUBB1,0.044956424124009416,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
9,GP9,0.047917074329168134,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
10,GNG11,0.05339473580780534,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
11,LOC729645,0.12311262144880053,0,0,0,
12,SDPR,0.04576918183122514,0,0,0,
13,CYorf15A,0.09063801790594192,0,0,0,
14,HOXA5,0.08452019683656327,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
15,THBS1,0.12748847319058298,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
16,JARID1D,0.08049971424481446,0,0,0,
17,MMP8,0.03277347076156491,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
18,LOC728835,0.07300491405295233,0,0,0,
19,HIST1H1E,0.04616759454310712,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
20,CCR7,0.019205487188547487,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
21,PRTN3,0.05479874831827582,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
22,EMP1,0.07295851153581819,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
23,ORM1,0.03344869956115486,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
24,HIST1H4B,0.040400412864257024,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
25,DEFB1,0.18268489046694208,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
26,GZMH,0.04013486201835686,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
27,CCL4L1,0.07237235935550983,0,0,0,
28,RNU1G2,0.05262408076319234,0,0,0,
29,CCL2,0.06346223324504927,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
30,PI3,0.10566323984079767,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
31,RNU1-5,0.0538137060056037,0,0,0,
32,TPSAB1,0.11831653780590477,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
33,RNU1-3,0.05186688312404128,0,0,0,
34,LOC100134379,0.045572051555250716,0,0,0,
35,SNORD3C,0.05453679111830684,0,0,0,
36,IFIT1L,0.08196614768386785,0,0,0,
37,HES4,0.06515708211191001,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
38,CXCL2,0.07254837355369295,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
39,LOC727908,0.09500089708139538,0,0,0,
40,LOC654055,0.11162098790471958,0,0,0,
41,GZMB,0.034026763315166506,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
42,RGS1,0.07666633937598426,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
43,MIR1974,0.09286045613451809,0,0,0,
44,GYPB,0.07706343772650556,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
45,IL7R,0.03168311954174243,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
46,HIST1H1B,0.036342562644022906,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
47,ALPL,0.06685761304155233,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
48,FGFBP2,0.04227308904889179,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
49,HBM,0.07595425086352213,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
50,KLRB1,0.030694516680166182,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
51,LTF,0.039699152184655195,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
52,TFF3,0.039257255106272884,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
53,GZMA,0.030201622762080813,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
54,VWF,0.09039277575433328,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
55,C21orf7,0.053055689413994564,0,0,0,
56,RAP1GAP,0.10557380202914063,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
57,PPBP,0.05424872684800673,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
58,SNORD3D,0.05543195455248169,0,0,0,
59,HBG2,0.06392120526655791,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
60,LOC644936,0.1616005020973319,0,0,0,
61,CD247,0.02728241428951635,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
62,CD6,0.023667164020714514,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
63,F13A1,0.05051983580408162,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
64,LOC642073,0.066660723548919,0,0,0,
65,CCL3L1,0.05484486047394531,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
66,HP,0.03253717992819749,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
67,CA1,0.07699293562726262,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
68,RBPMS2,0.05849723540010888,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
69,HIST1H2BG,0.04165911667500327,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
70,GZMK,0.02706343748966227,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
71,HBG1,0.06742235153498106,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
72,HIST1H1D,0.03725593531333895,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
73,EGR2,0.048025248321593175,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
74,PGLYRP1,0.03177156332199922,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
75,IGJ,0.04648545778144597,0,0,0,
76,RNU12,0.04362628691878066,0,0,0,
77,RPS4Y2,0.09784880084577023,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
78,SPRYD5,0.09642802646635436,0,0,0,
79,HIST1H2AH,0.04140620343153412,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
80,KIAA0367,0.12204433682578283,0,0,0,
81,PRF1,0.049609281241473326,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
82,SPTA1,0.09311573557176443,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
83,LOC652493,0.06847805015163609,0,0,0,
84,SLC4A1,0.09249374663533198,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
85,PCOLCE2,0.08252609523470378,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
86,IL2RB,0.034227256370893945,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
87,LOC647506,0.04357302077738326,0,0,0,
88,AZU1,0.04221115073377952,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
89,GIMAP4,0.059207272640429354,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
90,CLEC1B,0.05168380476773715,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
91,MAFB,0.08045993099049578,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
92,SNORD3A,0.05622352669801632,0,0,0,
93,XIST,0.09223793690888678,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
94,LOC100133875,0.15587638485944535,0,0,0,
95,TSPAN9,0.045985838958645955,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
96,RNU1A3,0.06011990484270576,0,0,0,
97,RNASE3,0.03492349097128008,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
98,GJB6,0.06603577554893843,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
99,HBEGF,0.07170287600679864,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
100,HLA-DQA1,0.04799650655425196,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
101,SPOCK2,0.02432811166821191,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
102,FAIM3,0.02616395508793343,0,0,0,
103,CEACAM6,0.03496916068066684,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
104,LOC100133678,0.0509966540110164,0,0,0,
105,MMP9,0.03345156356483059,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
106,RNU4-1,0.05487676218576343,0,0,0,
107,MGC13057,0.04938094163476646,0,0,0,
108,RNU1F1,0.04459243279966151,0,0,0,
109,HLA-DRB4,0.06569094618085122,0,0,0,
110,LEF1,0.04148772471897963,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
111,KLRF1,0.03984117404955813,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
112,NRGN,0.061075215595450594,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
113,RETN,0.026773371574919415,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
114,LOC647450,0.055541801495268626,0,0,0,
115,SH3BGRL2,0.0477510526765362,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
116,GSTM1,0.12168788479854165,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
117,CEBPE,0.041554627612143125,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
118,ABP1,0.07068980013269846,0,0,0,
119,CD19,0.05372320594656206,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
120,IL1B,0.12178061930439224,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
121,CCL3L3,0.055317757972321496,0,0,0,
122,CD2,0.026469531718127628,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
123,SLC45A3,0.08322792479047375,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
124,TNFAIP3,0.05630199752373588,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
125,VCAN,0.10270275130748462,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
126,LOC642113,0.08293484381515415,0,0,0,
127,SLPI,0.034515206224847085,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
128,RHAG,0.0757586708831959,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
129,LGALS2,0.10710656586101727,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
130,PIK3IP1,0.02415538108469928,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
131,ESAM,0.0583915125578005,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
132,PHACTR1,0.061282918241145616,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
133,TPSB2,0.10997399938300018,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
134,COL17A1,0.03264573802949112,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
135,TSPAN33,0.06251545610969338,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
136,LOC731682,0.09117524355180169,0,0,0,
137,TACSTD2,0.055650504395804413,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
138,CD83,0.060101425500523165,9,1,1,CML1|CML2|CML3|CML4|CML5|CML6|CML7|CML8|CML9
