development_gene,development_entrez_ids,gpl570_status,matched_entrez_ids,gse236233_present_all9,eligible_v44
1-Dec,50514,ENTREZ_ID_MATCH,50514,0,0
1-Mar,55016,ENTREZ_ID_MATCH,55016,0,0
10-Mar,162333,ENTREZ_ID_MATCH,162333,0,0
11-Mar,441061,ENTREZ_ID_MATCH,441061,0,0
2-Mar,51257,ENTREZ_ID_MATCH,51257,0,0
3-Mar,115123,ENTREZ_ID_MATCH,115123,0,0
4-Mar,57574,ENTREZ_ID_MATCH,57574,0,0
5-Mar,54708,ENTREZ_ID_MATCH,54708,0,0
6-Mar,10299,ENTREZ_ID_MATCH,10299,0,0
7-Mar,64844,ENTREZ_ID_MATCH,64844,0,0
7A5,346389,ENTREZ_ID_MATCH,346389,0,0
8-Mar,220972,ENTREZ_ID_MATCH,220972,0,0
9-Mar,92979,ENTREZ_ID_MATCH,92979,0,0
A1BG,1,EXACT_SYMBOL,1,1,1
A1CF,29974,EXACT_SYMBOL,29974,1,1
A26C3,23784,UNRESOLVED,,0,0
A2BP1,54715,ENTREZ_ID_MATCH,54715,0,0
A2LD1,87769,ENTREZ_ID_MATCH,87769,0,0
A2M,2,EXACT_SYMBOL,2,1,1
A2ML1,144568,EXACT_SYMBOL,144568,1,1
A3GALT2,127550,UNRESOLVED,,1,0
A4GALT,53947,EXACT_SYMBOL,53947,1,1
A4GNT,51146,EXACT_SYMBOL,51146,1,1
AAA1,404744,ENTREZ_ID_MATCH,404744,0,0
AAAS,8086,EXACT_SYMBOL,8086,1,1
AACS,65985,EXACT_SYMBOL,65985,1,1
AACSL,401224,UNRESOLVED,,0,0
AADAC,13,EXACT_SYMBOL,13,1,1
AADACL1,57552,ENTREZ_ID_MATCH,57552,0,0
AADACL2,344752,EXACT_SYMBOL,344752,1,1
AADACL3,126767,UNRESOLVED,,1,0
AADACL4,343066,UNRESOLVED,,1,0
AADAT,51166,EXACT_SYMBOL,51166,1,1
AAGAB,79719,EXACT_SYMBOL,79719,1,1
AAK1,22848,EXACT_SYMBOL,22848,1,1
AAMP,14,EXACT_SYMBOL,14,1,1
AANAT,15,EXACT_SYMBOL,15,1,1
AARS,16,EXACT_SYMBOL,16,1,1
AARS2,57505,EXACT_SYMBOL,57505,1,1
AARSD1,80755,EXACT_SYMBOL,80755,1,1
AASDH,132949,EXACT_SYMBOL,132949,1,1
AASDHPPT,60496,EXACT_SYMBOL,60496,1,1
AASS,10157,EXACT_SYMBOL,10157,1,1
AATF,26574,EXACT_SYMBOL,26574,1,1
AATK,9625,EXACT_SYMBOL,9625,1,1
ABAT,18,EXACT_SYMBOL,18,1,1
ABCA1,19,EXACT_SYMBOL,19,1,1
ABCA10,10349,UNRESOLVED,,1,0
ABCA11,79963,ENTREZ_ID_MATCH,79963,0,0
ABCA12,26154,EXACT_SYMBOL,26154,1,1
ABCA13,154664,EXACT_SYMBOL,154664,1,1
ABCA2,20,EXACT_SYMBOL,20,1,1
ABCA3,21,EXACT_SYMBOL,21,1,1
ABCA4,24,EXACT_SYMBOL,24,1,1
ABCA5,23461,EXACT_SYMBOL,23461,1,1
ABCA6,23460,EXACT_SYMBOL,23460,1,1
ABCA7,10347,EXACT_SYMBOL,10347,1,1
ABCA8,10351,EXACT_SYMBOL,10351,1,1
ABCA9,10350,EXACT_SYMBOL,10350,1,1
ABCB1,5243,EXACT_SYMBOL,5243,1,1
ABCB10,23456,EXACT_SYMBOL,23456,1,1
ABCB11,8647,EXACT_SYMBOL,8647,1,1
ABCB4,5244,EXACT_SYMBOL,5244,1,1
ABCB5,340273,EXACT_SYMBOL,340273,1,1
ABCB6,10058,EXACT_SYMBOL,10058,1,1
ABCB7,22,EXACT_SYMBOL,22,1,1
ABCB8,11194,EXACT_SYMBOL,11194,1,1
ABCB9,23457,EXACT_SYMBOL,23457,1,1
ABCC1,4363,EXACT_SYMBOL,4363,1,1
ABCC10,89845,EXACT_SYMBOL,89845,1,1
ABCC11,85320,EXACT_SYMBOL,85320,1,1
ABCC12,94160,EXACT_SYMBOL,94160,1,1
ABCC13,150000,EXACT_SYMBOL,150000,0,0
ABCC2,1244,EXACT_SYMBOL,1244,1,1
ABCC3,8714,EXACT_SYMBOL,8714,1,1
ABCC4,10257,EXACT_SYMBOL,10257,1,1
ABCC5,10057,EXACT_SYMBOL,10057,1,1
ABCC6,368,EXACT_SYMBOL,368,1,1
ABCC6P1,653190,EXACT_SYMBOL,653190,0,0
ABCC6P2,730013,EXACT_SYMBOL,730013,0,0
ABCC8,6833,EXACT_SYMBOL,6833,1,1
ABCC9,10060,EXACT_SYMBOL,10060,1,1
ABCD1,215,EXACT_SYMBOL,215,1,1
ABCD2,225,EXACT_SYMBOL,225,1,1
ABCD3,5825,EXACT_SYMBOL,5825,1,1
ABCD4,5826,EXACT_SYMBOL,5826,1,1
ABCE1,6059,EXACT_SYMBOL,6059,1,1
ABCF1,23,EXACT_SYMBOL,23,1,1
ABCF2,10061,EXACT_SYMBOL,10061,1,1
ABCF3,55324,EXACT_SYMBOL,55324,1,1
ABCG1,9619,EXACT_SYMBOL,9619,1,1
ABCG2,9429,EXACT_SYMBOL,9429,1,1
ABCG4,64137,EXACT_SYMBOL,64137,1,1
