fold,repeat,fold_within_repeat,r,n_train,n_test,n_pos_train,n_pos_test,leading_abs_eigenvalue,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
1,1,1,4,76,20,10,3,73.18272866832957,0.45833333333333326,0.8431372549019607,0.7450980392156863,0.6666666666666666,0.8235294117647058
1,1,1,8,76,20,10,3,73.18272866832957,0.41111111111111115,0.8431372549019608,0.5784313725490196,0.3333333333333333,0.8235294117647058
1,1,1,16,76,20,10,3,73.18272866832957,0.9166666666666665,0.9803921568627451,0.8333333333333333,0.6666666666666666,1.0
2,1,2,4,77,19,11,2,56.689126036964076,0.14583333333333331,0.4411764705882353,0.5147058823529411,0.5,0.5294117647058824
2,1,2,8,77,19,11,2,56.689126036964076,0.15476190476190477,0.5,0.5147058823529411,0.5,0.5294117647058824
2,1,2,16,77,19,11,2,56.689126036964076,0.25757575757575757,0.6764705882352942,0.6029411764705883,0.5,0.7058823529411765
3,1,3,4,77,19,11,2,64.91599299434381,0.625,0.8235294117647058,0.7647058823529411,1.0,0.5294117647058824
3,1,3,8,77,19,11,2,64.91599299434381,0.6666666666666666,0.8823529411764706,0.7647058823529411,1.0,0.5294117647058824
3,1,3,16,77,19,11,2,64.91599299434381,0.7,0.9117647058823529,0.9117647058823529,1.0,0.8235294117647058
4,1,4,4,77,19,10,3,64.7661720351164,0.6666666666666666,0.8541666666666666,0.6458333333333333,0.6666666666666666,0.625
4,1,4,8,77,19,10,3,64.7661720351164,0.9166666666666665,0.9791666666666666,0.84375,1.0,0.6875
4,1,4,16,77,19,10,3,64.7661720351164,0.6388888888888888,0.9375,0.46875,0.0,0.9375
5,1,5,4,77,19,10,3,55.89852171170268,0.37142857142857144,0.6875,0.7395833333333333,0.6666666666666666,0.8125
5,1,5,8,77,19,10,3,55.89852171170268,0.6428571428571428,0.875,0.6041666666666666,0.3333333333333333,0.875
5,1,5,16,77,19,10,3,55.89852171170268,0.47619047619047616,0.8541666666666666,0.6041666666666666,0.3333333333333333,0.875
6,2,1,4,76,20,10,3,63.901420691884546,0.26666666666666666,0.6862745098039216,0.5490196078431372,0.3333333333333333,0.7647058823529411
6,2,1,8,76,20,10,3,63.901420691884546,0.6095238095238096,0.8627450980392156,0.7450980392156863,0.6666666666666666,0.8235294117647058
6,2,1,16,76,20,10,3,63.901420691884546,0.6324786324786325,0.784313725490196,0.5,0.0,1.0
7,2,2,4,77,19,11,2,61.56401937159207,0.2222222222222222,0.47058823529411764,0.6029411764705883,0.5,0.7058823529411765
7,2,2,8,77,19,11,2,61.56401937159207,0.22549019607843135,0.5,0.6323529411764706,0.5,0.7647058823529411
7,2,2,16,77,19,11,2,61.56401937159207,0.26666666666666666,0.7647058823529411,0.4411764705882353,0.0,0.8823529411764706
8,2,3,4,77,19,11,2,54.74161328788477,0.8333333333333333,0.9705882352941176,0.7058823529411764,1.0,0.4117647058823529
8,2,3,8,77,19,11,2,54.74161328788477,0.29166666666666663,0.7941176470588235,0.8235294117647058,1.0,0.6470588235294118
8,2,3,16,77,19,11,2,54.74161328788477,0.75,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706
9,2,4,4,77,19,10,3,55.89622409243162,0.30000000000000004,0.6875,0.7083333333333333,0.6666666666666666,0.75
9,2,4,8,77,19,10,3,55.89622409243162,0.626984126984127,0.75,0.7395833333333333,0.6666666666666666,0.8125
9,2,4,16,77,19,10,3,55.89622409243162,0.4027777777777778,0.7916666666666666,0.5729166666666666,0.3333333333333333,0.8125
10,2,5,4,77,19,10,3,73.36892835943965,0.6428571428571428,0.875,0.84375,1.0,0.6875
10,2,5,8,77,19,10,3,73.36892835943965,0.6,0.8125,0.6458333333333333,0.6666666666666666,0.625
10,2,5,16,77,19,10,3,73.36892835943965,0.45833333333333326,0.8333333333333334,0.7395833333333333,0.6666666666666666,0.8125
11,3,1,4,76,20,10,3,70.15181157093434,0.7222222222222222,0.9215686274509803,0.8235294117647058,1.0,0.6470588235294118
11,3,1,8,76,20,10,3,70.15181157093434,0.42063492063492064,0.8431372549019607,0.7156862745098038,0.6666666666666666,0.7647058823529411
11,3,1,16,76,20,10,3,70.15181157093434,0.3888888888888889,0.8039215686274509,0.6078431372549019,0.3333333333333333,0.8823529411764706
12,3,2,4,77,19,11,2,61.43676318711853,0.19642857142857142,0.6470588235294117,0.7647058823529411,1.0,0.5294117647058824
12,3,2,8,77,19,11,2,61.43676318711853,0.19444444444444442,0.6470588235294118,0.5441176470588236,0.5,0.5882352941176471
12,3,2,16,77,19,11,2,61.43676318711853,0.18333333333333335,0.5882352941176471,0.38235294117647056,0.0,0.7647058823529411
13,3,3,4,77,19,11,2,63.36828348333774,0.6666666666666666,0.8823529411764706,0.8823529411764706,1.0,0.7647058823529411
13,3,3,8,77,19,11,2,63.36828348333774,0.625,0.8235294117647058,0.7205882352941176,0.5,0.9411764705882353
13,3,3,16,77,19,11,2,63.36828348333774,0.6111111111111112,0.7941176470588236,0.75,0.5,1.0
14,3,4,4,77,19,10,3,62.27841090909159,0.16993464052287582,0.35416666666666663,0.40625,0.0,0.8125
14,3,4,8,77,19,10,3,62.27841090909159,0.20882352941176469,0.5,0.375,0.0,0.75
14,3,4,16,77,19,10,3,62.27841090909159,0.3055555555555556,0.6874999999999999,0.7083333333333333,0.6666666666666666,0.75
15,3,5,4,77,19,10,3,67.05624505207102,0.55,0.75,0.6770833333333333,0.6666666666666666,0.6875
15,3,5,8,77,19,10,3,67.05624505207102,0.5833333333333333,0.7708333333333333,0.6770833333333333,0.6666666666666666,0.6875
15,3,5,16,77,19,10,3,67.05624505207102,0.6805555555555556,0.875,0.7395833333333333,0.6666666666666666,0.8125
16,4,1,4,76,20,10,3,57.17005409854299,0.16567460317460317,0.4313725490196078,0.35294117647058826,0.0,0.7058823529411765
16,4,1,8,76,20,10,3,57.17005409854299,0.2207282913165266,0.5490196078431372,0.5196078431372549,0.3333333333333333,0.7058823529411765
16,4,1,16,76,20,10,3,57.17005409854299,0.21766381766381768,0.5882352941176471,0.4117647058823529,0.0,0.8235294117647058
17,4,2,4,77,19,11,2,62.11936023038857,0.5,0.9117647058823529,0.8529411764705883,1.0,0.7058823529411765
17,4,2,8,77,19,11,2,62.11936023038857,0.15,0.47058823529411764,0.6029411764705883,0.5,0.7058823529411765
17,4,2,16,77,19,11,2,62.11936023038857,0.26666666666666666,0.7058823529411764,0.6911764705882353,0.5,0.8823529411764706
18,4,3,4,77,19,11,2,64.65100859226686,0.22916666666666666,0.5294117647058824,0.6029411764705883,0.5,0.7058823529411765
18,4,3,8,77,19,11,2,64.65100859226686,0.15476190476190477,0.5,0.5735294117647058,0.5,0.6470588235294118
18,4,3,16,77,19,11,2,64.65100859226686,0.6428571428571428,0.8529411764705882,0.7205882352941176,0.5,0.9411764705882353
19,4,4,4,77,19,10,3,74.16810426453816,0.3194444444444444,0.75,0.5416666666666666,0.3333333333333333,0.75
19,4,4,8,77,19,10,3,74.16810426453816,0.4444444444444444,0.8125,0.7395833333333333,0.6666666666666666,0.8125
19,4,4,16,77,19,10,3,74.16810426453816,0.7555555555555555,0.9375,0.7708333333333333,0.6666666666666666,0.875
20,4,5,4,77,19,10,3,56.19037762549908,0.42499999999999993,0.8125,0.84375,1.0,0.6875
20,4,5,8,77,19,10,3,56.19037762549908,0.33535353535353535,0.7291666666666666,0.7395833333333333,0.6666666666666666,0.8125
20,4,5,16,77,19,10,3,56.19037762549908,0.30000000000000004,0.6875,0.7395833333333333,0.6666666666666666,0.8125
21,5,1,4,76,20,10,3,61.61230534571757,0.4,0.7843137254901961,0.6862745098039216,0.6666666666666666,0.7058823529411765
21,5,1,8,76,20,10,3,61.61230534571757,0.2240740740740741,0.607843137254902,0.4117647058823529,0.0,0.8235294117647058
21,5,1,16,76,20,10,3,61.61230534571757,0.28104575163398693,0.6078431372549019,0.47058823529411764,0.0,0.9411764705882353
22,5,2,4,77,19,11,2,65.45765244699268,0.11309523809523808,0.32352941176470584,0.38235294117647056,0.0,0.7647058823529411
22,5,2,8,77,19,11,2,65.45765244699268,0.13025210084033612,0.38235294117647056,0.35294117647058826,0.0,0.7058823529411765
22,5,2,16,77,19,11,2,65.45765244699268,0.20833333333333331,0.6176470588235294,0.6617647058823529,0.5,0.8235294117647058
