fold_i,fold_j,repeat_i,repeat_j,same_repeat,normalized_projector_overlap
1,2,1,1,1,0.6001013684915928
1,3,1,1,1,0.6635248970685146
1,4,1,1,1,0.6288817024601985
1,5,1,1,1,0.5523018542652551
1,6,1,2,0,0.5884102667975594
1,7,1,2,0,0.600882384957654
1,8,1,2,0,0.6375159159111019
1,9,1,2,0,0.6386015016786087
1,10,1,2,0,0.6992500663937173
1,11,1,3,0,0.7037937707659848
1,12,1,3,0,0.6123760125196016
1,13,1,3,0,0.6693726388370218
1,14,1,3,0,0.6021896416346811
1,15,1,3,0,0.6140415716391417
1,16,1,4,0,0.650392553937535
1,17,1,4,0,0.6420185140611434
1,18,1,4,0,0.6468879374942748
1,19,1,4,0,0.620698492103934
1,20,1,4,0,0.6268148739659469
1,21,1,5,0,0.6749364103484045
1,22,1,5,0,0.5997180309757537
1,23,1,5,0,0.6105787317291131
1,24,1,5,0,0.6915061825672197
1,25,1,5,0,0.5918502784737487
1,26,1,6,0,0.6445410024606233
1,27,1,6,0,0.6202808512834663
1,28,1,6,0,0.6576994164985575
1,29,1,6,0,0.6189480616599228
1,30,1,6,0,0.5883731476290818
1,31,1,7,0,0.5919025308466407
1,32,1,7,0,0.6603678747159734
1,33,1,7,0,0.6882106741975027
1,34,1,7,0,0.6610219715685604
1,35,1,7,0,0.5577569084858296
1,36,1,8,0,0.6045548408927883
1,37,1,8,0,0.6330783204742085
1,38,1,8,0,0.6916633013640446
1,39,1,8,0,0.6281208061140064
1,40,1,8,0,0.6471686822841058
1,41,1,9,0,0.6331479554123751
1,42,1,9,0,0.6217734550121976
1,43,1,9,0,0.6437117229629408
1,44,1,9,0,0.677837549295415
1,45,1,9,0,0.618364724643264
1,46,1,10,0,0.5994540375608546
1,47,1,10,0,0.6371854205188168
1,48,1,10,0,0.634385245301654
1,49,1,10,0,0.6268630111738509
1,50,1,10,0,0.6530065359312891
1,51,1,11,0,0.6792966151943067
1,52,1,11,0,0.5635809017998379
1,53,1,11,0,0.644828725290009
1,54,1,11,0,0.6521201946339202
1,55,1,11,0,0.6125042091345992
1,56,1,12,0,0.6115979893375673
1,57,1,12,0,0.6209851282993226
1,58,1,12,0,0.5627991777248594
1,59,1,12,0,0.73387755606283
1,60,1,12,0,0.6609409475805957
1,61,1,13,0,0.6908777079092565
1,62,1,13,0,0.5742961198852901
1,63,1,13,0,0.6333511827954292
1,64,1,13,0,0.6492276754718085
1,65,1,13,0,0.6200920501764101
1,66,1,14,0,0.590434832967951
1,67,1,14,0,0.7346226776513576
1,68,1,14,0,0.6446616574677864
1,69,1,14,0,0.5893300030354984
1,70,1,14,0,0.6580856547841254
1,71,1,15,0,0.5963183737385709
1,72,1,15,0,0.6323737045051796
1,73,1,15,0,0.640280406545626
1,74,1,15,0,0.6801032026172531
1,75,1,15,0,0.6392444616530224
1,76,1,16,0,0.6313911613936003
1,77,1,16,0,0.6048909785441732
1,78,1,16,0,0.6624540452784409
1,79,1,16,0,0.5903785659017875
