coordinate_index,development_gene,development_entrez_ids,matched_entrez_ids,gpl570_status,transportable,projector_diagonal_mass
0,RPS4Y1,6192,6192,EXACT_SYMBOL,1,0.14978462627612904
1,HLA-DRB1,3123,3123,EXACT_SYMBOL,1,0.12685790622884693
2,HLA-DRB5,3127,3127,EXACT_SYMBOL,1,0.09114879158505187
3,PRG3,10394,10394,EXACT_SYMBOL,1,0.05457098636562059
4,EIF1AY,9086,9086,EXACT_SYMBOL,1,0.13269220192253567
5,PRG2,5553,5553,EXACT_SYMBOL,1,0.03400968159688638
6,TUBB1,81027,81027,EXACT_SYMBOL,1,0.0519211210254919
7,GP9,2815,2815,EXACT_SYMBOL,1,0.051570730803404394
8,GNG11,2791,2791,EXACT_SYMBOL,1,0.06505407726545816
9,HOXA5,3202,3202,EXACT_SYMBOL,1,0.12531044917425152
10,THBS1,7057,7057,EXACT_SYMBOL,1,0.11647130845862871
11,MMP8,4317,4317,EXACT_SYMBOL,1,0.0340683869391179
12,HIST1H1E,3008,3008,EXACT_SYMBOL,1,0.06857613350712544
13,CCR7,1236,1236,EXACT_SYMBOL,1,0.03843618053961805
14,PRTN3,5657,5657,EXACT_SYMBOL,1,0.05900745007815869
15,EMP1,2012,2012,EXACT_SYMBOL,1,0.0629740213573078
16,ORM1,5004,5004,EXACT_SYMBOL,1,0.03032588028254494
17,HIST1H4B,8366,8366,EXACT_SYMBOL,1,0.06448209024148349
18,DEFB1,1672,1672,EXACT_SYMBOL,1,0.19113118000978216
19,GZMH,2999,2999,EXACT_SYMBOL,1,0.052527851371978324
20,CCL2,6347,6347,EXACT_SYMBOL,1,0.07632086973217325
21,PI3,5266,5266,EXACT_SYMBOL,1,0.09696315669811553
22,TPSAB1,7177,7177,EXACT_SYMBOL,1,0.11973968397414186
23,HES4,57801,57801,EXACT_SYMBOL,1,0.10615130657413838
24,CXCL2,2920,2920,EXACT_SYMBOL,1,0.0708997915895241
25,GZMB,3002,3002,EXACT_SYMBOL,1,0.0367449484413864
26,RGS1,5996,5996,EXACT_SYMBOL,1,0.07188943494344474
27,GYPB,2994,2994,EXACT_SYMBOL,1,0.06443096851631197
28,IL7R,3575,3575,EXACT_SYMBOL,1,0.03577844917485414
29,HIST1H1B,3009,3009,EXACT_SYMBOL,1,0.05576612418914855
30,ALPL,249,249,EXACT_SYMBOL,1,0.05965719253452665
31,FGFBP2,83888,83888,EXACT_SYMBOL,1,0.04467808776522523
32,HBM,3042,3042,EXACT_SYMBOL,1,0.06448920472585268
33,KLRB1,3820,3820,EXACT_SYMBOL,1,0.028887858876395528
34,LTF,4057,4057,EXACT_SYMBOL,1,0.041294105179772805
35,TFF3,7033,7033,EXACT_SYMBOL,1,0.047813162375158064
36,GZMA,3001,3001,EXACT_SYMBOL,1,0.033878986448302534
37,VWF,7450,7450,EXACT_SYMBOL,1,0.0920856742037153
38,RAP1GAP,5909,5909,EXACT_SYMBOL,1,0.11379597618165059
39,PPBP,5473,5473,EXACT_SYMBOL,1,0.06282942904617846
40,HBG2,3048,3048,EXACT_SYMBOL,1,0.0819018682337145
41,CD247,919,919,EXACT_SYMBOL,1,0.026613448223548636
42,CD6,923,923,EXACT_SYMBOL,1,0.036506852937327985
43,F13A1,2162,2162,EXACT_SYMBOL,1,0.0560074634025865
44,CCL3L1,6349,6349,EXACT_SYMBOL,1,0.05503576899439902
45,HP,3240,3240,EXACT_SYMBOL,1,0.032866488035426286
46,CA1,759,759,EXACT_SYMBOL,1,0.05979010986612578
47,RBPMS2,348093,348093,EXACT_SYMBOL,1,0.05804579697336167
48,HIST1H2BG,8339,8339,EXACT_SYMBOL,1,0.054971947588479175
49,GZMK,3003,3003,EXACT_SYMBOL,1,0.03312183570381547
50,HBG1,3047,3047,EXACT_SYMBOL,1,0.08345417736572139
51,HIST1H1D,3007,3007,EXACT_SYMBOL,1,0.0492506695051443
52,EGR2,1959,1959,EXACT_SYMBOL,1,0.042169374726507766
53,PGLYRP1,8993,8993,EXACT_SYMBOL,1,0.030958886951001616
54,HIST1H2AH,85235,85235,EXACT_SYMBOL,1,0.06620302323829995
55,PRF1,5551,5551,EXACT_SYMBOL,1,0.056954433862716175
56,SPTA1,6708,6708,EXACT_SYMBOL,1,0.07670990917529472
57,SLC4A1,6521,6521,EXACT_SYMBOL,1,0.08349713773899436
58,PCOLCE2,26577,26577,EXACT_SYMBOL,1,0.07689315674647243
59,IL2RB,3560,3560,EXACT_SYMBOL,1,0.036406225860394756
60,AZU1,566,566,EXACT_SYMBOL,1,0.037320886030935765
61,GIMAP4,55303,55303,EXACT_SYMBOL,1,0.05449586759906477
62,CLEC1B,51266,51266,EXACT_SYMBOL,1,0.05247884845739685
63,MAFB,9935,9935,EXACT_SYMBOL,1,0.09019265467072027
64,XIST,7503,7503,EXACT_SYMBOL,1,0.14968423505510212
65,TSPAN9,10867,10867,EXACT_SYMBOL,1,0.04875610610944228
66,RNASE3,6037,6037,EXACT_SYMBOL,1,0.030165039525129424
67,GJB6,10804,10804,EXACT_SYMBOL,1,0.059676179527837644
68,HBEGF,1839,1839,EXACT_SYMBOL,1,0.07491756399008806
69,HLA-DQA1,3117,3117,EXACT_SYMBOL,1,0.056918670773617105
70,SPOCK2,9806,9806,EXACT_SYMBOL,1,0.03395493424754351
71,CEACAM6,4680,4680,EXACT_SYMBOL,1,0.032444573321763204
72,MMP9,4318,4318,EXACT_SYMBOL,1,0.030910709643609254
73,LEF1,51176,51176,EXACT_SYMBOL,1,0.04698275370895033
74,KLRF1,51348,51348,EXACT_SYMBOL,1,0.04220176749581468
75,NRGN,4900,4900,EXACT_SYMBOL,1,0.06879787309074097
76,RETN,56729,56729,EXACT_SYMBOL,1,0.03156414642083899
77,SH3BGRL2,83699,83699,EXACT_SYMBOL,1,0.05147510600762553
78,GSTM1,2944,2944,EXACT_SYMBOL,1,0.15020132765779132
79,CEBPE,1053,1053,EXACT_SYMBOL,1,0.04504209814182761
80,CD19,930,930,EXACT_SYMBOL,1,0.04763281027778131
81,IL1B,3553,3553,EXACT_SYMBOL,1,0.11923679841650658
82,CD2,914,914,EXACT_SYMBOL,1,0.028302613083277712
83,SLC45A3,85414,85414,EXACT_SYMBOL,1,0.07907245979424093
84,TNFAIP3,7128,7128,EXACT_SYMBOL,1,0.052881755541894
85,VCAN,1462,1462,EXACT_SYMBOL,1,0.10923418814488886
86,SLPI,6590,6590,EXACT_SYMBOL,1,0.02904244350735529
87,RHAG,6005,6005,EXACT_SYMBOL,1,0.06292602800672287
88,LGALS2,3957,3957,EXACT_SYMBOL,1,0.09918537721199129
89,PIK3IP1,113791,113791,EXACT_SYMBOL,1,0.028837145957940517
90,ESAM,90952,90952,EXACT_SYMBOL,1,0.05842536754252927
91,PHACTR1,221692,221692,EXACT_SYMBOL,1,0.051197147031779626
92,TPSB2,64499,64499,EXACT_SYMBOL,1,0.10461324190296394
93,COL17A1,1308,1308,EXACT_SYMBOL,1,0.032164275738601436
94,TSPAN33,340348,340348,EXACT_SYMBOL,1,0.06311138755645121
95,TACSTD2,4070,4070,EXACT_SYMBOL,1,0.0578767902772645
96,CD83,9308,9308,EXACT_SYMBOL,1,0.05935810435959749
97,ABCA13,154664,154664,EXACT_SYMBOL,1,0.04172989693726488
98,TGFBI,7045,7045,EXACT_SYMBOL,1,0.07363296567625277
99,ITGB3,3690,3690,EXACT_SYMBOL,1,0.06223934204284037
100,CYP1B1,1545,1545,EXACT_SYMBOL,1,0.06154234988309227
101,CCL3,6348,6348,EXACT_SYMBOL,1,0.0472793483459914
102,AHSP,51327,51327,EXACT_SYMBOL,1,0.06320591158803776
103,TCN1,6947,6947,EXACT_SYMBOL,1,0.04137389315838176
104,OSBP2,23762,23762,EXACT_SYMBOL,1,0.06988674812552681
105,CD8A,925,925,EXACT_SYMBOL,1,0.04101362628592865
106,CEACAM1,634,634,EXACT_SYMBOL,1,0.030125014154844733
107,BPI,671,671,EXACT_SYMBOL,1,0.03419949853554514
108,HLA-DQB1,3119,3119,EXACT_SYMBOL,1,0.06914811461772563
109,CD24,100133941,100133941,EXACT_SYMBOL,1,0.03138568204234468
110,DEFA4,1669,1669,EXACT_SYMBOL,1,0.0442075528847995
111,ITGA2B,3674,3674,EXACT_SYMBOL,1,0.050155198822796135
112,S1PR5,53637,53637,EXACT_SYMBOL,1,0.04625033638985834
113,TGFBR3,7049,7049,EXACT_SYMBOL,1,0.03954760883664506
114,ITK,3702,3702,EXACT_SYMBOL,1,0.03861210658671864
115,CEACAM8,1088,1088,EXACT_SYMBOL,1,0.03586875756203251
116,EPB42,2038,2038,EXACT_SYMBOL,1,0.07698856959351594
117,GNLY,10578,10578,EXACT_SYMBOL,1,0.04819416759672829
118,ITPR3,3710,3710,EXACT_SYMBOL,1,0.022160482741944005
119,KLF9,687,687,EXACT_SYMBOL,1,0.04477415982892954
120,OLR1,4973,4973,EXACT_SYMBOL,1,0.029809858278538465
121,CX3CR1,1524,1524,EXACT_SYMBOL,1,0.044956395753382165
122,PPP1R16B,26051,26051,EXACT_SYMBOL,1,0.04825944984005781
123,HIST1H2AE,3012,3012,EXACT_SYMBOL,1,0.058566767724622756
124,IFIT2,3433,3433,EXACT_SYMBOL,1,0.06341308570931753
125,OLFM4,10562,10562,EXACT_SYMBOL,1,0.03563750421903124
126,ARG1,383,383,EXACT_SYMBOL,1,0.027029377491998026
127,FPR2,2358,2358,EXACT_SYMBOL,1,0.08768378906229485
128,IFI27,3429,3429,EXACT_SYMBOL,1,0.14103143387700925
129,SERPINB10,5273,5273,EXACT_SYMBOL,1,0.03886278648828589
130,CLEC11A,6320,6320,EXACT_SYMBOL,1,0.08713406239244978
131,CRISP2,7180,7180,EXACT_SYMBOL,1,0.05898744363686792
132,CD7,924,924,EXACT_SYMBOL,1,0.03139238179805234
133,TOP2A,7153,7153,EXACT_SYMBOL,1,0.036000984029655236
134,ORM2,5005,5005,EXACT_SYMBOL,1,0.06511968389010908
135,HIST1H4E,8367,8367,EXACT_SYMBOL,1,0.06567476436337585
136,ADM,133,133,EXACT_SYMBOL,1,0.08699783679875873
137,IFIT3,3437,3437,EXACT_SYMBOL,1,0.06629979432190308
138,ICOS,29851,29851,EXACT_SYMBOL,1,0.07389128609700907
139,BAG3,9531,9531,EXACT_SYMBOL,1,0.036104984842836335
140,TNFSF10,8743,8743,EXACT_SYMBOL,1,0.0660984273768753
141,MPO,4353,4353,EXACT_SYMBOL,1,0.03804564783604861
142,SERPINE2,5270,5270,EXACT_SYMBOL,1,0.06979600960965605
143,ANXA3,306,306,EXACT_SYMBOL,1,0.027880185366840046
144,LY86,9450,9450,EXACT_SYMBOL,1,0.06912441284287194
145,TEX101,83639,83639,EXACT_SYMBOL,1,0.11704968618573094
146,MS4A2,2206,2206,EXACT_SYMBOL,1,0.0816788217681725
147,PTPN20,26095,26095,ENTREZ_ID_MATCH,1,0.03526684012383051
148,SIK1,150094,150094,EXACT_SYMBOL,1,0.05630890979587082
149,BAMBI,25805,25805,EXACT_SYMBOL,1,0.07337261271061679
150,KLHL15,80311,80311,EXACT_SYMBOL,1,0.1049563188353356
151,GTSF1,121355,121355,EXACT_SYMBOL,1,0.1873811571155291
152,FGL2,10875,10875,EXACT_SYMBOL,1,0.0799847380798686
153,MAL,4118,4118,EXACT_SYMBOL,1,0.05295817012283498
