coordinate_index,development_gene,mapping_type,n_gpl570_probes,gpl570_probes
0,RPS4Y1,EXACT_SYMBOL,1,201909_at
1,HLA-DRB1,EXACT_SYMBOL,6,204670_x_at|208306_x_at|209312_x_at|215193_x_at|221491_x_at|238900_at
2,HLA-DRB5,EXACT_SYMBOL,3,209312_x_at|221491_x_at|238900_at
3,PRG3,EXACT_SYMBOL,1,220811_at
4,EIF1AY,EXACT_SYMBOL,2,204409_s_at|204410_at
5,PRG2,EXACT_SYMBOL,1,211743_s_at
6,TUBB1,EXACT_SYMBOL,2,208601_s_at|230690_at
7,GP9,EXACT_SYMBOL,1,206883_x_at
8,GNG11,EXACT_SYMBOL,2,204115_at|239942_at
9,HOXA5,EXACT_SYMBOL,1,213844_at
10,THBS1,EXACT_SYMBOL,7,201107_s_at|201108_s_at|201109_s_at|201110_s_at|215775_at|235086_at|239336_at
11,MMP8,EXACT_SYMBOL,2,207329_at|231688_at
12,HIST1H1E,EXACT_SYMBOL,1,208553_at
13,CCR7,EXACT_SYMBOL,1,206337_at
14,PRTN3,EXACT_SYMBOL,1,207341_at
15,EMP1,EXACT_SYMBOL,6,1564796_at|201324_at|201325_s_at|213895_at|229011_at|234233_s_at
16,ORM1,EXACT_SYMBOL,3,205040_at|205041_s_at|214465_at
17,HIST1H4B,EXACT_SYMBOL,5,205967_at|207046_at|208181_at|208580_x_at|214516_at
18,DEFB1,EXACT_SYMBOL,1,210397_at
19,GZMH,EXACT_SYMBOL,1,210321_at
20,CCL2,EXACT_SYMBOL,1,216598_s_at
21,PI3,EXACT_SYMBOL,2,203691_at|41469_at
22,TPSAB1,EXACT_SYMBOL,7,205683_x_at|207741_x_at|210084_x_at|215382_x_at|216474_x_at|216485_s_at|217023_x_at
23,HES4,EXACT_SYMBOL,1,227347_x_at
24,CXCL2,EXACT_SYMBOL,3,1569203_at|209774_x_at|230101_at
25,GZMB,EXACT_SYMBOL,1,210164_at
26,RGS1,EXACT_SYMBOL,3,202988_s_at|202989_at|216834_at
27,GYPB,EXACT_SYMBOL,4,207459_x_at|214407_x_at|216398_at|216833_x_at
28,IL7R,EXACT_SYMBOL,2,205798_at|226218_at
