gene	probe_count	probes
RPS4Y1	1	201909_at
HLA-DRB1	6	204670_x_at | 208306_x_at | 209312_x_at | 215193_x_at | 221491_x_at | 238900_at
HLA-DRB5	3	209312_x_at | 221491_x_at | 238900_at
PRG3	1	220811_at
EIF1AY	2	204409_s_at | 204410_at
PRG2	1	211743_s_at
TUBB1	2	208601_s_at | 230690_at
GP9	1	206883_x_at
GNG11	2	204115_at | 239942_at
HOXA5	1	213844_at
THBS1	7	201107_s_at | 201108_s_at | 201109_s_at | 201110_s_at | 215775_at | 235086_at | 239336_at
MMP8	2	207329_at | 231688_at
HIST1H1E	1	208553_at
CCR7	1	206337_at
PRTN3	1	207341_at
EMP1	6	1564796_at | 201324_at | 201325_s_at | 213895_at | 229011_at | 234233_s_at
ORM1	3	205040_at | 205041_s_at | 214465_at
HIST1H4B	5	205967_at | 207046_at | 208181_at | 208580_x_at | 214516_at
DEFB1	1	210397_at
GZMH	1	210321_at
CCL2	1	216598_s_at
PI3	2	203691_at | 41469_at
TPSAB1	7	205683_x_at | 207741_x_at | 210084_x_at | 215382_x_at | 216474_x_at | 216485_s_at | 217023_x_at
HES4	1	227347_x_at
CXCL2	3	1569203_at | 209774_x_at | 230101_at
GZMB	1	210164_at
RGS1	3	202988_s_at | 202989_at | 216834_at
GYPB	4	207459_x_at | 214407_x_at | 216398_at | 216833_x_at
IL7R	2	205798_at | 226218_at
HIST1H1B	1	214534_at
ALPL	2	1557924_s_at | 215783_s_at
FGFBP2	1	223836_at
HBM	1	240336_at
KLRB1	1	214470_at
LTF	1	202018_s_at
TFF3	1	204623_at
GZMA	1	205488_at
VWF	2	202112_at | 233980_s_at
RAP1GAP	2	203911_at | 210618_at
PPBP	1	214146_s_at
HBG2	3	204419_x_at | 204848_x_at | 213515_x_at
CD247	1	210031_at
CD6	7	1566099_at | 1566447_at | 1566448_at | 208602_x_at | 211893_x_at | 211900_x_at | 213958_at
F13A1	1	203305_at
CCL3L1	1	205114_s_at
HP	2	206697_s_at | 208470_s_at
CA1	2	205949_at | 205950_s_at
RBPMS2	1	228802_at
HIST1H2BG	5	208490_x_at | 208523_x_at | 210387_at | 214455_at | 215779_s_at
GZMK	1	206666_at
HBG1	3	204419_x_at | 204848_x_at | 213515_x_at
HIST1H1D	1	214537_at
EGR2	1	205249_at
PGLYRP1	1	207384_at
HIST1H2AH	2	207156_at | 214542_x_at
PRF1	2	1553681_a_at | 214617_at
SPTA1	1	206937_at
SLC4A1	2	1552713_a_at | 205592_at
PCOLCE2	1	219295_s_at
IL2RB	1	205291_at
AZU1	1	214575_s_at
GIMAP4	1	219243_at
CLEC1B	1	220496_at
MAFB	2	218559_s_at | 222670_s_at
