gene	subspace_leverage	projector_mass_fraction	effective_gene_beta	abs_effective_gene_beta	classifier_weight_share	leverage_rank_desc	abs_beta_rank_desc	weight_share_rank_desc
DEFB1	0.19113118000978216	0.011945698750611385	-0.05143227357639373	0.05143227357639373	0.0005815405240480085	1	165	165
GTSF1	0.1873811571155291	0.01171132231972057	-0.11386272398036934	0.11386272398036934	0.002850175985599097	2	98	98
OSM	0.15789757324275672	0.009868598327672295	-0.12679969680618774	0.12679969680618774	0.0035346382104129944	3	82	82
GSTM1	0.15020132765779132	0.009387582978611957	0.009744355481797723	0.009744355481797723	2.0874437226716167e-05	4	235	235
RPS4Y1	0.14978462627612904	0.009361539142258065	-0.07926220536175696	0.07926220536175696	0.001381149979857938	5	134	134
XIST	0.1496842350551021	0.00935526469094388	0.126481288370641	0.126481288370641	0.0035169087430101478	6	84	84
IFI27	0.14103143387700925	0.008814464617313078	0.32559560363762874	0.32559560363762874	0.023305885161932605	7	7	7
EIF1AY	0.1326922019225357	0.008293262620158481	0.008803140437127661	0.008803140437127661	1.7036634187461722e-05	8	239	239
BEX1	0.12886652222906822	0.008054157639316764	0.12817557397660656	0.12817557397660656	0.003611761627598765	9	80	80
HLA-DRB1	0.12685790622884693	0.007928619139302933	0.045474663805863055	0.045474663805863055	0.00045461894711035775	10	173	173
HOXA5	0.12531044917425152	0.00783190307339072	-0.04676449958493138	0.04676449958493138	0.0004807741632228859	11	170	170
TPSAB1	0.11973968397414188	0.007483730248383867	0.18515254478715998	0.18515254478715998	0.007536468855703418	12	38	38
IL1B	0.11923679841650658	0.0074522999010316615	-0.39299457050838654	0.39299457050838654	0.03395327245854185	13	3	3
TEX101	0.11704968618573094	0.007315605386608184	-0.1753005727177591	0.1753005727177591	0.00675577547743714	14	45	45
THBS1	0.11647130845862871	0.007279456778664295	0.12677688796729927	0.12677688796729927	0.003533366697240425	15	83	83
RAP1GAP	0.11379597618165059	0.007112248511353162	-0.03024778032870879	0.03024778032870879	0.0002011386627758559	16	196	196
IFITM3	0.11079098853694543	0.006924436783559089	-0.059189366259093226	0.059189366259093226	0.0007701865281281537	17	161	161
VCAN	0.10923418814488886	0.006827136759055554	-0.33211799815337606	0.33211799815337606	0.02424897361020352	18	6	6
KIAA1324	0.10707539199962529	0.006692211999976581	0.10670878876786873	0.10670878876786873	0.0025032770539857533	19	105	105
HES4	0.10615130657413838	0.0066344566608836485	-0.15567441101544463	0.15567441101544463	0.005327739726951216	20	60	60
KLHL15	0.1049563188353356	0.006559769927208475	-0.02632812100207639	0.02632812100207639	0.00015238712247390442	21	204	204
TPSB2	0.10461324190296395	0.006538327618935247	0.05995413923676267	0.05995413923676267	0.0007902179347108638	22	160	160
TNFRSF21	0.099533063321273	0.0062208164575795625	0.3142613400126909	0.3142613400126909	0.02171153123881812	23	8	8
LGALS2	0.0991853772119913	0.0061990860757494565	-0.2882759859700518	0.2882759859700518	0.01826944987554531	24	11	11
PI3	0.09696315669811553	0.006060197293632221	-0.05313983106847595	0.05313983106847595	0.0006207959524780934	25	164	164
CDC20	0.09557312617053987	0.005973320385658742	-0.458251347935111	0.458251347935111	0.04616534016890832	26	1	1
TMEM140	0.09524078238865813	0.005952548899291133	-0.0339878349641002	0.0339878349641002	0.0002539542816117653	27	191	191
CYTL1	0.09468196016608277	0.005917622510380173	-0.12424975694219377	0.12424975694219377	0.0033939046234308023	28	87	87
CPA3	0.09385069626835868	0.0058656685167724175	0.035809560976799576	0.035809560976799576	0.0002819074356304534	29	185	185
VWF	0.09208567420371531	0.005755354637732207	0.10368969860473784	0.10368969860473784	0.002363631461132236	30	112	112
LAMA5	0.09193381999039926	0.005745863749399954	0.13964868183269316	0.13964868183269316	0.004287283664159455	31	69	69
HLA-DRB5	0.0911487915850519	0.005696799474065744	-0.13340619361457634	0.13340619361457634	0.003912555612962643	32	77	77
HDC	0.09110919106316956	0.0056943244414480974	0.17466686348202343	0.17466686348202343	0.006707019686024511	33	46	46
MAFB	0.09019265467072028	0.005637040916920018	-0.11262561880608177	0.11262561880608177	0.002788578779334078	34	100	100
SNCA	0.08811846205692138	0.005507403878557586	-0.007899116275978967	0.007899116275978967	1.3717202542065887e-05	35	241	241
FPR2	0.08768378906229485	0.005480236816393428	0.019119352662594617	0.019119352662594617	8.036277145217508e-05	36	224	224
G0S2	0.08745692492870522	0.005466057808044076	-0.04026620305583725	0.04026620305583725	0.0003564428408688104	37	180	180
CLEC11A	0.08713406239244978	0.005445878899528111	0.34810634113884475	0.34810634113884475	0.026639888747117618	38	5	5
ADM	0.08699783679875873	0.005437364799922421	-0.20255506899830777	0.20255506899830777	0.009019755595250877	39	30	30
ASGR1	0.08697631424000014	0.005436019640000009	-0.29304179330498986	0.29304179330498986	0.018878507837556024	40	10	10
CLIC3	0.08587720741131534	0.005367325463207209	0.18287129294917698	0.18287129294917698	0.007351900297637121	41	40	40
SOCS2	0.08532739928434302	0.005332962455271439	0.0704980436554932	0.0704980436554932	0.0010926037040248989	42	146	146
HAVCR2	0.08380281782916096	0.00523767611432256	0.2823119619128193	0.2823119619128193	0.01752133116173353	43	12	12
