component	explained_variance	explained_variance_ratio	cumulative_explained_variance_ratio
PC1	99.13173972451334	0.3831996774832669	0.3831996774832669
PC2	27.483104761337568	0.10623758757841263	0.4894372650616795
PC3	20.74647211262696	0.08019673057859543	0.569633995640275
PC4	16.703285442935407	0.06456755033686783	0.6342015459771427
PC5	14.285814082515875	0.05522266999670443	0.6894242159738472
PC6	13.253594931168609	0.05123256504154532	0.7406567810153925
PC7	6.399879856570757	0.024739118911711502	0.765395899927104
PC8	4.8098298600090725	0.018592685412632728	0.7839885853397367
PC9	4.217436927249393	0.016302755049181817	0.8002913403889185
PC10	3.7872850355106196	0.014639977147359573	0.814931317536278
PC11	3.125683869209163	0.012082518211868102	0.8270138357481461
PC12	2.8385824308133936	0.01097271040556935	0.8379865461537155
PC13	2.3566091664170665	0.009109613883855033	0.8470961600375705
PC14	2.2528517753460133	0.008708533474034476	0.8558046935116049
PC15	2.0427430320869644	0.007896345542328353	0.8637010390539333
PC16	1.9908766534704838	0.007695852949206379	0.8713968920031396
