gene	raw_variance	cohort_mean	cohort_sd_ddof0
RPS4Y1	7.499285787874901	9.089319187416667	2.738482387724065
HLA-DRB1	5.662489095288511	6.56608121346875	2.3795985155669666
HLA-DRB5	5.496439544098712	5.854644171791667	2.3444486652726506
PRG3	4.471821198157005	6.535760265906251	2.11466810591095
EIF1AY	4.4603748873519935	6.981127951197917	2.1119599634822612
PRG2	3.5369392441451453	10.905344464562498	1.8806752096375245
TUBB1	3.4206861249235327	8.318679891156249	1.8495096985210795
GP9	3.1747456362270854	7.71072546271875	1.7817815904950545
GNG11	3.1394065393885753	7.6231844339583335	1.7718370521547895
HOXA5	2.9778917077554325	6.9348487726145835	1.7256568916663106
THBS1	2.9548185368933684	6.7684499838333325	1.7189585617150194
MMP8	2.912501373475063	10.503211370281251	1.7066052189874097
HIST1H1E	2.886009257743573	6.214129630562501	1.6988258467964197
CCR7	2.8747581801624733	7.860833938947917	1.6955111855020222
PRTN3	2.8619958670446093	10.630030711291665	1.6917434400773095
EMP1	2.8537479201016596	6.017903634437499	1.6893039750446517
ORM1	2.7954444342880556	10.524181340052083	1.6719582633212038
HIST1H4B	2.7887116381773844	6.292010029520834	1.6699436032924537
DEFB1	2.777000628237149	6.1467565219375	1.6664335054952386
GZMH	2.759343226844274	8.1998571075625	1.661127095331442
CCL2	2.662911185090306	5.42867053171875	1.6318428800256184
PI3	2.6621447563335887	9.08693683103125	1.6316080277853469
TPSAB1	2.597394103926387	7.17229419934375	1.6116432930169091
HES4	2.527716943078992	7.9804294707812495	1.5898795372854486
CXCL2	2.5262515022172685	6.828484072135416	1.589418605093469
GZMB	2.5053311008673473	7.953141233770833	1.5828237744194227
RGS1	2.50139067286263	8.639821149979165	1.5815785383162704
GYPB	2.4540597932343418	6.7252411372708325	1.566543900832129
IL7R	2.442936551205775	7.877177124447916	1.5629896196730717
HIST1H1B	2.4351958542010226	5.6213279649166665	1.5605114079048006
ALPL	2.4321507898458745	8.133369837458334	1.55953544039431
FGFBP2	2.4119757505076125	7.442717022645833	1.5530536856488937
HBM	2.4034978568684013	9.043241942822917	1.5503218558958658
KLRB1	2.3900055312010147	9.048554925552084	1.54596427229125
LTF	2.363811242560026	12.948713329135416	1.5374691029611054
TFF3	2.359810937373533	10.317620998937501	1.53616761369765
GZMA	2.350811233497238	8.196770937072918	1.53323554403661
VWF	2.342762269357405	6.427308265572916	1.5306084637677282
RAP1GAP	2.3350522979826183	6.329284815635417	1.5280877913204525
PPBP	2.31890292797361	10.40941603921875	1.522794447052395
HBG2	2.311941151294652	11.610914767937501	1.520506873149428
CD247	2.268698172228237	9.070604281229166	1.506219828653254
CD6	2.2640317724773587	7.890680370020834	1.5046699878968006
F13A1	2.24497194692183	6.9922342568020825	1.49832304491449
CCL3L1	2.235137546708723	8.29222088932986	1.4950376405658563
HP	2.225245278457275	10.956418711010416	1.4917256042775677
CA1	2.2036669614885884	9.970494382906251	1.4844753152169923
RBPMS2	2.1996804751801915	6.260286520166666	1.4831319817130881
HIST1H2BG	2.199605662012904	6.7040953431145835	1.4831067601534638
GZMK	2.1854674822110236	6.924172576354167	1.4783326696691184
HBG1	2.1845906418869485	11.557043567406252	1.478036075976141
HIST1H1D	2.1759947429236277	6.378916264479167	1.4751253312595607
EGR2	2.175253409684823	7.376862921145833	1.4748740318023175
PGLYRP1	2.1673293054650116	12.31062091053125	1.4721852143888052
HIST1H2AH	2.1479193257572953	5.522142980854167	1.4655781540939041
PRF1	2.1290830606700575	6.957781821916666	1.4591377798789456
SPTA1	2.122502370526833	6.907877587354167	1.4568810419958222
SLC4A1	2.0954637593276493	7.584326441989584	1.4475716767496
PCOLCE2	2.084106701178258	7.077060789927082	1.443643550596288
IL2RB	2.071641927075691	8.33605675515625	1.4393199529901932
AZU1	2.067178335279816	12.220959262874999	1.437768526321193
GIMAP4	2.052736190855036	8.40205517946875	1.4327373069949134
CLEC1B	2.0469932937912785	6.228628030145834	1.430731733691288
MAFB	2.0426653461410775	9.105753703197918	1.4292184389172558
XIST	2.0299070788683835	7.879891517614584	1.424748075579814
TSPAN9	2.0051505697204264	5.870897912927084	1.416033392869118
RNASE3	1.9991340982149024	12.425706136291666	1.4139073867177094
GJB6	1.990914089521681	7.243114934932291	1.4109975512103772
HBEGF	1.9870074447919013	8.33954210965625	1.4096125158325963
HLA-DQA1	1.9851020613104182	8.551133962375	1.4089365000987157
SPOCK2	1.9847580665154572	9.285370289906249	1.4088144187633294
CEACAM6	1.9779760153434107	12.40399589890625	1.4064053524298785
MMP9	1.9769920143020545	12.537840318270833	1.4060554805206142
LEF1	1.941853410348548	7.576970210875	1.3935040044250135
KLRF1	1.9413553173016413	6.778734969630207	1.3933252733305461
NRGN	1.9190080203057363	8.235467971427083	1.3852826499692168
RETN	1.900113125610459	10.909367503156249	1.3784459095700703
SH3BGRL2	1.872566398901264	6.092746975687501	1.368417479755818
GSTM1	1.8712131061783845	7.171784709649306	1.3679229167531277
CEBPE	1.8581017291436106	9.048179196770834	1.3631220521815393
CD19	1.8437271402868738	5.936760835718751	1.3578391437452648
IL1B	1.837097571528339	8.566244654750001	1.3553957250664244
CD2	1.8267586545198078	7.4205061485	1.3515763591154615
SLC45A3	1.8107471022550463	8.0679968099375	1.345640034427873
TNFAIP3	1.8089791299180675	9.21701431990625	1.344982947816837
VCAN	1.8005215579570863	9.877136989541667	1.3418351455961666
SLPI	1.789394979989335	10.28180813121875	1.3376826903228338
RHAG	1.7869658566910758	5.866771348552082	1.3367744225152858
LGALS2	1.7789163363573541	7.307108248145833	1.333760224462161
PIK3IP1	1.770855105650523	8.789635905614583	1.3307347991431362
ESAM	1.7700104246893467	6.0696966878437495	1.3304173873974088
PHACTR1	1.7647379699906842	6.906286894895833	1.3284344056033344
TPSB2	1.7542775156985542	7.0443968231875	1.3244914177519436
COL17A1	1.7416951763892596	9.63979629003125	1.3197329943550171
TSPAN33	1.7404707369680972	7.308390872239584	1.3192690161479947
TACSTD2	1.7239240412612846	10.279874930572918	1.3129828792719593
CD83	1.7228709155182127	9.926009284458333	1.3125817747927984
ABCA13	1.7212790647425906	9.246876435812501	1.3119752530983924
TGFBI	1.716871367215617	9.494873696458333	1.3102943818911903
ITGB3	1.716553906445595	5.606176317708333	1.3101732352805853
CYP1B1	1.712268033271937	6.123210802677083	1.3085365998977396
CCL3	1.7086294911348372	8.886879149625	1.3071455508606673
AHSP	1.7034836652536314	10.562139348260416	1.305175721982918
TCN1	1.6995130919987906	12.152260974666666	1.3036537469737857
OSBP2	1.6878455328736581	6.745053263239583	1.29917109453438
CD8A	1.6778688703095523	7.141531800111111	1.2953257776750804
CEACAM1	1.6770226505860084	10.375155622506943	1.2949990928900332
BPI	1.6770156571669956	12.67577680434375	1.2949963927235457
HLA-DQB1	1.6666970111224462	6.196294858770833	1.2910062010395016
CD24	1.6590932551585535	11.609893243328125	1.288057939363969
DEFA4	1.6569145977304964	12.940302407604166	1.287211947478152
ITGA2B	1.6563288320047045	6.371037523677082	1.286984394623612
S1PR5	1.6561839068567477	5.940771166979165	1.2869280892329404
TGFBR3	1.6555326028743462	7.466897145625	1.2866750183610256
ITK	1.6547975289521177	7.58552787271875	1.2863893380124534
CEACAM8	1.6513314634768463	12.640353253385419	1.285041424809662
EPB42	1.648351017635042	7.911586314802084	1.283881231903887
GNLY	1.635104901012048	7.840924891013889	1.278712204138229
ITPR3	1.6237095274498756	7.666986470447917	1.2742486128891313
KLF9	1.6097475718491243	8.891799586635416	1.268758279519438
OLR1	1.6067210124904692	10.774657301583334	1.2675649933989457
CX3CR1	1.6030124424346461	6.324065040692709	1.2661012765314814
PPP1R16B	1.6006716254248825	6.482919391270833	1.2651765194726319
HIST1H2AE	1.6002630144314516	6.076501977479167	1.2650150253777426
IFIT2	1.5885949909460242	8.831468396239584	1.2603947758325658
OLFM4	1.5786438536993312	8.935188347473959	1.2564409471596074
ARG1	1.5748548984568134	11.341337461520832	1.2549322286310178
FPR2	1.5693998223713967	7.7793065956875	1.252756888774273
IFI27	1.5667624212230173	5.411327938510418	1.2517038073054731
SERPINB10	1.564891709673182	9.39785690071875	1.2509563180515861
CLEC11A	1.5513610396805513	8.972166220291667	1.2455364465484542
CRISP2	1.5513257966043896	7.638582781208332	1.2455222987182482
CD7	1.5498344223191125	7.677475223489583	1.2449234604260262
TOP2A	1.5317578371723426	8.035584870989583	1.237642047270673
ORM2	1.5266791972294185	7.565300201927084	1.2355886035527437
HIST1H4E	1.525245755026732	6.03660602903125	1.235008402816245
ADM	1.5237034244432708	9.762101911864583	1.2343838237935845
IFIT3	1.523078021758231	7.175887182809028	1.2341304719348882
ICOS	1.5203128279857363	5.971728768395835	1.2330096625678715
BAG3	1.51081550654054	5.937966901395833	1.2291523528597017
TNFSF10	1.5105382850999884	8.081091811708333	1.2290395783293508
MPO	1.5093508930550412	12.762666081427083	1.2285564264839612
SERPINE2	1.508317675429384	6.883838034510416	1.2281358538164187
ANXA3	1.507200247370042	11.581995952229166	1.2276808410047144
LY86	1.5012429064831467	7.8995240365104165	1.225252180770615
TEX101	1.489797732573838	5.76601554384375	1.2205727067953953
MS4A2	1.4793979874031722	8.02372209915625	1.216305055240326
PTPN20	1.4739527120960905	8.921474082677085	1.2140645419812286
SIK1	1.4691187026781594	7.1942751308854165	1.2120720699191774
BAMBI	1.4690439959893826	6.538053821656251	1.2120412517688426
KLHL15	1.4684606224795627	6.719866177802085	1.2118005704238477
GTSF1	1.4683213004222198	6.549970943177084	1.2117430835050056
FGL2	1.459645649265853	9.981251299958332	1.2081579570841938
MAL	1.451700879172223	7.602642907645834	1.2048655025239219
FCRLA	1.4502287419254067	5.423646111385416	1.2042544340484724
FOLR3	1.4487628062175324	10.864159771041669	1.2036456314952226
EOMES	1.4473167012885544	6.455508514552084	1.2030447627950318
NEU4	1.443281405694919	5.150528365374999	1.2013664743511525
MPL	1.439692376405005	5.65051882009375	1.199871816655848
G0S2	1.435574284380616	10.245579443822917	1.1981545327630392
PROS1	1.428409481212367	5.4291928785416665	1.1951608599734043
IRF8	1.4247114185210552	8.847298740531249	1.1936127590307732
CHIT1	1.4179525166892029	6.849558720593751	1.1907781139612883
DUSP5	1.417140041643406	8.725485056364583	1.1904369120803526
AQP10	1.4133508045798748	5.247260801447916	1.1888443146938439
CDCA5	1.41133782692387	9.310043989072916	1.187997401901145
BEX1	1.4101556856162565	9.018399872291667	1.187499762364716
CD27	1.404072226859099	5.774880086947917	1.1849355370057477
GATA2	1.3972865334160736	7.532675550625	1.182068751560616
CA4	1.3958242124612796	9.436781052406248	1.181450046536577
GBP5	1.3947881542503866	8.328182936749998	1.1810114962397216
GIMAP8	1.3930020876500564	6.489672234562501	1.1802550943122663
