gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
RPS4Y1	0.008157692437174303	0.042317413375121606	0.009682553908391166	-0.05497728673349685	-0.028019662672194547	0.017366784115817695	0.35737406086571843	-0.21748409613344402	-0.025558991485740732	0.10235916241487655	0.03999978611048961	0.042614686075142245	0.058260626135492245	0.04851225512137428	-0.020343259814433905	0.05285723694776617
IFI27	-0.010344528681848734	0.06573516310650371	0.16604626668642708	0.05021824814157168	-0.0016194515069881785	-0.02559308222513649	0.01870512269673719	-0.05841186787746483	-0.020058048840987237	-0.07147511409467514	-0.06481135017098139	0.12584616976754387	0.0036633727830804558	-0.024857945111754882	-0.04179896313526603	-0.024926675428760245
PRG2	0.08075992946784717	-0.024813120980487373	0.012303315776967211	0.08128193473644757	-0.022409175673729582	-0.03531813424635706	0.0073273849829095855	-0.010746376672649613	0.0533626737020357	-0.03852457316459734	-0.021638639256919247	0.059311010061360185	0.013376602613374871	0.00015516804466464654	0.05046091989473413	0.03170764881205093
XIST	-0.00824076279506221	-0.04089531625511065	-0.012145638463010663	0.05445074563400631	0.015367772710479814	-0.02068184431156316	-0.3506754245542994	0.22910268791307214	0.028643529929069322	-0.11938224628637696	-0.048232535060178314	-0.055887829090031656	-0.0563827014372151	-0.04294450151937743	0.02216443145442235	-0.0659685965268966
EIF1AY	0.014115587403414809	0.017584568090574782	0.02742444430169042	-0.0649506534990388	-0.02616584686182192	0.022272517533188527	0.3521611659973899	-0.20569622744745378	-0.008054803598471208	0.14558868830604113	0.050453525443201086	0.032562898138242	0.05679149578555486	0.023306689904067028	-0.005980731335123863	0.08742259438327654
BEX1	0.08090952318658239	0.019215372461935387	-0.002653355700589833	-0.016539811752967294	0.07436764597606739	0.02031885360755881	0.005991785968576261	-0.04550023346568762	0.07448378312019689	-0.05172070017390404	0.04239351396189492	-0.0444214061047814	0.07079930066782686	0.016263603608519715	-0.04720470597040679	-0.013914598922834344
PRG3	0.06270874402624937	-0.028544896895664695	0.019070913938236348	0.0641664317757702	-0.10223482151363758	-0.009774668791552475	-0.029737292965866687	-0.10945467585968788	-0.014835953984149506	-0.02811181979073386	-0.08596786946174614	0.03150653699944736	-0.003063002380662357	-0.09391117047784206	0.15509312455636282	-0.020686945833518974
PRTN3	0.08464031146633172	-0.014006810806069062	0.011674345753477967	0.016364527620827223	0.06002037619230886	0.027721341927888728	0.0872694583458378	-0.03220290742872884	0.0448932378933658	-0.06628144254231322	-0.021306724237751037	0.017621913220222066	-0.024540674657337624	-0.053953356222277205	-0.05008801691377347	-0.010901125088976688
CTSG	0.08604891657047918	-0.0024023323007671534	0.007642937173005184	0.010141068479794246	0.07621112196953576	0.018382681972817973	0.07132221662085776	-0.002932373393507524	0.09187202120662656	-0.08082933980074528	-0.010239345908500631	-0.020295363360156176	-0.036944434091296816	-0.05550158265177477	-0.050338572928448566	-0.02091880195763234
MPO	0.08674931214513709	0.0002628206034592027	0.011478901772101	0.00039921058188832696	0.06867540809862242	0.03804467303198283	0.0801325058431361	0.008229554465137198	0.06108837616881678	-0.06894792803529165	-0.017257602573522032	-0.024620269470373334	-0.031387107652069014	-0.04531654404507964	-0.06197647775159689	-0.048136053335099474
