gene	raw_variance	cohort_mean	cohort_sd_ddof0
RPS4Y1	19.482459877536332	6.548284798606806	4.413893958574032
IFI27	13.198666608443485	9.524709123091611	3.632996918309108
PRG2	11.970112814228816	8.691837368506233	3.4597850820865763
XIST	11.706996519163	6.123471488541708	3.421548847987268
EIF1AY	10.163254468916413	5.254560244253717	3.1879859580801813
BEX1	8.465550756321667	8.945316681991416	2.9095619526522665
PRG3	8.426492984267872	4.216599556471387	2.902842225176538
PRTN3	8.203002084896195	9.530345317534765	2.8640883514473146
CTSG	7.385833309701163	11.851437734670819	2.7176889648562
MPO	6.993782914919512	10.613475602217743	2.644576131428156
SERPINB10	6.808853129032026	7.959574987129687	2.6093779199326463
OLFM4	6.57271838072408	9.976156254221978	2.563731339419964
OLR1	6.509059693014304	8.504112102935549	2.5512858900982285
CRISP3	6.458548348407385	11.218597345705684	2.5413674170429164
EPX	6.412877060629468	5.37686892087357	2.5323659018059512
IFI44L	6.41174403895811	9.224727975903948	2.5321421837957887
RSAD2	6.295480550440338	9.584705855919381	2.5090796221802805
AZU1	6.292987971566098	12.601391442809316	2.5085828612119028
ELANE	6.1766242031304355	12.3010492179615	2.4852815138592326
RNASE3	5.973453236250397	10.675905961848931	2.444064900171515
SIGLEC1	5.914031154151677	4.566648265948805	2.4318781125195557
PCOLCE2	5.72524925107175	6.706409552501874	2.3927493080286846
USP18	5.711963633610667	6.012968734017507	2.389971471296397
IFIT1	5.618909012996065	10.21040730212372	2.3704238045117725
CHIT1	5.590060716063983	6.883113814802777	2.3643309235519423
MMP8	5.557234309511939	10.663328448968063	2.3573786945486583
CD177	5.378852762262245	6.256244146632686	2.31923538310846
CEACAM6	5.349068339893867	11.344556045052132	2.3128052965811596
CRISP2	5.342442952578702	6.210105962455315	2.3113725257038737
IFI44	5.1382736754216225	8.022000828847515	2.2667760532133787
HBZ	5.05676176378605	6.7413436032096	2.248724474849254
RNF182	4.962329605191704	4.475153609880524	2.2276286955396545
KRT1	4.892686068659487	8.16279236386572	2.211941696487384
RETN	4.724402025711003	9.554159234550673	2.173568960422236
SUCNR1	4.648292658305074	8.316347220946426	2.1559899485630893
COL17A1	4.5600508359018885	6.158472571724003	2.1354275534191953
PRSS21	4.54361705367331	4.078327502187212	2.131576189976165
TMEM45A	4.446352702530928	5.500002158323958	2.108637641353044
OAS1	4.340924838371148	9.189988296601214	2.083488622088239
TCL1A	4.339985461075948	4.58183103472305	2.0832631761436065
ANLN	4.331318151081315	5.728128569588435	2.081181912058942
TMEM158	4.319361678102122	6.839398990503708	2.0783074070267187
HP	4.264357658051554	10.908006178127591	2.065032120343787
PRC1	4.263853505046154	6.75651198596103	2.064910047688799
IFI6	4.259633509804058	9.091460371481958	2.0638879596053794
CLEC11A	4.253430528838379	5.892842957171644	2.0623846704333264
HLA-DQA2	4.223063319676171	9.37117684794913	2.0550093235010323
DLGAP5	4.13288294346147	5.134260357585256	2.032949321419861
KIF11	4.1148036314783605	6.1027116633748895	2.028497875640583
TMEM176A	4.066122433303258	6.536578501786825	2.0164628519522143
LRRN1	4.022415211747231	5.631313688673801	2.0055959742049816
TPSB2	3.951282400453672	6.403028124947967	1.9877832881010122
LY6E	3.927608195858074	9.733113935301413	1.9818194155517987
ISG15	3.912005278802665	11.313013358181106	1.9778789848731055
TPX2	3.90160687054692	5.3503215290875135	1.9752485591810762
BUB1B	3.8782436726657368	5.66728458548332	1.9693256898404943
HERC5	3.8620929739738856	9.15607639580985	1.9652208461070944
PF4V1	3.86188355970402	7.302090571225987	1.9651675652992093
TTK	3.8417152118335145	5.086787454850852	1.9600293905534967
ORM1	3.8402378686160437	7.657925269376254	1.9596524866965688
LGALS3BP	3.833216948745197	7.053350263697967	1.9578602985773008
GPR84	3.811402796159447	7.156087987303183	1.9522814336461445
MX1	3.79468439057905	10.367428424995861	1.9479949667745677
PTH2R	3.792995548707895	5.338044308825807	1.9475614364399128
CLEC5A	3.7798681716792872	8.535591298105354	1.94418830664092
FOLR3	3.7796950358825425	9.65090554014671	1.9441437796321916
ORM2	3.7289519458961244	7.249511385067861	1.9310494415980455
DEFA4	3.675153970383425	13.213048838438331	1.9170691094437426
MEST	3.657538291999869	5.951428439260012	1.9124691610585174
CAMP	3.646527304495381	12.354195764355094	1.9095882552255559
CNRIP1	3.6264223903378867	4.1832715846320925	1.904316777833427
APOBEC3B	3.616841855075987	7.820199061808745	1.9017996358912224
RRM2	3.607832284598225	8.587691022181072	1.8994294629172797
OASL	3.605754692652866	8.17769904879411	1.8988824852140975
LGALS2	3.5886124571831144	7.319276245337562	1.8943633382176486
HEPACAM2	3.5831679945046493	4.7005243430749335	1.8929257762798437
MS4A3	3.575486017634304	11.144396908410043	1.890895559684433
ATP8B4	3.533360282412607	8.95418022141823	1.8797234590259833
LCN2	3.53008362413272	13.312003399288308	1.878851676991221
UHRF1	3.5054143140523144	6.483658721825299	1.8722751704950622
PIWIL4	3.4958742384431183	7.986987889605342	1.8697257120880375
PGLYRP1	3.463809901746599	11.504675588386092	1.8611313499445974
CYTL1	3.4598549910574814	3.977361661952062	1.8600685447201895
GPR146	3.457498071449445	7.443409141241134	1.8594348795936484
SERPING1	3.4541950821520833	6.720771499032059	1.858546497172477
E2F8	3.4098485764767354	5.884256644059439	1.8465775305891532
CD24	3.4020643070427647	11.165995207104064	1.8444685703591603
BTNL8	3.3728702760686904	6.999909590971831	1.8365375781803899
GJB6	3.3405669078109463	4.628877152677578	1.827721780745348
SLC14A1	3.3333985237203256	7.1985416805735065	1.8257597113860098
GINS1	3.3255424258314252	5.741653602378911	1.8236069822830319
IGFBP2	3.3147806691386665	5.08397622698795	1.8206539125101913
CDC20	3.3134047979747465	5.539857142372217	1.8202760224687762
CEACAM8	3.2910608806760253	12.946472829039097	1.8141281323754466
TREML1	3.2816224983677444	6.636278157224905	1.8115249096735448
BCL2L15	3.2574334711653874	5.754608028253969	1.8048361341588293
MS4A1	3.243408902704779	5.78327964408342	1.8009466684787692
HEMGN	3.2311712920968017	7.529276259852252	1.7975459082028475
EPSTI1	3.2290493205727975	9.217004750082952	1.796955570005223
PTX3	3.22526656209261	8.421957886546716	1.7959027150969533
SLC4A1	3.1880400643709255	9.761576734482771	1.785508349006222
RAD51AP1	3.161486327876376	5.842008781468142	1.7780568966926722
HMMR	3.119476370830332	4.7027542980431045	1.7662039437251669
ELOVL7	3.110136842201406	6.632693592136769	1.7635580064748098
SPC25	3.1096992099294245	4.61725989197963	1.7634339255921734
DEFB1	3.1044888048016075	3.407774925333346	1.761955959949513
CMPK2	3.0883216761648487	10.380355703558362	1.75736213574916
ZWINT	3.0859621834752238	7.419642644624845	1.7566906908944508
TCTEX1D1	3.080154936380166	5.033692146147917	1.755037018521309
OIP5	3.0760311314297972	4.566342441689816	1.753861776603218
CES1	3.0585727426080522	7.04025323536926	1.7488775665003125
GGH	3.0542156302528674	7.519281259647512	1.7476314343284358
CDKN3	3.049954772958561	4.407257559165885	1.746411971145
LRRN3	3.035615365452046	5.207625944604868	1.7423017435140347
KLRC1	3.011629704774178	6.0453531661158175	1.7354047668409172
KLRC2	3.011629704774178	6.0453531661158175	1.7354047668409172
SLC27A2	3.008089610095911	6.229989087471474	1.7343845046862914
TPSAB1	3.003752260469627	5.624053367017778	1.733133653377496
GTSF1	2.958163842859911	5.298654391350794	1.7199313482985041
XAF1	2.956460448968968	7.879866245957127	1.719436084583829
DTL	2.95544801607388	5.348272352339735	1.7191416509624444
SELENBP1	2.953677890761716	11.228146454632624	1.7186267456203852
KIF20A	2.947127618665667	5.04333347640736	1.7167200175525617
SLC22A16	2.945786704305803	6.046969313997737	1.7163294276757604
DEPDC1B	2.939629235977772	5.553444798331601	1.7145346995548885
OAS2	2.937437528418812	7.406903234540444	1.7138954251700458
SH3BGRL2	2.931169043903394	5.666725373453006	1.7120657241774901
CPA3	2.9175552704165733	9.976725584793193	1.7080852643871658
RHCE	2.917237727984704	4.762590128877542	1.7079923091116964
TRIM58	2.915507953252468	9.545789811542067	1.7074858574092113
LAMP3	2.8516986023683892	4.009426109569294	1.6886973092796687
CEBPE	2.8488019641961366	8.543852130590901	1.6878394367344711
MMRN1	2.8452243510301094	4.06746416875021	1.6867792834363693
GYPB	2.8404499869754596	7.170014379399036	1.6853634584194175
RTP4	2.8354185766186975	7.863296131723827	1.6838701186904814
HJURP	2.83191519469663	5.042238547266601	1.682829520390176
LAPTM4B	2.8060625945701845	6.483335728443527	1.675130620151809
TUBB1	2.7891976804576832	8.77604094174861	1.67008912350739
HDC	2.7792106794429765	7.660382442039303	1.6670964817439264
RUNDC3A	2.775157766684966	7.252281566900646	1.6658804779109952
IGLL1	2.7685080820178483	3.99484458563813	1.6638834340235038
ANXA3	2.7676406258960653	11.233675937178601	1.6636227414579499
SLC28A3	2.7495286125645033	5.182121997738981	1.6581702604269877
IFIT3	2.747577552260538	10.938664490059422	1.6575818387821875
TGFBI	2.7317974690658917	9.72089659672481	1.6528150135650062
OTOF	2.724456226902468	3.0901198693559895	1.6505926895822813
CEP55	2.7127914562123143	4.896828749556462	1.6470553895398647
ABCA13	2.702105548555527	5.955246009647688	1.6438082456769485
HYAL3	2.6933966552601847	5.189376219653178	1.6411571086462704
STBD1	2.6920659382598093	6.218738615400586	1.6407516382011655
EPB41L3	2.671207115109628	5.3604246500988015	1.6343827933227966
SPINK2	2.661675789195877	4.5818009454450035	1.6314643082813294
RPL22L1	2.655249309366315	6.381644772345552	1.6294935745090606
RPH3A	2.638941281622502	5.153027549336263	1.6244818501979337
BLNK	2.6385451414882604	5.070788692528358	1.6243599174715746
KIF15	2.629128674763597	4.152516348869073	1.621458810689805
SPTA1	2.607932696930779	3.7031380448971754	1.6149095011581234
VCAN	2.604984815434987	9.36174342253689	1.613996535137231
TMCC2	2.6033444893727853	7.004022348236949	1.6134882984926746
XK	2.599790899033647	9.293921062617452	1.6123867088988442
ALOX12	2.59893158368545	5.013161996214389	1.6121202137822879
CKS2	2.597711596320378	7.746688361555223	1.611741789592979
CCNB1	2.5770933063438504	5.105813236092339	1.6053327712171859
IFIT2	2.575182941115536	9.800869170973636	1.6047376549191885
TK1	2.571438338217377	6.622677625237922	1.6035704968031108
SHCBP1	2.568992777214572	5.61297437529028	1.6028077792469608
KLRF1	2.568354313307059	7.023380696108648	1.6026085964161865
BMX	2.5528454476184317	6.496034806779549	1.597762638071886
KIF18B	2.5379575722207215	5.871606703983387	1.5930968496047944
EPB42	2.534340069089939	11.202907696995323	1.5919610764996543
BPGM	2.5299009990103722	10.726957937439606	1.590566251059783
ALPL	2.527684802594149	5.387908741051014	1.5898694294168152
CAPN3	2.519240289231373	7.196604667916655	1.5872114822012133
CNTNAP3B	2.5146049721132897	4.946117918119401	1.585750602116641
ABCG2	2.5081150635261533	3.9804698861239474	1.5837029593727965
RHAG	2.4951212072429505	3.9604018770171168	1.5795952669095181
MELK	2.480867410095595	5.661693473786163	1.5750769537059433
DDX60	2.477460854920327	9.373527015114506	1.5739951889762327
GZMA	2.474515760343676	9.301355594211852	1.5730593632611822
GZMH	2.4611559243507592	9.08260322903025	1.5688071660821665
