gene	raw_variance
DEFA1	16.722136173190872
DEFA1B	16.722136173190872
DEFA3	16.722136173190872
LTF	13.814997475908083
CEACAM8	12.478711472119285
RPS4Y1	12.454542340530352
DEFA4	12.010339619232784
EIF1AY	9.47241413797017
MMP9	9.039528168219848
XIST	9.035950332177718
CRISP3	7.773476316173303
S100A12	7.419847551181054
MAMDC2	6.1584829838475015
MMP8	6.1519003473657685
CEACAM6	5.514153047518577
MGAM	5.453809066742315
CAMP	5.433643139543358
S100P	5.194842553199582
MNDA	5.183756713707839
TCN1	4.8419163219773305
S100A9	4.577460048107834
HBG1	4.558523461975697
HBG2	4.558523461975697
SERPINB2	4.376958018554344
GTSF1	4.323465997338233
G0S2	4.291267214761732
CD24	4.030216726198568
FCN1	3.936964214358594
CCL3	3.7837367201020906
CCL3L1	3.7837367201020906
LCN2	3.703729604451108
EPCAM	3.658235486001251
S100A8	3.59667224285275
GPR183	3.568745868429159
C5AR1	3.5415472846947464
GAS2	3.5291269204762923
IFI44L	3.5190866702180252
HLA-DQA2	3.4556004463330843
PPBP	3.43943131914171
ANXA3	3.3048469668831326
FCGR3B	3.2711124270280263
FOS	3.2631111248377156
IL18RAP	3.234327111539736
NCF2	3.169045847081571
PROK2	3.0619603314845323
USP9Y	3.0497748209234365
NR4A2	3.0490325479942038
PRSS21	3.019468207824334
BEX1	2.961572470730133
TMEM200A	2.933423929810459
AHSP	2.8936333644970764
SLC10A4	2.8695627213583728
ROBO1	2.8536335436336233
TSPAN2	2.852918220379536
DNTT	2.8431930459783525
FGL2	2.8180862520442904
VNN2	2.8125889302988756
OLFM4	2.8022549572359043
MAFB	2.760379208144923
CSTA	2.7389471308148425
GJB6	2.719699184538534
PGLYRP1	2.7157974509653537
BLNK	2.6849988701652183
TNFSF4	2.6715379334150935
LYZ	2.669160952392104
KLRF1	2.6396591084697607
PROM1	2.637813836222464
CD14	2.633657882424022
BEX5	2.591262523459399
EGR2	2.507859023250823
DDX3Y	2.5047305057597
SGK1	2.473576922416395
IFI27	2.454514542818089
MS4A3	2.419662412320214
ELANE	2.379083881468569
EGFL6	2.3770525273001666
APOBEC3A	2.3663145155581295
MPEG1	2.3392724327305734
PBK	2.3378538399129574
CRHBP	2.3156454079098765
CA2	2.309367387801561
PTGS2	2.3017267200639213
NMU	2.2960682755997692
RNASE2	2.286862442090838
CYP4F3	2.2686336392232533
TGFBI	2.2566085256169055
PLS3	2.250058114500912
GAPT	2.224728178621928
TREM1	2.214755785158054
KLF4	2.2114479292344655
HBA1	2.1988370264524
HBA2	2.1988370264524
CXCL3	2.156547213873811
CLC	2.1485068086912693
HIST1H2AC	2.146192341090312
FGR	2.1414350321600044
MX1	2.1119206535094013
NAP1L3	2.1081439981810464
SUCNR1	2.0892039046317885
IER3	2.07840047584296
GPR171	2.074820790701009
RGS1	2.0588651533093847
TMEM56	2.043063727358263
PF4	2.042128037159749
CEBPB	2.031423047499082
HLF	2.004644286958675
GPAT2	2.004227470181502
MPO	2.003178896342073
IRF8	1.9978895610429135
UBTD2	1.9958165175090474
RNASE3	1.9937590571604762
DPP10	1.9922751458126078
EGR3	1.9816792055368653
ZC3H12D	1.976669273843873
MMRN1	1.9590880103257449
LCA5	1.9474453716389803
SCHIP1	1.94715917763858
PTX3	1.941404985131133
RAB31	1.933370463909807
BCL2A1	1.9305044005907426
SELL	1.925104422552118
FOSB	1.9215482285301897
C15orf48	1.9159174284073914
HP	1.9142583376956215
ADM	1.9082504766584325
AQP9	1.847340735669256
KIAA0087	1.8447047253131508
IFI30	1.8438996208541203
FPR1	1.8236379974435177
SELENBP1	1.8088787262524129
TTTY15	1.801244878798566
RGL4	1.7965300407883138
ATP8B4	1.794438136274786
DHRS9	1.7861299661822265
HLA-DQA1	1.7857798178382787
RYR3	1.7747423042872719
P2RY8	1.7731062059447489
EPB42	1.7715457457733648
RSAD2	1.7709771520929438
PAQR8	1.767899110950536
IL10RA	1.757848442749783
AZU1	1.7510521255941127
CMTM2	1.751005754831354
PANK1	1.7443765887223779
HIST1H2AE	1.7391898122249398
CTHRC1	1.7219020921522
PAG1	1.7139139523554927
NCF1	1.712625956378519
VCAN	1.7032446362221068
ZNF804A	1.696397224994831
HIST2H2AA3	1.689352137630223
HIST2H2AA4	1.689352137630223
MRC1	1.6869541073876781
DDIT4	1.6856570300751998
MME	1.6830864642826437
RXFP1	1.6784874323750725
IRF2	1.6691025219935889
ANXA1	1.6632751631959588
SMAD7	1.661504099170771
PPP1R16B	1.6610521916121057
CTSG	1.6547765785113528
MYO5C	1.6434650612538926
MAFF	1.6418962883920187
TNFAIP3	1.641161817983765
PLK2	1.636994161586854
NUDT11	1.6367753314544435
NDN	1.6187456747285522
FIGN	1.6157800894049008
TMEM71	1.611352444720996
BAALC	1.610346593570226
PTH2R	1.6051027192154619
CHI3L1	1.6031349793311118
EPDR1	1.6000164143820637
FAM24B	1.5933855603598486
PRG2	1.5792634027659522
VCAM1	1.5681657310676136
GSTM5	1.5662972201697813
CENPE	1.561667974547979
HIST2H2BE	1.556651290906576
TMEM154	1.549811972316278
MAN1A1	1.5491608577279492
PRTN3	1.5459136136352374
SH3BP5	1.5346836044342804
SPINK2	1.5298055584629766
KLF1	1.529296729829186
CDA	1.5275984337529729
RGS18	1.5213645601430346
LDLRAD3	1.514537057642326
TMEM170B	1.5059041724827271
ADAMTS3	1.505840208937714
P2RY14	1.503904153278024
IL1R2	1.500506263396253
BAG3	1.5002310822552143
SLAIN1	1.4870677802125218
RNF182	1.481031334815845
EHHADH	1.4807230346540137
MIR155HG	1.477949361046837
TYROBP	1.474709874589446
COL24A1	1.4732016047663263
SLC16A6	1.471182111079542
XK	1.4619638183630816
SLC26A2	1.4595768823136461
ZNF300	1.4591782677787006
FAM72A	1.4570646289086515
FAM72B	1.4570646289086515
FAM72D	1.4570646289086515
RFESD	1.4560751223540704
RHAG	1.4456394560795436
CTSH	1.4444386745491227
HPGD	1.4437670575145582
IL7	1.439695850668461
MAP7D2	1.4395587367192326
DLGAP5	1.4392462995717885
ID1	1.428913298196673
