fold,repeat,fold_within_repeat,r,k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
1,1,1,4,8,76,20,10,3,0.48333333333333334,0.6666666666666666,0.5196078431372549,0.3333333333333333,0.7058823529411765
1,1,1,4,16,76,20,10,3,0.3909090909090909,0.7647058823529411,0.7450980392156863,0.6666666666666666,0.8235294117647058
1,1,1,4,32,76,20,10,3,0.33134920634920634,0.7647058823529411,0.5784313725490196,0.3333333333333333,0.8235294117647058
1,1,1,8,8,76,20,10,3,0.5,0.8823529411764706,0.9117647058823529,1.0,0.8235294117647058
1,1,1,8,16,76,20,10,3,0.5694444444444444,0.8235294117647058,0.6862745098039216,0.6666666666666666,0.7058823529411765
1,1,1,8,32,76,20,10,3,0.4,0.7843137254901961,0.7156862745098038,0.6666666666666666,0.7647058823529411
1,1,1,16,8,76,20,10,3,0.1597222222222222,0.4117647058823529,0.4019607843137255,0.3333333333333333,0.47058823529411764
1,1,1,16,16,76,20,10,3,0.19657097288676234,0.4509803921568627,0.4607843137254902,0.3333333333333333,0.5882352941176471
1,1,1,16,32,76,20,10,3,0.4027777777777778,0.8039215686274509,0.5784313725490196,0.3333333333333333,0.8235294117647058
2,1,2,4,8,77,19,11,2,0.16666666666666669,0.5,0.5735294117647058,0.5,0.6470588235294118
2,1,2,4,16,77,19,11,2,0.15476190476190477,0.5294117647058824,0.5441176470588236,0.5,0.5882352941176471
2,1,2,4,32,77,19,11,2,0.17424242424242425,0.5882352941176471,0.5735294117647058,0.5,0.6470588235294118
2,1,2,8,8,77,19,11,2,0.09453781512605042,0.17647058823529416,0.2647058823529412,0.0,0.5294117647058824
2,1,2,8,16,77,19,11,2,0.10263157894736842,0.23529411764705882,0.3235294117647059,0.0,0.6470588235294118
2,1,2,8,32,77,19,11,2,0.09429824561403508,0.1764705882352941,0.3235294117647059,0.0,0.6470588235294118
2,1,2,16,8,77,19,11,2,0.14215686274509803,0.4117647058823529,0.5735294117647058,0.5,0.6470588235294118
2,1,2,16,16,77,19,11,2,0.2222222222222222,0.47058823529411764,0.5735294117647058,0.5,0.6470588235294118
