fold,r,k,rank,gene,coupling_score
1,4,8,1,VWF,0.052082243409633834
1,4,8,2,MPL,0.049312621924819895
1,4,8,3,RBPMS2,0.04390414372941096
1,4,8,4,ESAM,0.04256794349813031
1,4,8,5,TNFSF10,0.037995698531428146
1,4,8,6,ITGA2B,0.03750063887469414
1,4,8,7,SERPINE2,0.03587375975388644
1,4,8,8,PROS1,0.03520679172922396
1,4,16,1,VWF,0.052082243409633834
1,4,16,2,MPL,0.049312621924819895
1,4,16,3,RBPMS2,0.04390414372941096
1,4,16,4,ESAM,0.04256794349813031
1,4,16,5,TNFSF10,0.037995698531428146
1,4,16,6,ITGA2B,0.03750063887469414
1,4,16,7,SERPINE2,0.03587375975388644
1,4,16,8,PROS1,0.03520679172922396
1,4,16,9,CLEC1B,0.03359662128157446
1,4,16,10,GADD45B,0.033283167200785266
1,4,16,11,GIMAP4,0.031245315158180263
1,4,16,12,ADM,0.031089416854037613
1,4,16,13,FGL2,0.030592658235799066
1,4,16,14,MAFB,0.02997027686997366
1,4,16,15,TSPAN33,0.029709863152192182
1,4,16,16,GP9,0.029500206729134327
1,4,32,1,VWF,0.052082243409633834
1,4,32,2,MPL,0.049312621924819895
1,4,32,3,RBPMS2,0.04390414372941096
1,4,32,4,ESAM,0.04256794349813031
1,4,32,5,TNFSF10,0.037995698531428146
1,4,32,6,ITGA2B,0.03750063887469414
1,4,32,7,SERPINE2,0.03587375975388644
1,4,32,8,PROS1,0.03520679172922396
1,4,32,9,CLEC1B,0.03359662128157446
1,4,32,10,GADD45B,0.033283167200785266
1,4,32,11,GIMAP4,0.031245315158180263
1,4,32,12,ADM,0.031089416854037613
1,4,32,13,FGL2,0.030592658235799066
1,4,32,14,MAFB,0.02997027686997366
1,4,32,15,TSPAN33,0.029709863152192182
1,4,32,16,GP9,0.029500206729134327
1,4,32,17,CX3CR1,0.028851708183844506
1,4,32,18,PHACTR1,0.028811220860461596
1,4,32,19,MX1,0.02868771779190926
1,4,32,20,SLC45A3,0.028524188282765168
