fold,repeat,fold_within_repeat,real_pr_auc,real_roc_auc,real_panel
1,1,1,0.33134920634920634,0.7647058823529411,VWF|MPL|RBPMS2|ESAM|TNFSF10|ITGA2B|SERPINE2|PROS1|CLEC1B|GADD45B|GIMAP4|ADM|FGL2|MAFB|TSPAN33|GP9|CX3CR1|PHACTR1|MX1|SLC45A3|GIMAP8|CSF1R|LOC653610|MGC13057|HIST1H4E|SNORD3C|HIST1H1E|GJB6|HIST2H3A|HOXA5|MS4A2|SNORD3A
2,1,2,0.17424242424242425,0.5882352941176471,VWF|MPL|MX1|RBPMS2|SERPINE2|ESAM|FGL2|HIST1H4E|IL8RB|TSPAN33|TNFSF10|ITGA2B|CLEC1B|HIST1H2AH|GP9|IFIT3|MS4A2|SNORD3C|PROS1|HIST2H2BF|HOXA5|RNU1A3|IFIT2|HIST1H1B|SNORD3A|HBM|HIST1H2AE|RNU1F1|HIST1H2BG|DEFA4|TCN1|HIST2H3A
3,1,3,0.6428571428571428,0.8529411764705882,VWF|MPL|ESAM|RBPMS2|TNFSF10|CLEC1B|ITGA2B|SERPINE2|TSPAN33|MS4A2|FGL2|PROS1|HIST1H4E|MAFB|HIST1H2AM|SNORD3C|GP9|HIST2H3A|MGC13057|SNORD3A|HBM|ITGB3|HIST2H2BF|DEFA4|RNU1A3|VCAN|IL8RB|TGFBI|TCN1|HIST1H1B|F13A1|LTF
4,1,4,0.5714285714285714,0.7291666666666667,MAFB|VWF|TREM1|HIST1H1E|G0S2|VCAN|MPL|HIST1H4E|HIST1H1B|CCL3L1|ESAM|CLEC1B|TGFBI|SERPINE2|RBPMS2|HIST1H1D|LOC653610|HIST1H2BG|PROS1|HIST1H2AH|KIAA0367|CCL3L3|RNU1F1|CCL4L1|HOXA5|HIST1H2AE|ITGB3|LTF|LOC728835|ITGA2B|CCL3|ADM
5,1,5,0.34074074074074073,0.6875,VWF|DEFB1|MPL|SERPINE2|RBPMS2|EPDR1|RHAG|TMCC2|ADM|IFIT2|LTF|SPTA1|ESAM|PRG3|ITGA2B|SLC4A1|IL8RB|EPB42|HIST2H3A|GYPB|HIST1H4E|HBM|CEACAM6|TREM1|IFIT1L|HMMR|TACSTD2|SLPI|TCN1|EBI2|GADD45B|HIST2H3C
6,2,1,0.23333333333333334,0.5098039215686274,VWF|ESAM|MPL|RBPMS2|SERPINE2|MAFB|CLEC1B|TNFSF10|MS4A2|FGL2|ITGA2B|PROS1|VCAN|HIST1H4E|CAMP|TSPAN33|MX1|DEFA4|GP9|IFIT3|LAMA5|TGFBI|LTF|HIST1H2AM|HIST2H3A|IL8RB|CEACAM8|ITGB3|TCN1|HIST2H2BF|IFIT2|LOC100133875
7,2,2,0.18333333333333335,0.6176470588235294,VWF|MPL|ESAM|RBPMS2|SERPINE2|GIMAP4|MAFB|ITGA2B|GJB6|C15orf48|PHACTR1|CLEC1B|GADD45B|PROS1|TSPAN33|TNFSF10|GIMAP8|ITGB3|HIST1H2AH|HES4|HIST1H4E|HIST1H1E|CX3CR1|PRAGMIN|FGL2|HOXA5|HIST1H1B|THBS1|SLC45A3|GP9|ADM|LOC653610
8,2,3,0.5,0.9117647058823529,MMRN1|VWF|MPL|RBPMS2|ESAM|IFI27|HIST1H2AM|CLEC1B|KIAA0367|ITGA2B|HIST1H4E|TNFSF10|GIMAP4|LOC653610|MGC13057|TMCC2|PHACTR1|HIST1H1E|SNORD3C|MAFB|HIST1H2BG|IFIT1L|SNORD3A|LAMA5|BAMBI|PROS1|GP9|HIST1H1B|ADM|TSPAN33|ITGB3|EPB42
9,2,4,0.30000000000000004,0.5625,VWF|RBPMS2|PHACTR1|HES4|GP9|ADM|TSPAN33|GJB6|GAPDHL6|DUSP5|SIK1|MX1|GIMAP4|CD83|HIST1H4E|SNORD3C|HIST2H3A|GIMAP8|CLEC1B|SNORD3A|RNU5A|TNFSF10|HIST1H2AM|LOC653610|RNU11|SERPINE2|G0S2|HOXA5|HIST2H3C|EMP1|HIST1H1E|HIST1H1B
10,2,5,0.5666666666666667,0.7916666666666666,TNFSF10|MPL|VWF|GIMAP4|RBPMS2|ESAM|FGL2|HIST1H4E|VCAN|SERPINE2|RRM2|MAFB|MS4A2|SNORD3C|PRAGMIN|GIMAP8|HOXA5|SLC45A3|CLEC1B|CX3CR1|GJB6|PROS1|HIST1H1E|SNORD3A|ITGA2B|HBEGF|TSPAN33|HIST1H1B|HIST1H2AH|HIST2H2BF|TGFBI|GP9
11,3,1,0.5333333333333333,0.9019607843137255,VWF|MAFB|ESAM|RBPMS2|ITGB3|CLEC1B|ITGA2B|TGFBI|KIAA0367|BAMBI|GP9|TSPAN33|VCAN|NEU4|TNFRSF21|SERPINE2|XIST|PRG3|MGC13057|EMP1|HIST1H4E|IL8RB|HIST1H2AH|CLIC3|F13A1|HLA-DRB1|GTSF1|HLA-DRB4|TSPAN9|PRKY|HIST1H1D|EOMES
