model,fold,roc_auc,balanced_accuracy,accuracy,f1,fit_predict_seconds,n_train,n_test
logistic_regression,1,0.9983619983619985,0.9696969696969697,0.9714285714285714,0.96875,1.7507139000226744,280,70
logistic_regression,2,0.9975429975429975,0.9545454545454546,0.9571428571428572,0.9523809523809523,1.6579513999749906,280,70
logistic_regression,3,0.9975429975429976,0.972972972972973,0.9714285714285714,0.9705882352941176,2.256805000011809,280,70
logistic_regression,4,1.0,0.9861111111111112,0.9857142857142858,0.9855072463768116,2.000079400022514,280,70
logistic_regression,5,1.0,0.9852941176470589,0.9857142857142858,0.9850746268656716,2.0953725000144914,280,70
logistic_regression,6,0.9975429975429976,0.9864864864864865,0.9857142857142858,0.9850746268656716,1.4992230999632739,280,70
logistic_regression,7,1.0,0.9696969696969697,0.9714285714285714,0.96875,1.4079876000178047,280,70
logistic_regression,8,1.0,1.0,1.0,1.0,1.409181399969384,280,70
logistic_regression,9,0.9983660130718954,0.9722222222222222,0.9714285714285714,0.9714285714285714,1.2707714000134729,280,70
logistic_regression,10,1.0,0.9861111111111112,0.9857142857142858,0.9855072463768116,1.335477400047239,280,70
logistic_regression,11,1.0,1.0,1.0,1.0,1.455322600028012,280,70
logistic_regression,12,1.0,0.9864864864864865,0.9857142857142858,0.9850746268656716,1.2636528000002727,280,70
logistic_regression,13,1.0,0.9848484848484849,0.9857142857142858,0.9846153846153847,1.2724911000113934,280,70
logistic_regression,14,1.0,0.9852941176470589,0.9857142857142858,0.9850746268656716,1.2783386000082828,280,70
logistic_regression,15,0.9983660130718954,0.957516339869281,0.9571428571428572,0.9565217391304348,1.205167200008873,280,70
linear_svm,1,0.9983619983619983,0.9696969696969697,0.9714285714285714,0.96875,0.3810584000311792,280,70
linear_svm,2,0.9975429975429975,0.9545454545454546,0.9571428571428572,0.9523809523809523,0.349688199989032,280,70
linear_svm,3,0.9983619983619983,0.972972972972973,0.9714285714285714,0.9705882352941176,0.34747540001990274,280,70
linear_svm,4,1.0,1.0,1.0,1.0,0.3757177000516094,280,70
linear_svm,5,1.0,0.9852941176470589,0.9857142857142858,0.9850746268656716,0.371517599967774,280,70
linear_svm,6,0.9975429975429976,0.9864864864864865,0.9857142857142858,0.9850746268656716,0.38185549998888746,280,70
linear_svm,7,1.0,0.9696969696969697,0.9714285714285714,0.96875,0.37355689995456487,280,70
linear_svm,8,1.0,1.0,1.0,1.0,0.364034200028982,280,70
linear_svm,9,0.9983660130718954,0.9722222222222222,0.9714285714285714,0.9714285714285714,0.3747002999880351,280,70
linear_svm,10,1.0,1.0,1.0,1.0,0.37682099995436147,280,70
linear_svm,11,1.0,1.0,1.0,1.0,0.3777801999822259,280,70
linear_svm,12,1.0,0.9864864864864865,0.9857142857142858,0.9850746268656716,0.37550239998381585,280,70
linear_svm,13,1.0,0.9848484848484849,0.9857142857142858,0.9846153846153847,0.34999259997857735,280,70
linear_svm,14,1.0,0.9852941176470589,0.9857142857142858,0.9850746268656716,0.37088399997446686,280,70
linear_svm,15,0.9983660130718954,0.9714052287581699,0.9714285714285714,0.9705882352941176,0.38034140004310757,280,70
random_forest,1,0.9975429975429976,0.9848484848484849,0.9857142857142858,0.9846153846153847,1.2642704999889247,280,70
random_forest,2,1.0,0.9848484848484849,0.9857142857142858,0.9846153846153847,1.214114900038112,280,70
random_forest,3,0.9967239967239968,0.9578214578214579,0.9571428571428572,0.9552238805970149,1.2421380000305362,280,70
random_forest,4,1.0,0.9861111111111112,0.9857142857142858,0.9855072463768116,1.2861656000022776,280,70
random_forest,5,1.0,1.0,1.0,1.0,1.262106800044421,280,70
random_forest,6,0.9967239967239967,0.9864864864864865,0.9857142857142858,0.9850746268656716,1.2832103000255302,280,70
random_forest,7,1.0,0.9696969696969697,0.9714285714285714,0.96875,1.3239032999845222,280,70
random_forest,8,1.0,0.9848484848484849,0.9857142857142858,0.9846153846153847,1.417774899979122,280,70
random_forest,9,1.0,0.9722222222222222,0.9714285714285714,0.9714285714285714,1.2503942000330426,280,70
random_forest,10,0.9991830065359477,0.9714052287581699,0.9714285714285714,0.9705882352941176,1.3704472999670543,280,70
random_forest,11,1.0,0.9696969696969697,0.9714285714285714,0.96875,1.246815400023479,280,70
random_forest,12,1.0,0.9864864864864865,0.9857142857142858,0.9850746268656716,1.2368442000006326,280,70
random_forest,13,1.0,1.0,1.0,1.0,1.2993722999817692,280,70
random_forest,14,1.0,1.0,1.0,1.0,1.2250803000060841,280,70
random_forest,15,0.9979575163398694,0.9566993464052287,0.9571428571428572,0.9552238805970149,1.2970155000220984,280,70
pca50_logistic,1,0.9991809991809992,0.9848484848484849,0.9857142857142858,0.9846153846153847,0.469560099998489,280,70
pca50_logistic,2,0.9926289926289926,0.9545454545454546,0.9571428571428572,0.9523809523809523,0.427710699965246,280,70
pca50_logistic,3,1.0,0.972972972972973,0.9714285714285714,0.9705882352941176,0.4268794000381604,280,70
pca50_logistic,4,1.0,1.0,1.0,1.0,0.4233242000336759,280,70
pca50_logistic,5,1.0,0.9852941176470589,0.9857142857142858,0.9850746268656716,0.421163399994839,280,70
pca50_logistic,6,0.9983619983619985,0.9864864864864865,0.9857142857142858,0.9850746268656716,0.41643400001339614,280,70
pca50_logistic,7,0.9991809991809992,0.9696969696969697,0.9714285714285714,0.96875,0.40699260000837967,280,70
pca50_logistic,8,1.0,1.0,1.0,1.0,0.41880260000471026,280,70
pca50_logistic,9,0.9983660130718954,0.9861111111111112,0.9857142857142858,0.9855072463768116,0.4228647999698296,280,70
pca50_logistic,10,1.0,0.9861111111111112,0.9857142857142858,0.9855072463768116,0.42799789999844506,280,70
pca50_logistic,11,1.0,0.9848484848484849,0.9857142857142858,0.9846153846153847,0.4110761000192724,280,70
pca50_logistic,12,1.0,0.9848484848484849,0.9857142857142858,0.9846153846153847,0.4347146000363864,280,70
pca50_logistic,13,1.0,1.0,1.0,1.0,0.4130258999648504,280,70
pca50_logistic,14,1.0,0.9852941176470589,0.9857142857142858,0.9850746268656716,0.4176354999653995,280,70
pca50_logistic,15,0.9967320261437909,0.9714052287581699,0.9714285714285714,0.9705882352941176,0.4090062999748625,280,70
anova500_logistic,1,1.0,1.0,1.0,1.0,0.10904240002855659,280,70
anova500_logistic,2,0.9991809991809992,0.9696969696969697,0.9714285714285714,0.96875,0.1051115000154823,280,70
anova500_logistic,3,1.0,0.972972972972973,0.9714285714285714,0.9705882352941176,0.10920970002189279,280,70
anova500_logistic,4,1.0,1.0,1.0,1.0,0.11105479998514056,280,70
anova500_logistic,5,1.0,0.9852941176470589,0.9857142857142858,0.9850746268656716,0.10981599998194724,280,70
