rank,gene,train_mean,external_mean,mean_shift_external_minus_train,train_sd,external_sd,sd_ratio_external_over_train,train_median,external_median
1,DNER,5.7847,0.23350252710827968,-5.551197472891721,2.609180615213907,0.14432248498752961,0.05531333635778131,5.5045,0.20300911366939545
2,SPIC,6.406397142857141,0.17947078628469146,-6.2269263565724495,2.015055346881241,0.1481644777376645,0.07352873853662775,6.279,0.13818489015102386
3,TCL1B,6.200234285714285,0.2153623269245177,-5.984871958789768,2.7067531839495675,0.17729301668365458,0.06550025238169552,5.178000000000001,0.17009501159191132
4,NPIPA5///NPIPB6///NPIPB8///NPIPB3,6.908802857142858,0.5969220260798337,-6.311880831063024,1.9924899351161327,0.14628288778356446,0.07341712758766751,7.1825,0.622008740901947
5,EML6,8.04977714457143,0.3113098245200819,-7.738467320051347,2.0365899375647034,0.1901447736475763,0.09336429005190217,7.72400015,0.26551422476768494
6,MMP20,4.236282857142857,0.15412906924171782,-4.08215378790114,2.5445667759671213,0.15232896312169875,0.05986439992866865,3.511,0.1060733050107956
7,KCCAT333,5.845891428571428,0.24590934485614202,-5.599982083715286,2.4599136203731002,0.20828494145728207,0.08467164852141884,5.6795,0.17327113449573517
8,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,7.902629982285715,0.2322161065542579,-7.670413875731457,2.180874522555295,0.1336083712277657,0.061263667325169614,7.79125,0.2076055258512497
9,RNF183,7.169879999999999,0.3623557640549349,-6.807524235945064,2.0511979761644663,0.15008846687144567,0.07317112663697924,7.0634999999999994,0.341546893119812
10,MYOCD,6.509229997428572,0.13970878348993487,-6.369521213938637,2.3262209980964688,0.08825745098641027,0.03794026924296134,6.12575,0.1210365816950798
11,UMODL1,4.415605714285714,0.13045333226638828,-4.2851523820193265,2.3624568749348924,0.11627447720793088,0.049217608347299595,4.0265,0.0993359237909317
12,CTAG2,4.961562862857143,0.22747079209897444,-4.734092070758169,2.1189280899507295,0.10230504536105509,0.048281508865850156,4.39725015,0.20446892082691193
13,IGK///IGKC,9.828502857142858,0.3827209448454253,-9.445781912297432,2.071983922214966,0.15540409183610396,0.07500255681037131,9.797,0.3583744764328003
14,LOC283454///HRK,5.089402857142857,0.16650791943048493,-4.922894937712372,2.3524094008279173,0.1425961487349179,0.06061706295032319,4.278,0.12019667774438858
15,RGS13,11.01579142857143,0.6317664177968536,-10.384025010774575,2.6905716693042594,0.2327417746113023,0.08650272255021765,11.864,0.7296522259712219
16,TCL1A,11.591855708285713,0.38093785396849367,-11.21091785431722,2.6133341031002852,0.20207040435479307,0.07732283603350609,12.46825,0.3680890202522278
