rank,gene,coupling_score,pool_index
1,ACTR8,0.1493956949234152,85
2,AP1S1,0.13121826236427056,222
3,AIMP2,0.1094170952505619,149
4,ACAA1,0.10725304355659626,53
5,ACY3,0.10280929344977739,89
6,ACP5,0.10026004316691778,69
7,APOBEC3F///APOBEC3G,0.09725571075692281,231
8,AKR1B1,0.09703723485425375,160
9,GGCX,0.094433586925305,12
10,ADAM22,0.09417048149365935,91
11,ANPEP,0.09303462335239629,214
12,ANP32B,0.09261154387105994,213
13,ANGEL2,0.0923361119068987,184
14,ABHD14A///ACY1,0.09117653494538906,47
15,ANOS1,0.09022653429386054,211
16,AIM1,0.08962446710525124,148
