variance_rank,gene,raw_training_variance
1,RPS4Y1,14.528325750994679
2,HLA-DQA1,13.00198646136717
3,LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1,12.883588319967252
4,EIF1AY,12.169306028391002
5,LOC100509457///HLA-DQA1,12.00088231320493
6,HLA-DQB1,11.464274897756855
7,MAGEA9B///MAGEA9,11.096880169332788
8,CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3,11.029185802831446
9,ORM1,10.989625024969301
10,UGT2B17,10.86480562440442
11,NLRP4,10.6370802642325
12,FDCSP,9.912860467302497
13,XIST,9.233456332209641
14,FSTL5,9.136174824690954
15,COL11A1,8.757512721088824
16,LTF,8.423472336013099
17,SPINK2,8.103546621072454
18,LINC00487,8.102038817101924
19,TRPM4,8.077399562636103
20,ORM2///ORM1,7.942690449477827
21,SNX29P1///SNX29P2,7.843603728047483
22,CHIT1,7.673297928980761
23,CCL22,7.661913711829717
24,MMP1,7.65363922966844
25,SERPINA9,7.606622458321736
26,EPCAM,7.597360032746623
27,C17orf99,7.558311239819894
28,IGKV1OR2-108,7.5237987142365945
29,NLRP11,7.388299503143675
30,AICDA,7.3333305366031265
31,TCL1B,7.326512798821122
32,NMU,7.304545582063038
33,NOL4,7.242764953008561
34,KDM5D,7.2421351414244794
35,RGS13,7.23917590766271
36,COMP,7.159587963978714
37,FAM30A,7.110034586502526
38,HTR3A,7.101324805289723
39,SFRP2,7.022828019368757
40,MT1M,6.983397898559149
41,LOC105375172,6.972075812599265
42,WFDC21P,6.91046209706099
43,ZBTB32,6.859013038264429
44,RAB25,6.835574866058125
45,TCL1A,6.829515134426973
46,DNER,6.807823482808023
47,HMCN1,6.792447271747852
48,MARCO,6.695415016037658
49,NLRP7,6.664154463602128
50,USP9Y,6.637187400226773
51,PKHD1L1,6.485704703307409
52,MMP20,6.4748200773557105
53,MIS18BP1,6.261499316160458
54,SOX2-OT,6.198499997879656
55,PRAME,6.149073489971347
56,MME,6.134666664656143
57,C7orf57,6.112136687679082
58,KCCAT333,6.0511750196970935
59,KRT14,5.977752641416291
60,C3orf67,5.912853661801065
61,CXCL14,5.90115412004912
62,SUGCT,5.87756544269341
63,TFPI2,5.86238882603389
64,LINC01021,5.814260243438396
65,LOC101930415,5.768052329439214
66,LOC101930114,5.730678429381907
67,DNAH8,5.673426366238232
68,NME8,5.656140696717152
69,LIN28B,5.607328556070406
70,LHX8,5.585479630167827
71,IL17RB,5.582992926270977
72,UMODL1,5.581202485927139
73,LOC101929141///CCDC144CP///CCDC144B///CCDC144A,5.552729789283668
74,LOC283454///HRK,5.533829989103562
75,NPY1R,5.517458219639787
76,CTAG1A///CTAG1B,5.509760585550553
77,COL9A3,5.487638482717969
78,GPAT2,5.479729481629144
79,MAGEB1,5.464371569455588
80,PNMAL1,5.454163411575932
81,MYOCD,5.411304131984931
82,XK,5.385137601309865
83,PXDNL,5.332724147327057
84,HIST1H1B,5.2925731385673345
85,NCKAP5,5.287519478706508
86,MUC16,5.2197080801964795
87,IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH,5.203643659304134
88,KRT6A,5.199646145525993
89,VSIG4,5.198297336848138
90,CCL17,5.19278305522718
91,CCL21,5.181366804781007
92,PTPN20,5.172813179238641
93,ZIC2,5.167652192591077
94,LOC613266,5.1509506916823575
95,FCRL4,5.124407855006139
96,FAR2P3///FAR2P2,5.115005950880066
97,LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH,5.109894094547688
98,LILRA4,5.098267224723701
99,GJB2,5.093926052689316
100,LOC102724689,5.069243076946377
101,CRNDE,5.061747250403009
102,GOLIM4,5.043994825779778
103,CPXM1,5.041192338935735
104,KCNK12,5.039392868186656
105,TXLNGY,5.0348507801964795
106,AP3D1,5.023658708505936
107,OVAAL,5.015554382390503
108,GPM6A,5.002586836258699
109,CCR10,4.996909280597626
110,EPYC,4.993169489652067
111,H2AFB1///H2AFB2///H2AFB3,4.976100721416291
112,GTSF1,4.95068704523946
113,MGST1,4.9503522147851005
114,TRIM59///IFT80,4.916981940106426
115,SOX8,4.908511436299632
116,LYPD6B,4.905403425468687
117,LILRA3,4.858216479942693
118,JCHAIN,4.846334594261154
119,MMP7,4.7893942195988535
120,HEPACAM2,4.779348177003684
121,P2RY12,4.776142364138836
122,STXBP6,4.774834518502923
123,EYA2,4.76973609008596
124,MAL2,4.763803224109702
125,LOC101927811,4.759154376103152
126,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,4.756213683130785
127,ZNF385B,4.755706624224314
128,LOC440864///MSH6,4.735731030937372
129,SMC3,4.704560688190431
130,MAGEA6///MAGEA3,4.692531447204257
131,PABPC5,4.6729137015472775
132,MMP3,4.665589813581661
133,TNFRSF17,4.663407856733524
134,LOC100130744,4.653607484109701
135,ASMT,4.652469719690578
136,HK3,4.645002402169464
137,VPREB3,4.639357611043799
138,KRT5,4.632715398845682
139,IL22RA2,4.62634637740483
140,C4orf22,4.622311897044618
141,S100A8,4.600399232763459
142,FCGR3B///FCGR3A,4.599029354433074
143,AQP9,4.58681730479738
144,LINC00877,4.579095615726565
145,STAG3,4.561597201874744
146,ASB5,4.546272670126893
147,CILP,4.543959614408514
148,HIST1H3B,4.50567108731887
149,ADIRF,4.503468130830946
150,CTAG2,4.489856250382246
151,PPBP,4.474667959066722
152,MAGEA1,4.470126652836677
153,LOC101929272,4.469349138837495
154,CLGN,4.466259573057716
155,SUSD5,4.464423750994679
156,ZPBP2,4.456746531060172
157,LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1,4.456744763200983
158,CAMP,4.452341354637741
159,RASSF6,4.45014051228817
160,PITX1,4.448610430730646
161,CTTNBP2,4.442390281260744
162,IGLJ3///CKAP2,4.434450121170692
163,SFRP4,4.4325080980171325
164,C15orf48,4.430842193205075
165,WISP2,4.430297028808842
166,ICOS,4.403166038837496
167,MAGEA6,4.402030603200982
168,MYOT,4.397012446467458
169,ZYG11A,4.385367424682767
170,PDGFRL,4.371958966844044
171,SACS-AS1,4.367352691291029
172,RSPH1,4.3612202130495294
173,LRP1B,4.35873538531314
174,MAGEB2,4.356342646099058
175,SDR16C5,4.355887330200573
176,SYT17,4.342352506776619
177,S100Z,4.306730024690954
178,LINC01102,4.3010996758166185
179,IGK///IGKC,4.2931173739173145
180,PROK2,4.274913878837495
181,PCSK1,4.268528411788784
182,CCDC110,4.267732601399918
183,SCARA5,4.262265850683587
184,OLFM4,4.262143176103152
185,HLF,4.253490258894802
186,LRRN1,4.250687510511666
187,LMO2,4.245759340502935
188,MMP12,4.231488005435939
189,LOC105372840,4.223586122505116
190,KCNH8,4.207801717363896
191,RNF183,4.207413137421203
192,LGSN,4.197794363520262
193,FCER2,4.186815094680632
194,ASZ1,4.185690384519034
195,UBASH3A,4.184496286729431
196,BEX2,4.18390755013508
197,SFTA3,4.183248490511667
198,MFAP4,4.1786422025051175
199,FCAMR,4.171629433679902
200,CTCFL,4.171240275857552
201,KLRC2///KLRC1,4.162847957560376
202,CXCL6,4.1515172634056485
203,EML6,4.147698573789803
204,ZNF711,4.147024726264909
205,DAPL1,4.141166028235776
206,ARL14,4.140479204167008
207,FAM111B,4.137886160900339
208,KCNN3,4.137747980553614
209,KRT13,4.135034074465821
210,ZNF257,4.134942630077774
211,HAGLROS,4.123714616487924
212,LEP,4.112443790822758
213,MATN3,4.104729974826033
214,C1QA,4.098589443995088
215,FAM129C,4.090427759811708
216,STEAP2,4.086169701187065
217,EPHA4,4.073875675063447
218,SPIC,4.060448050994679
219,PSMA8,4.05036440704871
220,HPDL,4.049084479418748
221,SPRR1B,4.046027623937781
222,LGALS2,4.043574495816619
223,CD74,4.0371062295620135
224,KLHL13,4.036665521285306
225,CCL20,4.034536198739255
226,CENPV,4.02027504726975
227,FAM167A-AS1,4.0131976113385175
228,FABP4,4.0125011542904625
229,ZNF883,4.012239818616456
230,CD163,4.0098558956119525
231,BIK,4.0089713379042164
232,PLA2G2A,4.000547645427753
233,UHMK1,3.993574771920162
234,LOC101930067,3.990085759934506
235,ABCG5,3.983763302857143
236,CLIP2,3.982011655415473
237,IGHV1-69,3.981349546459272
238,HSF5,3.971832712762996
239,NPIPA5///NPIPB6///NPIPB8///NPIPB3,3.970016141539091
240,LOC100653057///CES1,3.9678954353254197
241,LINC01268,3.963733899508801
242,CETP,3.950797059590667
243,SAXO2,3.946848689160868
