fold,model,rank,gene,coupling_score,global_gene_column
1,REAL,1,C4orf22,0.1173381823387221,2098
1,REAL,2,PRKAR2B,0.11257975402715456,15706
1,REAL,3,C5orf30,0.109270010345378,2116
1,REAL,4,PCM1,0.10551052120820092,14709
1,REAL,5,ARHGAP25,0.1027281941427281,964
1,REAL,6,DUSP14,0.09784319814442462,4803
1,REAL,7,ANKRD13C,0.09782255594128224,709
1,REAL,8,GNG7,0.09772222068549478,6725
1,REAL,9,ADTRP,0.0942196979769347,404
1,REAL,10,BCKDHB,0.094032897895831,1497
1,REAL,11,CAMK2B,0.09266281663672658,2323
1,REAL,12,HIBADH,0.09034905838928278,7336
1,REAL,13,BSPRY,0.08940128591338595,1714
1,REAL,14,MSANTD2,0.08914776702414243,13085
1,REAL,15,SEC22A,0.08894983621318242,17333
1,REAL,16,ANKRD34A,0.08889648297199836,737
1,REAL,17,SELO,0.08861068897138795,17365
1,REAL,18,HN1,0.08852738857773754,7487
1,REAL,19,AMFR,0.08769183706346197,641
1,REAL,20,ZNF184,0.08703488970242036,21613
1,REAL,21,BBS5,0.08648921406303181,1475
1,REAL,22,KDM7A,0.08605609049141397,8526
1,REAL,23,FAM167A-AS1,0.08531194053683254,5524
1,REAL,24,DARS2,0.08502078105364519,4159
1,REAL,25,NDC80,0.0846153499229164,13517
1,REAL,26,C11orf57,0.08423052583394064,1803
1,REAL,27,PIEZO2,0.08410786552112214,15020
1,REAL,28,MIR6125///USP15,0.08403538801514324,12724
1,REAL,29,POLR3A,0.08332938125447752,15403
1,REAL,30,SH3GLB1,0.08323902484191127,17595
1,REAL,31,C1orf123,0.08311069500020553,1974
1,REAL,32,OR1A1,0.08274177829902571,14265
1,REAL,33,C1QB,0.08110627772505706,1945
1,REAL,34,LOC100506235,0.08067100442935396,10066
1,REAL,35,HGSNAT,0.08064336910178578,7324
1,REAL,36,FAM60A,0.08036749776249386,5671
1,REAL,37,IRF7,0.0799198973382065,8196
1,REAL,38,PARP4,0.0798003030255401,14579
1,REAL,39,TMEM176A,0.07977781539530893,19753
1,REAL,40,ARFGAP3,0.07964018013184888,941
