fold,real_auc,mean_null_auc,delta_auc,empirical_p_auc_one_sided,real_balanced_accuracy,mean_null_balanced_accuracy,delta_balanced_accuracy,real_topP_abs_fraction,mean_null_topP_abs_fraction,delta_topP_abs_fraction,empirical_p_spectral_one_sided,fold_runtime_seconds
1,0.9533169533169533,0.8471662571662572,0.10615069615069617,0.024875621890547265,0.8988533988533989,0.7700859950859951,0.1287674037674038,0.34421880816646466,0.31895781812522034,0.025260990041244324,0.004975124378109453,3.0678496000473388
2,0.9115479115479116,0.8684930384930385,0.0430548730548731,0.43781094527363185,0.8112203112203112,0.7868447993447992,0.024375511875512013,0.30937896968208567,0.30381855136662744,0.0055604183154582265,0.1691542288557214,3.102075800008606
3,0.8361998361998362,0.7909336609336609,0.04526617526617527,0.31840796019900497,0.8042588042588042,0.7146478296478296,0.08961097461097467,0.3376057274223555,0.3133794373265509,0.024226290095804626,0.004975124378109453,3.0143017999944277
4,0.9501633986928104,0.8291380718954248,0.12102532679738565,0.029850746268656716,0.8431372549019608,0.7523488562091504,0.09078839869281041,0.32218584308770626,0.3048734187270943,0.017312424360611978,0.004975124378109453,3.026065199985169
5,0.9354575163398693,0.7905678104575162,0.14488970588235306,0.009950248756218905,0.8431372549019608,0.7107352941176471,0.13240196078431365,0.3395087246981569,0.3200108974289999,0.019497827269156998,0.004975124378109453,2.978006199991796
6,0.8468468468468469,0.7753562653562653,0.07149058149058152,0.11940298507462686,0.7588042588042587,0.711883701883702,0.046920556920556744,0.32729861649210124,0.30922127657857706,0.01807733991352417,0.004975124378109453,3.0239602000219747
7,0.9467649467649468,0.8546437346437347,0.09212121212121216,0.04477611940298507,0.8820638820638821,0.7778112203112204,0.10425266175266168,0.3291064981599198,0.3141793182133091,0.014927179946610747,0.004975124378109453,2.9660876000416465
8,0.8304668304668305,0.821895986895987,0.008570843570843478,0.5472636815920398,0.7149877149877151,0.7487448812448813,-0.03375716625716618,0.33373346097631135,0.31277292329895595,0.020960537677355395,0.004975124378109453,3.0111643000273034
9,0.9240196078431372,0.8364379084967319,0.08758169934640525,0.0945273631840796,0.8848039215686274,0.759656862745098,0.1251470588235294,0.32009711679506025,0.3088905134516264,0.011206603343433874,0.03980099502487562,2.959228100022301
10,0.8366013071895425,0.799812091503268,0.03678921568627447,0.31343283582089554,0.7426470588235294,0.7275490196078431,0.01509803921568631,0.3290342242344695,0.3066470850971816,0.022387139137287904,0.004975124378109453,2.9557159999967553
11,0.7633087633087633,0.802002457002457,-0.03869369369369369,0.7064676616915423,0.6441441441441441,0.7273628173628174,-0.08321867321867327,0.33637394321963215,0.31600735456263956,0.02036658865699259,0.009950248756218905,2.9439377000089735
12,0.9025389025389026,0.8267690417690418,0.07576986076986081,0.1791044776119403,0.8415233415233416,0.7548218673218673,0.08670147420147434,0.3297972460965376,0.30986822278184106,0.019929023314696537,0.009950248756218905,2.982434600009583
13,0.8730548730548731,0.7944348894348895,0.07861998361998357,0.22388059701492538,0.7940212940212941,0.7233128583128584,0.07070843570843566,0.3329153690631685,0.313774539964626,0.019140829098542478,0.004975124378109453,3.0217598999734037
14,0.9117647058823529,0.8041666666666666,0.10759803921568634,0.15920398009950248,0.8423202614379085,0.7309967320261438,0.11132352941176471,0.3224740116262282,0.30747357225720023,0.015000439369027951,0.004975124378109453,3.037291600019671
15,0.8382352941176471,0.8286070261437908,0.009628267973856297,0.48756218905472637,0.7720588235294117,0.7541339869281045,0.01792483660130717,0.33037976861036267,0.3142578859430493,0.016121882667313348,0.004975124378109453,2.9990448000025935
