fold,real_auc,mean_null_auc,delta_auc,empirical_p_auc_one_sided,real_balanced_accuracy,mean_null_balanced_accuracy,delta_balanced_accuracy,real_topP_abs_fraction,mean_null_topP_abs_fraction,delta_topP_abs_fraction,fold_runtime_seconds
1,0.9696969696969697,0.835020475020475,0.13467649467649467,0.01990049751243781,0.9275184275184275,0.7560257985257985,0.17149262899262896,0.35406791843323165,0.32356463455112916,0.030503283882102494,3.0119390999898314
2,0.8730548730548731,0.79003276003276,0.08302211302211304,0.15422885572139303,0.7977067977067978,0.7130282555282556,0.0846785421785422,0.344229160885792,0.3173486320295448,0.0268805288562472,2.8985898999962956
3,0.9328419328419328,0.7752743652743653,0.1575675675675675,0.01990049751243781,0.8853398853398853,0.7102129402129402,0.17512694512694504,0.3587354079528828,0.32593842556976205,0.03279698238312073,3.1620782999671064
4,0.9419934640522876,0.803312908496732,0.13868055555555558,0.009950248756218905,0.8431372549019608,0.7299632352941177,0.11317401960784312,0.3520351124928005,0.32196327478167935,0.030071837711121152,2.9482688000425696
5,0.8700980392156863,0.7783905228758169,0.0917075163398694,0.14427860696517414,0.7843137254901962,0.7094934640522876,0.07482026143790854,0.3593740522544512,0.323547093668322,0.035826958586129165,3.03825769998366
6,0.8877968877968878,0.7604054054054055,0.12739148239148235,0.05472636815920398,0.8128583128583129,0.6907637182637183,0.1220945945945946,0.3501638082405677,0.3221980273460302,0.027965780894537495,3.167416999989655
7,0.8124488124488125,0.7927027027027026,0.019746109746109908,0.44776119402985076,0.773955773955774,0.7188718263718263,0.055083947583947634,0.3555692089439678,0.3259281153578293,0.029641093586138534,3.04769259999739
8,0.904995904995905,0.776932841932842,0.12806306306306303,0.05472636815920398,0.8296478296478297,0.7126146601146601,0.11703316953316956,0.34964060523409596,0.3214488641073753,0.028191741126720682,3.1338107000337914
9,0.8978758169934641,0.7952777777777778,0.10259803921568633,0.0845771144278607,0.8423202614379085,0.7225939542483661,0.11972630718954236,0.35508962477803335,0.3244357176973219,0.030653907080711473,3.1592721000197344
10,0.9305555555555556,0.8143218954248366,0.11623366013071901,0.03482587064676617,0.8717320261437909,0.7407516339869281,0.13098039215686275,0.3542475316723069,0.32394564083122745,0.030301890841079426,3.0522532999748364
11,0.8779688779688779,0.7850245700245699,0.09294430794430797,0.13432835820895522,0.7571662571662572,0.7110380835380836,0.04612817362817356,0.3558644061246049,0.3235721325541916,0.03229227357041331,2.897682899958454
12,0.9303849303849304,0.7949303849303848,0.1354545454545456,0.029850746268656716,0.8837018837018837,0.7188820638820639,0.16481981981981986,0.3541626455030018,0.32496633210894066,0.029196313394061146,2.9078312999918126
13,0.9205569205569205,0.8425143325143325,0.07804258804258801,0.11442786069651742,0.7891072891072891,0.7633517608517608,0.025755528255528293,0.35230114175428756,0.3228696852403539,0.02943145651393364,2.913054700009525
14,0.9632352941176471,0.7722753267973856,0.19095996732026144,0.004975124378109453,0.9133986928104575,0.7042320261437908,0.20916666666666672,0.35233547482394034,0.3245297748271866,0.027805699996753752,3.0908671999932267
15,0.9101307189542484,0.7738071895424836,0.13632352941176473,0.05970149253731343,0.8120915032679739,0.7070833333333333,0.10500816993464057,0.3495089752425188,0.3213635446851351,0.028145430557383666,2.928719200019259
