fold,softspaces_rank,gene,raw_training_variance,coupling_score,global_gene_column
1,1,SPIC,4.080874458320533,0.10963171249173577,18574
1,2,DNER,6.887009028110601,0.10959857913349344,4628
1,3,LILRA3,4.681899585650278,0.10382311506730098,9124
1,4,TCL1A,6.791420734412684,0.09887842060859128,19306
1,5,DNAH8,5.492958623195082,0.09740316744059674,4566
1,6,LOC105375172,6.761725146902206,0.09650624073794956,11268
1,7,EPHB1,3.899171076856119,0.0958794524570518,5201
1,8,RGS13,7.892628935368665,0.09577660055050205,16574
1,9,ITIH3,3.948009591282642,0.09541784727136711,8267
1,10,UMODL1,5.490424780286736,0.09200452837847438,20766
1,11,MYOCD,5.5235425076240725,0.09066341558391461,13322
1,12,C17orf99,7.395648869418841,0.08727461788573088,1912
1,13,JCHAIN,4.907530802406553,0.08713565876335921,8321
1,14,BIK,4.084269048015871,0.08634882975909207,1577
1,15,LOC105372840,4.018395768765999,0.08532214834775229,11232
1,16,SYT17,4.158453909563988,0.0845529535467946,19069
2,1,TCL1A,6.710804805723651,0.10161761059685345,19306
2,2,DNER,6.252689032245267,0.09834328899325845,4628
2,3,IL12B,3.9385272472606263,0.09752796386232152,7966
2,4,P2RY12,4.583914534478213,0.09480718274224148,14455
2,5,KCCAT333,6.13137203686636,0.09394395790142303,8381
2,6,HTR3A,7.0289510294848245,0.09104487556047472,7715
2,7,NPIPA5///NPIPB6///NPIPB8///NPIPB3,4.07884659701741,0.09008968308536208,13898
2,8,HLF,4.487694609203786,0.08951923928697435,7447
2,9,ASZ1,3.993934349001541,0.0875868570265264,1190
2,10,LRRN1,4.061233590770607,0.087208356996102,11947
2,11,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,4.586831027035648,0.08672075776140567,7924
2,12,WFDC21P,6.914693247107014,0.08638594981438583,21175
2,13,RGS13,7.0206483870839715,0.0861533729451421,16574
2,14,LOC105375172,7.088491860099844,0.08557653183840076,11268
2,15,IGK///IGKC,4.377034751651303,0.08537636716344377,7916
2,16,EYA2,4.5883674837557615,0.08433957921144462,5394
3,1,GPM6A,5.164635152278547,0.0940971565545997,6824
3,2,KRT5,4.754001266973886,0.0926371450897433,8852
3,3,KCCAT333,6.284600974897592,0.09243590654345828,8381
3,4,SPIC,4.165963915565796,0.09196457231191223,18574
3,5,DNER,7.213867848425497,0.0912762796724661,4628
3,6,HTR3A,6.995773449955576,0.09020440391254551,7715
3,7,HEPACAM2,4.786024331169994,0.08959043211057532,7287
3,8,MUC16,5.227044104339477,0.08798228403973077,13198
3,9,UMODL1,5.293574596402971,0.08592853243278771,20766
3,10,RNF183,4.008429021902203,0.08561298014566028,16755
3,11,LOC283454///HRK,5.143859991282642,0.08541682758498298,11430
3,12,NMU,7.4093144444316446,0.0836825717438032,13805
3,13,CCL21,5.302833518369176,0.08279766425418077,2644
3,14,MYOCD,4.931499563077598,0.08278622600646476,13322
3,15,RGS13,6.81012169810548,0.0824119737369997,16574
3,16,MME,6.200202361791337,0.08161773369559212,12840
4,1,DNER,6.904260858154122,0.09818009675506548,4628
4,2,KCCAT333,6.165516213773683,0.09704651034219129,8381
4,3,EML6,4.351063617599674,0.09451545593574945,5118
4,4,UGT2B17,10.838594323809524,0.09271062650227872,20746
4,5,SPIC,4.037512064503328,0.091423955373806,18574
4,6,UMODL1,5.725835270404506,0.09113657068925422,20766
4,7,RNF183,4.226600049718381,0.09075338526221681,16755
4,8,MMP13,4.064615912941625,0.08852352607126275,12847
4,9,LOC283454///HRK,5.803380141884283,0.08659116522399625,11430
4,10,DNAH8,5.779297790629801,0.08644740018920422,4566
4,11,HEPACAM2,4.769239701945725,0.0848300776726674,7287
4,12,FDCSP,10.46325824782386,0.08440641002700859,5876
4,13,ORM1,10.832362642652326,0.0836540450006598,14368
4,14,MYOCD,5.784397181405146,0.08308354162691789,13322
4,15,ORM2///ORM1,7.601357277697311,0.08287805919857298,14369
4,16,KRT5,5.186670148476704,0.08209582347063954,8852
5,1,NPIPA5///NPIPB6///NPIPB8///NPIPB3,3.9964970123399883,0.09742764177499813,13898
5,2,ZNF711,3.9931893885276333,0.09732635235634333,21985
5,3,SPIC,4.055595915565795,0.09564055282323675,18574
5,4,LOC283454///HRK,5.481423926766513,0.09352158714864388,11430
5,5,UMODL1,5.39916523456221,0.09129748129505537,20766
5,6,MMP20,6.748337279006656,0.09008139261544604,12854
5,7,BIK,3.994703553302608,0.08936931259853322,1577
5,8,EML6,4.291758630400945,0.0887612896048668,5118
5,9,DNER,6.760359369162826,0.08869444293760631,4628
5,10,RGS13,7.218859003379425,0.08837834945511767,16574
5,11,BEX2,3.9886387554403506,0.08774367249795814,1553
5,12,NOL4,7.5680155634401824,0.0868967091617922,13828
5,13,MYOCD,5.313198804369417,0.08656291196997097,13322
5,14,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,4.929401149112148,0.08545513511830782,7924
5,15,HEPACAM2,5.055076529390678,0.08535317856609742,7287
5,16,TCL1B,7.262808875780855,0.08358809787029135,19307
6,1,DNER,7.463281951344084,0.09804779311845155,4628
6,2,LOC105375172,6.7766728851894555,0.09758075873045435,11268
6,3,SYT17,4.415463889580209,0.09646984428808418,19069
6,4,UMODL1,5.752025520942142,0.09593011358249054,20766
6,5,HEPACAM2,4.63804528090118,0.09508794109586828,7287
6,6,GPM6A,5.086095114682538,0.09090305863117316,6824
6,7,IL12B,3.9757482871351755,0.09060771082409716,7966
6,8,NPIPA5///NPIPB6///NPIPB8///NPIPB3,4.309389655862771,0.0894454925645008,13898
6,9,KCCAT333,5.638282497887862,0.08779349195964001,8381
6,10,PROK2,4.250473738236048,0.08776216020564508,15766
6,11,LILRA4,5.004096146838198,0.08690513235537091,9125
6,12,TRPM4,7.953674689592934,0.08518415745818626,20330
6,13,MYOCD,5.354196396296202,0.08476122007384682,13322
6,14,C17orf99,7.668226485202254,0.084494524244104,1912
6,15,HLF,4.352516176702506,0.08434012011352697,7447
6,16,FDCSP,9.58480673874808,0.08431067096790353,5876
7,1,KRT5,4.971364352841783,0.10662044662968219,8852
7,2,NPIPA5///NPIPB6///NPIPB8///NPIPB3,4.035400636648747,0.10412566244698186,13898
7,3,IGK///IGKC,4.296415523694314,0.1040251003018727,7916
7,4,DNER,6.806582897081412,0.09631154795475406,4628
7,5,MMP20,7.055115804608302,0.09464594777330557,12854
7,6,RASSF6,4.3944258018305185,0.09421414636388915,16354
7,7,TCL1B,7.3560621562212,0.09363119823960601,19307
7,8,TCL1A,6.882371740481665,0.09029962336462234,19306
7,9,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,4.883278894950638,0.08529392580182685,7924
7,10,KRT6A,5.28974602846902,0.08513696813616041,8853
7,11,HEPACAM2,4.668526765745007,0.0840919280521681,7287
7,12,RGS13,7.201307496044547,0.08405820144942719,16574
7,13,ASZ1,4.190746061328725,0.08341901814419028,1190
7,14,KRT13,4.17522648068356,0.08338748225136253,8825
7,15,NLRP7,6.750318295954943,0.08310063406401179,13779
7,16,BIK,4.197516938031234,0.08156042917746677,1577
8,1,SPIC,3.888681050435228,0.11892649547588266,18574
8,2,DNER,6.719786445967742,0.10138885733690492,4628
8,3,ASZ1,4.42154853373016,0.09951631476129692,1190
8,4,KCCAT333,6.632374579301073,0.09583407342150878,8381
8,5,NLRP7,6.753813758819763,0.09528083561222586,13779
8,6,EML6,4.140823065177094,0.09440777585166893,5118
8,7,TCL1B,7.31038608959293,0.09203495058699572,19307
8,8,RGS13,7.240322162007171,0.0899133246288237,16574
8,9,C12orf77,4.0434960957373285,0.08857774812703573,1841
8,10,GJB2,4.924136760253456,0.0878583893224118,6600
8,11,MMP20,6.081407046390174,0.08693646272550765,12854
8,12,EYA2,4.713894753392218,0.08584629743099077,5394
8,13,BIK,4.310955325844854,0.08580455889528728,1577
8,14,ORM2///ORM1,7.569029114923906,0.08449526770618856,14369
8,15,MARCO,6.66112515284178,0.08341821930144278,12258
8,16,RASSF6,4.305569117242706,0.08286215132850794,16354
9,1,DNAH8,5.605074153289812,0.09791529086444724,4566
9,2,EML6,4.0955184764169195,0.09343290582057695,5118
9,3,MYOCD,5.499265846180587,0.09318287493698002,13322
9,4,LOC105375172,7.040105178174604,0.09221263731202993,11268
9,5,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,4.952024323696829,0.09177057790609301,7924
9,6,SPIC,4.153273042293906,0.09109821536479559,18574
9,7,LOC283454///HRK,5.535795138965691,0.09045265133327704,11430
9,8,DNER,6.333394946223758,0.0902867158141542,4628
9,9,KCCAT333,6.072592383499744,0.08985003469678464,8381
9,10,UMODL1,5.55865071294163,0.08981669167874325,20766
9,11,HTR3A,7.060504961252543,0.0890118510856647,7715
9,12,TCL1B,7.778797548783919,0.08896796789069408,19307
