resample,n_samples,n_gcb,n_abc,overlap_fraction_with_frozen16,panel,null_panel,coupling_mean,coupling_median,coupling_max,topP_abs_fraction
0,280,146,134,0.25,KRT6A|LOC283454///HRK|ZNF711|DNAH8|FCER2|NMU|BIK|MMP3|DNER|KCCAT333|CENPV|UMODL1|JCHAIN|FAR2P3///FAR2P2|MUC16|LYPD6B,FCRL4|NTS|CTAG2|PSMA8|HMGN2P46|TXLNGY|CCR10|CEP290|CILP|GPM6A|LRP1B|ZNF876P|PKHD1L1|MT1M|PTPN20|AICDA,0.05826922227662716,0.05694344449796061,0.10991232680313337,0.39082050159562787
1,280,146,134,0.1875,UMODL1|CCL17|KRT5|RPS4Y1|MMP20|SOST|NOL4|PRAME|RGS13|LOC101929272|AICDA|EIF1AY|XIST|TXLNGY|HTR3A|MMP3,C2CD4A|LYPD6B|HLF|LINC01527|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|C7orf57|TRIM59///IFT80|KCNH8|FAR2P3///FAR2P2|STEAP2|GTSF1|CCL22|COL10A1|CLIP2|LOC105375172|MAGEA6///MAGEA3,0.058274229150178936,0.05642728928104271,0.10954711211701289,0.4211852040333385
2,280,146,134,0.375,DNAH8|LOC283454///HRK|TCL1B|UMODL1|MYH1|NCKAP5|MYOCD|C4orf22|MMP20|KRT14|BTBD16|SPRR1B|SPIC|C3orf67|AICDA|HLF,CYS1|IGLJ3///CKAP2|IL12B|SNX29P1///SNX29P2|UMODL1|SULF1|H2AFB1///H2AFB2///H2AFB3|SCARA5|LTF|ZNF385B|NMU|MYH1|MATN3|KRT14|LOC100130744|NLRP11,0.05826403956934141,0.05574026330192365,0.11705869415155705,0.4058608199756108
3,280,146,134,0.25,DNER|MMP12|MAGEA6///MAGEA3|LOC105375172|EPHB1|MYOCD|BTBD16|CSRP3|TCL1A|FCRL4|CENPV|RASSF6|MUC16|UMODL1|PLA2G2D|UBASH3A,NLRP11|P2RY12|COL9A3|ZYG11A|STEAP2|MARCO|IGLJ3///CKAP2|COL11A1|SFRP2|ZNF711|LRRN1|PCSK1|PLA2G2D|RGS13|GOLIM4|MT1M,0.058295820861148935,0.05547590548246222,0.09532734619346893,0.4101583025648077
4,280,146,134,0.375,TCL1A|ARNT2|MYOCD|LOC101930067|SNX29P1///SNX29P2|HAGLROS|LOC283454///HRK|TCL1B|LOC100506405|DNER|NLRP11|SH3GL2|NPIPA5///NPIPB6///NPIPB8///NPIPB3|IGHD|BEX2|HLF,IGK///IGKC|HLA-DQB1|MAMDC4|MFAP4|ICOS|LOC440864///MSH6|MIS18BP1|TNFRSF17|NLRP11|CPLX1|UBASH3A|OVAAL|CTTNBP2|PDGFRL|RPS4Y1|FAM30A,0.05829908522028529,0.057757915339704556,0.10153111271097673,0.39151782036369176
5,280,146,134,0.25,PDZRN4|MMP20|LOC613266|ZNF711|PROK2|BIK|ZNF385B|FSTL5|MYOCD|HTR3A|KCCAT333|HEPACAM2|SYT17|EML6|LOC101928173|HBB,LEP|SOX2-OT|PDZRN4|RGL4|SACS-AS1|COMP|CD74|MT1M|LINC00877|ABCG5|PROK2|MAGEA1|LINC01021|SPINK2|LILRA3|EPCAM,0.05826579869674024,0.05701254157077674,0.10397275514251106,0.3849877614068233
6,280,146,134,0.25,RGS13|UMODL1|HEPACAM2|MUC16|IGHD|TCL1A|DNER|JCHAIN|LINC00996|KCNN3|IL12B|LOC613266|DNAH8|NMU|MT1M|CENPV,LINC00487|CTAG1A///CTAG1B|GOLIM4|ANKRD36BP2|LIN28B|C17orf99|LINC01021|EPYC|FAM30A|MMP20|LOC440864///MSH6|HIST1H1B|COMP|CAMP|LOC100130744|CRNDE,0.05829908660967713,0.05689127051575554,0.10440473581099065,0.39838413815607554
7,280,146,134,0.25,UMODL1|MMP20|UGT2B17|MMP12|LIN28B|LOC105375172|LYPD6B|MLC1|KCCAT333|NLRP7|RGS13|MMP13|ZNF711|CSAG2///CSAG3|SACS-AS1|PROK2,DNER|TCL1A|NPY1R|RNF183|C1QA|CD1C|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|PITX1|ZYG11A|TFPI2|XIST|MLC1|SFRP2|CTAG2|HAGLROS|GPAT2,0.05825492403722192,0.05776976984068401,0.12146598640824027,0.3912694088194789
8,280,146,134,0.3125,LOC613266|KCCAT333|MYBPC1|UGT2B17|PROK2|DNAH8|CCL21|MYOCD|UMODL1|EYA2|IGKV1OR2-108|TCL1A|ASZ1|DHRS9|GPM6A|MMP20,CCL22|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|MT1M|TXLNGY|IGHD|BEX2|LOC283454///HRK|MFAP4|CRYBA4|DAPL1|EYA2|UGT2B17|HTN3|MME|AICDA|SDR16C5,0.0582901524435069,0.05744298897561578,0.10195105087758817,0.4153235051050133
9,280,146,134,0.3125,NMU|CCL17|PITX1|FAR2P3///FAR2P2|MYOCD|RGS13|MMP20|UMODL1|LGSN|GPAT3|LOC613266|ZNF711|BEX2|HTR3A|SPIC|SYT17,COL11A1|IL13RA2|UHMK1|MARCO|SMC3|CCDC110|NLRP7|LINC01405|CRYBA4|PNMAL1|ICOS|RPS4Y1|AP3D1|C4orf22|C7orf57|LIN28B,0.0582888236955372,0.056655438933371494,0.10434340239637667,0.3838916113432718
