gene,selection_count,selection_frequency,variance_pool_count,variance_pool_frequency,in_frozen_16
UMODL1,213,0.426,500,1.0,True
TCL1A,198,0.396,500,1.0,True
DNER,191,0.382,500,1.0,True
LOC283454///HRK,161,0.322,500,1.0,True
DNAH8,146,0.292,500,1.0,False
RGS13,141,0.282,500,1.0,True
MMP20,134,0.268,500,1.0,True
HTR3A,127,0.254,500,1.0,False
KCCAT333,121,0.242,500,1.0,True
MYOCD,120,0.24,499,0.998,True
EML6,110,0.22,372,0.744,True
SPIC,104,0.208,306,0.612,True
TCL1B,102,0.204,500,1.0,True
JCHAIN,97,0.194,494,0.988,False
HLF,96,0.192,390,0.78,False
MUC16,91,0.182,494,0.988,False
SYT17,86,0.172,464,0.928,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,85,0.17,493,0.986,True
EYA2,83,0.166,500,1.0,False
ZNF711,80,0.16,381,0.762,False
LOC105375172,78,0.156,500,1.0,False
BIK,78,0.156,290,0.58,False
MYOT,71,0.142,386,0.772,False
FCER2,69,0.138,341,0.682,False
RASSF6,68,0.136,480,0.96,False
ASZ1,68,0.136,373,0.746,False
CCL17,66,0.132,497,0.994,False
BTBD16,63,0.126,121,0.242,False
LOC613266,62,0.124,500,1.0,False
MMP3,62,0.124,452,0.904,False
KRT14,61,0.122,488,0.976,False
UGT2B17,60,0.12,500,1.0,False
NOL4,57,0.114,500,1.0,False
RNF183,54,0.108,407,0.814,True
NMU,53,0.106,500,1.0,False
PNMAL1,53,0.106,500,1.0,False
MMP13,53,0.106,149,0.298,False
KRT5,52,0.104,454,0.908,False
LOC105372840,52,0.104,391,0.782,False
LILRA3,51,0.102,497,0.994,False
HEPACAM2,51,0.102,490,0.98,False
KRT6A,49,0.098,466,0.932,False
ASB5,48,0.096,448,0.896,False
CSRP3,48,0.096,68,0.136,False
SMPX,47,0.094,176,0.352,False
EPHB1,46,0.092,243,0.486,False
CCDC110,45,0.09,447,0.894,False
IGK///IGKC,43,0.086,459,0.918,True
IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH,41,0.082,500,1.0,False
FDCSP,40,0.08,500,1.0,False
LILRA4,40,0.08,498,0.996,False
FAM167A-AS1,40,0.08,268,0.536,False
ITIH3,40,0.08,198,0.396,False
GPM6A,39,0.078,500,1.0,False
PITX1,39,0.078,487,0.974,False
CAMP,39,0.078,462,0.924,False
MYL2,39,0.078,93,0.186,False
CPXM1,38,0.076,500,1.0,False
LOC101930114,38,0.076,500,1.0,False
LOC101929272,38,0.076,445,0.89,False
CENPV,38,0.076,300,0.6,False
C17orf99,37,0.074,500,1.0,False
CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3,37,0.074,500,1.0,False
