frozen_gene,replacement_rank,replacement_gene,count,frequency,mean_abs_correlation_when_best,exact_same_gene
DNER,1,DNER,191,0.382,1.0,True
DNER,2,MMP20,86,0.172,0.36703119473212104,False
DNER,3,SYT17,22,0.044,0.26957311089469904,False
DNER,4,LOC613266,20,0.04,0.2899972778082367,False
DNER,5,SDR16C5,13,0.026,0.2791806115551426,False
DNER,6,P2RY12,10,0.02,0.3309197050513215,False
DNER,7,HTR3A,10,0.02,0.20847775479927272,False
DNER,8,GPM6A,8,0.016,0.21996188981276713,False
DNER,9,EYA2,8,0.016,0.23072479047626016,False
DNER,10,ORM2///ORM1,8,0.016,0.26246067979183,False
SPIC,1,SPIC,104,0.208,1.0,True
SPIC,2,HLF,70,0.14,0.3644799356659645,False
SPIC,3,NMU,34,0.068,0.3217742960655072,False
SPIC,4,CCL17,33,0.066,0.27617173754477936,False
SPIC,5,LOC101930114,22,0.044,0.267314532447351,False
SPIC,6,LOC101929272,20,0.04,0.2790585256792276,False
SPIC,7,MYOCD,19,0.038,0.18854254995430425,False
SPIC,8,NLRP7,17,0.034,0.27709239694960297,False
SPIC,9,PRAME,13,0.026,0.34157868787964796,False
SPIC,10,DNAH8,13,0.026,0.1786186825332437,False
TCL1B,1,TCL1A,155,0.31,0.35299035531786466,False
TCL1B,2,TCL1B,102,0.204,1.0,True
TCL1B,3,DNER,34,0.068,0.17190730724376282,False
TCL1B,4,MYOCD,33,0.066,0.224201699967665,False
TCL1B,5,TNFRSF17,20,0.04,0.26208765081486357,False
TCL1B,6,BTBD16,16,0.032,0.22547250168008726,False
TCL1B,7,CTAG2,16,0.032,0.2553723532698328,False
TCL1B,8,LOC101929272,15,0.03,0.2568072550041433,False
TCL1B,9,MYOT,9,0.018,0.16088443591247414,False
TCL1B,10,ICOS,8,0.016,0.3154310298424527,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,1,JCHAIN,47,0.094,0.23016013008114214,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,2,SPIC,35,0.07,0.2244276264307104,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,3,NMU,34,0.068,0.2579364164534754,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,4,NPIPA5///NPIPB6///NPIPB8///NPIPB3,28,0.056,1.0,True
NPIPA5///NPIPB6///NPIPB8///NPIPB3,5,SPRR1B,22,0.044,0.25385784631326946,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,6,IGHD,21,0.042,0.26175317786862207,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,7,SLN,20,0.04,0.2726577849540942,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,8,MMP1,18,0.036,0.3007707691150311,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,9,FAR2P3///FAR2P2,14,0.028,0.2571495896444494,False
NPIPA5///NPIPB6///NPIPB8///NPIPB3,10,ADIRF,11,0.022,0.38695122499316087,False
EML6,1,TCL1A,121,0.242,0.28787243607741875,False
EML6,2,EML6,110,0.22,1.0,True
EML6,3,LOC283454///HRK,52,0.104,0.25477507706125907,False
EML6,4,NOL4,44,0.088,0.342678965545229,False
EML6,5,LOC101928173,21,0.042,0.35455302496252616,False
EML6,6,DNAH8,20,0.04,0.24085952934985616,False
EML6,7,HTR3A,13,0.026,0.20886641555396326,False
EML6,8,VPREB3,12,0.024,0.33076320695854217,False
EML6,9,RASSF6,12,0.024,0.24372167239090492,False
EML6,10,LOC101929272,11,0.022,0.25655018623883363,False
MMP20,1,DNER,134,0.268,0.36703119473212104,False
MMP20,2,MMP20,134,0.268,1.0,True
MMP20,3,TCL1A,69,0.138,0.31392677271762787,False
MMP20,4,LOC105372840,36,0.072,0.41218305786465637,False
MMP20,5,HTR3A,26,0.052,0.2833968267520533,False
MMP20,6,EYA2,12,0.024,0.2809711991646006,False
MMP20,7,MYOCD,8,0.016,0.22163532503917624,False
MMP20,8,P2RY12,6,0.012,0.31208458719605936,False
MMP20,9,SYT17,5,0.01,0.22640426934986632,False
MMP20,10,LOC101930114,5,0.01,0.23125694204560837,False
KCCAT333,1,KCCAT333,121,0.242,1.0,True
KCCAT333,2,MMP20,55,0.11,0.1653219601771825,False
KCCAT333,3,LOC105375172,54,0.108,0.5693401440241964,False
KCCAT333,4,LOC105372840,29,0.058,0.2049490871216459,False
KCCAT333,5,SYT17,24,0.048,0.14260148381033208,False
KCCAT333,6,HEPACAM2,23,0.046,0.15462620146663253,False
KCCAT333,7,C17orf99,23,0.046,0.2101363320170843,False
KCCAT333,8,LOC101930114,22,0.044,0.21906269672209533,False
KCCAT333,9,SPIC,15,0.03,0.11686969944515929,False
KCCAT333,10,PXDNL,14,0.028,0.1981003195110125,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,1,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,85,0.17,1.0,True
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,2,JCHAIN,51,0.102,0.27746260119744953,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,3,HLF,43,0.086,0.27022809187742786,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,4,IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH,25,0.05,0.7239513378554254,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,5,FDCSP,25,0.05,0.2839178349602553,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,6,IGK///IGKC,18,0.036,0.675565145794321,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,7,IGKV1OR2-108,14,0.028,0.72607631043321,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,8,CCL21,12,0.024,0.4590294485999226,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,9,ICOS,12,0.024,0.2775995957512016,False
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,10,LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH,10,0.02,0.6991101627307813,False
RNF183,1,RNF183,54,0.108,1.0,True
RNF183,2,JCHAIN,44,0.088,0.23530073951939204,False
RNF183,3,LOC283454///HRK,32,0.064,0.1974755331713007,False
RNF183,4,EPHB1,27,0.054,0.24178586016572876,False
RNF183,5,NLRP7,24,0.048,0.2850308082699566,False
RNF183,6,ASMT,21,0.042,0.30394136769791735,False
RNF183,7,MMP12,20,0.04,0.2837353877889871,False
RNF183,8,FHOD3,20,0.04,0.2629736684028664,False
RNF183,9,IL17RB,16,0.032,0.33244112541181414,False
RNF183,10,NMU,15,0.03,0.21993506003305685,False
MYOCD,1,MYOCD,120,0.24,1.0,True
MYOCD,2,EPHB1,33,0.066,0.3841432777226754,False
MYOCD,3,JCHAIN,28,0.056,0.22889706828644044,False
MYOCD,4,BTBD16,21,0.042,0.2681145985084682,False
MYOCD,5,WFDC21P,19,0.038,0.39581976617824227,False
MYOCD,6,MMP20,17,0.034,0.22163532503917616,False
