resample,real_subspace_capture,null_subspace_capture,delta_subspace_capture,real_corr_neighborhood,null_corr_neighborhood,delta_corr_neighborhood,real_exact_overlap,null_exact_overlap,delta_exact_overlap
0,0.34602851062749473,0.19342772879065373,0.152600781836841,0.45854635327487836,0.3240943724798426,0.13445198079503579,0.25,0.0625,0.1875
1,0.286485236684075,0.19915534955163167,0.08732988713244333,0.38076435821439947,0.3819576162485853,-0.0011932580341858512,0.1875,0.0,0.1875
2,0.42530981294368997,0.22298855089944483,0.20232126204424514,0.5342458796848848,0.3923684643663752,0.14187741531850961,0.375,0.0625,0.3125
3,0.3487030300489157,0.21292378502583081,0.13577924502308486,0.48561279855010936,0.36060594753210484,0.12500685101800452,0.25,0.0625,0.1875
4,0.4337974961559708,0.19808265614420345,0.23571484001176735,0.5524878123767833,0.3470917039628914,0.20539610841389194,0.375,0.0625,0.3125
5,0.328674625018482,0.14249010579340676,0.18618451922507523,0.4509738134879137,0.28745458623845055,0.16351922724946316,0.25,0.0,0.25
6,0.3453266458868798,0.23424905825518605,0.11107758763169373,0.4520531539440498,0.3681984795728458,0.08385467437120403,0.25,0.0625,0.1875
7,0.32848662683468516,0.3211349426160591,0.007351684218626031,0.43066512177314253,0.4449556934590582,-0.014290571685915687,0.25,0.25,0.0
8,0.40534507692589233,0.18796446811156842,0.21738060881432392,0.5412594984531256,0.30998539625962207,0.23127410219350353,0.3125,0.0625,0.25
9,0.3697306172043292,0.1325838579336897,0.2371467592706395,0.47689521577981603,0.2637326893754989,0.21316252640431715,0.3125,0.0,0.3125
10,0.33820221754751434,0.11779205593292455,0.2204101616145898,0.45360961267605626,0.24981440823992312,0.20379520443613314,0.25,0.0,0.25
11,0.5429613498598083,0.160345218795338,0.38261613106447023,0.6513688538971111,0.3158318527045184,0.33553700119259267,0.5,0.0,0.5
12,0.29622812733012815,0.17433402416726618,0.12189410316286198,0.4306296579099374,0.28242330896778706,0.14820634894215035,0.1875,0.0625,0.125
13,0.3342269624171772,0.17278250700641276,0.16144445541076444,0.4599424545693263,0.284631664213175,0.17531079035615132,0.25,0.0625,0.1875
14,0.27090334508167613,0.13078847904474222,0.1401148660369339,0.4250501347899926,0.266260393593471,0.15878974119652162,0.1875,0.0,0.1875
15,0.26561033572437076,0.17659719792833298,0.08901313779603778,0.42050856765955147,0.31629390561903875,0.10421466204051272,0.1875,0.0625,0.125
16,0.357041125316492,0.23164279616733807,0.12539832914915394,0.5197569765090271,0.36271775337092227,0.1570392231381048,0.25,0.125,0.125
17,0.30181087279090546,0.17700774293011526,0.1248031298607902,0.42799186903672226,0.32334611459639623,0.10464575444032603,0.1875,0.0625,0.125
18,0.20077235963788415,0.23429706972060244,-0.03352471008271829,0.2973718710593759,0.37562939550329094,-0.07825752444391504,0.125,0.125,0.0
19,0.32653742191876384,0.18128280173425146,0.14525462018451238,0.44423131130568105,0.32717762377015636,0.1170536875355247,0.25,0.0625,0.1875
20,0.2524378483654657,0.15743089745801936,0.09500695090744632,0.39753223470199495,0.2967442156649384,0.10078801903705653,0.125,0.0,0.125
21,0.4313171059207139,0.23942291644082378,0.1918941894798901,0.5622711851809741,0.39249146078296804,0.16977972439800604,0.375,0.125,0.25
22,0.2591619414976609,0.15592801787056165,0.10323392362709927,0.40772799537819115,0.31906642429329435,0.0886615710848968,0.125,0.0,0.125
