comparison,metric,real,null_mean,null_sd,null_q025,null_q975,real_minus_null_mean,empirical_one_sided_p
GSE10846_to_GSE87371,corr_structure_similarity,0.79029767216017,0.6509722039033372,0.11716196229357749,0.38991666085497617,0.8417636631916302,0.13932546825683279,0.1038961038961039
GSE10846_to_GSE87371,top4_eigensubspace_overlap,0.7386957410102502,0.627022485416991,0.0879860209777316,0.45716134118634055,0.7992382844871065,0.11167325559325914,0.0979020979020979
GSE10846_to_GSE87371,top8_eigensubspace_overlap,0.757740776626108,0.7219466905783634,0.05283940960101699,0.6136844298954407,0.8228851124614949,0.03579408604774459,0.24175824175824176
GSE10846_to_GSE87371,eigenvalue_profile_cosine,0.9923447102642822,0.9944052144679624,0.0065027108798722194,0.9802053883042401,0.9990568794166904,-0.0020605042036802024,0.8081918081918081
GSE10846_to_GSE31312,corr_structure_similarity,0.7426166262739119,0.527240073243626,0.14528337983591097,0.21409280992584062,0.7675276556464186,0.2153765530302859,0.04395604395604396
GSE10846_to_GSE31312,top4_eigensubspace_overlap,0.6969383227564309,0.567279537494174,0.08925001972447671,0.3952653949574727,0.7398298754646578,0.12965878526225683,0.07092907092907093
GSE10846_to_GSE31312,top8_eigensubspace_overlap,0.7845565396904148,0.6787333477577109,0.05431322275247215,0.5746535793112353,0.7820460848095878,0.10582319193270395,0.023976023976023976
GSE10846_to_GSE31312,eigenvalue_profile_cosine,0.9966654843647407,0.9832479070468164,0.012324988638208806,0.952934599762765,0.997132927448734,0.013417577317924256,0.03896103896103896
GSE87371_to_GSE31312,corr_structure_similarity,0.7817236428594441,0.5929059123149338,0.12308880882882436,0.3254254845008817,0.8016255298345727,0.18881773054451023,0.04195804195804196
GSE87371_to_GSE31312,top4_eigensubspace_overlap,0.8366741901900403,0.5935527220462407,0.09167409653377442,0.42307526972205106,0.7799389075847515,0.24312146814379965,0.008991008991008992
GSE87371_to_GSE31312,top8_eigensubspace_overlap,0.7191382835222793,0.6845794280630086,0.05391670885864974,0.5827766654705001,0.7835217485075499,0.03455885545927062,0.25774225774225773
GSE87371_to_GSE31312,eigenvalue_profile_cosine,0.9908681220543549,0.9844411183178265,0.00850689500007497,0.9646444910315088,0.9964704212915528,0.0064270037365283805,0.23676323676323677
