null_rep,panel,corr_structure_similarity,eigenvalue_profile_cosine,top4_eigensubspace_overlap,top8_eigensubspace_overlap
1,IYD|ASB5|CHIT1|MMP3|USP9Y|CRYBA4|GGT5|CYB5R2|COL10A1|CD1C|ZNF385B|COMP,0.6855520304365267,0.9955832309977086,0.5942613316061147,0.840162200999059
2,EPCAM|FCAMR|GGT5|DNAJC12|MATN3|SPAG16|ZYG11A|GTSF1|TSIX|COL11A1|KRT13|NPY1R,0.6138678394642294,0.9980697612665128,0.6853105517669686,0.795013034789213
3,KRT6A|WISP2|LTF|MAL2|NLRP7|ZFY|ASPN|LILRA4|TMEM17|PSMA8|MMP3|LEP,0.6230883919391829,0.9976015290579712,0.49228658851133583,0.8464019787156489
4,ASPN|P2RY12|HBB|RAB25|NLRP7|HK3|LILRA3|HIST1H3B|ZPBP2|FABP4|HSF5|GPAT2,0.5962548385317811,0.9970728726271473,0.6060236341409285,0.8667804810714289
5,SOST|TPSB2|DNAH8|FHOD3|SPAG16|NLRP11|C2orf40|COL11A1|EPHB1|LIN28B|MAL2|DDX43,0.6343281459657926,0.9815796527811992,0.6116647183802572,0.8468797659406566
6,TMEM17|SFTA2|SOST|TREM1|AICDA|XIRP2|GOLIM4|CCDC110|S100A8|ABCG5|HLA-DQB1|SPAG16,0.20098828888060502,0.9980493133914722,0.4725238194787912,0.7508729225282174
7,C2CD4A|PPP1R14A|S100A2|DPEP2|LILRA4|CAMP|PKHD1L1|XK|STEAP2|S100A8|MAGEA1|KRT5,0.7477924486973905,0.9966471350101711,0.7786793975038833,0.8030506235493655
8,SMPX|LTF|FSTL5|SMC3|TCL1A|MME|CXCL14|TMEM17|CILP|ICOS|SH3GL2|ASMT,0.375271352465617,0.9842258762008208,0.618595442466537,0.7734119099350176
9,S100Z|PABPC5|CRYBA4|ASPN|HTR2B|INHBA|FCER2|MATN3|CCL17|MME|FOSB|COL11A1,0.8503243200857169,0.9898036778300846,0.7869720381143169,0.8313844123411529
10,CTTNBP2|TNFRSF17|CCR10|ASMT|NTS|TAC1|MATN3|TPSB2|MYOT|MFAP4|FCAMR|GJB2,0.642770849683336,0.9981844158881121,0.7108489092718477,0.7788696851900143
11,FCAMR|LTF|UBASH3A|CILP|STAG3|MMP3|SERPINA9|EEF1A2|GJB2|CXCL14|COMP|SULF1,0.7517129221102594,0.996308537315597,0.7558996022330106,0.8307425050935147
12,S100A2|LRP1B|UMODL1|ASB5|HTR2B|C2orf40|UBASH3A|GPAT2|CTTNBP2|CHI3L1|BEX2|VPREB3,0.5716322421717103,0.9963343154428007,0.44200967191873697,0.8128147914310816
13,IL22RA2|BIK|IYD|ASPN|NLRP4|CYS1|GJB2|LMO2|CHI3L1|SPIC|ASB5|PLA2G2D,0.6136487712361088,0.9934891011558735,0.5639860082302239,0.8242110597210528
14,KLHL13|SFRP4|LRP1B|MAGEB1|MME|ZNF750|ZNF385B|TPSB2|COL10A1|PDGFRL|LTF|TAC1,0.7091058423140248,0.985161971782182,0.6147552925568738,0.8805088558023273
15,TSPAN8|LIPI|HTR2B|LRRN1|HTR3A|ZFY|SYT14|TREM1|CCDC110|SERPINA9|CYS1|CTTNBP2,0.46575180749306294,0.9973776807145275,0.49063053273333934,0.752165338268346
16,SCARA5|ASMT|UMODL1|GPR158|RGL4|STXBP6|CCR10|TMEM17|PLAC8|STAG3|TAGLN3|BIK,0.5824571170318359,0.9980386271394754,0.5334581202969677,0.8161961357680056
17,UHMK1|UGT2B4|ZNF750|CXCL6|CTAG2|KRT13|GTSF1|S100A9|TUBB2B|CCL20|HLA-DQA1|LIN28B,0.44839852130101554,0.989586954724345,0.5872177899331775,0.8546508873007056
18,LTF|LCTL|RGS13|HPDL|LMO2|ZFY|TAGLN3|EPHB1|ORM1|IGSF11|EYA2|PKHD1L1,0.4954709272147973,0.9979179811819129,0.5370492645925954,0.7967673190705025
19,MT1M|DHRS9|CYB5R2|ZNF711|LIN28B|NLRP4|XIRP2|DNAJC12|TMEM17|MAGEB1|ICOS|ASMT,0.7358446317395897,0.9938737327464933,0.699903096771239,0.7651641439839563
20,CCR10|PPP1R14A|ORM1|LILRA3|IGSF11|FHOD3|TAGLN3|KRT14|EPHB1|TSIX|C2orf40|CYB5R2,0.7368990127144572,0.9944373933225455,0.6415518989186506,0.7838847505535536
21,FCER2|VPREB3|CLIP2|FABP4|CAMP|XIRP2|LCTL|FHOD3|ZPBP2|HPDL|TSPAN8|SOX8,0.6576491370326859,0.9945613132303994,0.5660422201596098,0.7814218331184394
22,ORM1|MFAP4|CHI3L1|PLA2G2A|DNAJC12|CRYBA4|HTR2B|SMC3|MAGEB2|HOTAIR|LTF|CPXM1,0.5776993221736287,0.9918105173297548,0.6552173406197856,0.8463042546488659
23,DPEP2|IGSF11|EPYC|C15orf48|SFRP2|CD1C|SPRR1B|CAMP|ZFY|FAM129C|PKHD1L1|LRP1B,0.6184770352813334,0.9922236409964357,0.7155726850162284,0.8883056025091096
24,MYH1|MMP7|MUC16|S100A8|NOL4|CD163|GTSF1|CENPV|PCSK1|CXCL14|CD24|CLGN,0.8424637637599094,0.9944335708056457,0.860774626954468,0.83542284679194
25,SPINK2|MSTN|CD163|MT1M|MME|S100A2|MMP7|COL11A1|SERPINA9|UHMK1|LILRA4|CTTNBP2,0.6781679349141547,0.990148385891625,0.567126538452396,0.8247902237040143
26,CA3|TSPAN8|EIF1AY|ZYG11A|LHX8|ASB5|USP9Y|CHI3L1|NOL4|TMEM17|MMP20|ASMT,0.8128678002202244,0.9923787176946327,0.7023125967025439,0.9194876506241052
27,ABCG5|SOX8|GPM6A|SPAG16|MGST1|UBASH3A|ZFY|HK3|ZBTB32|C1QA|SPIC|CCL21,0.8336356294761321,0.9988692471352429,0.6655257672403023,0.9009269132763926
28,CENPV|EPYC|C3orf67|LMO2|SEC31B|MSTN|IGSF11|INHBA|COL11A1|TSIX|PKHD1L1|FCRL4,0.7461676927293988,0.9955482032814159,0.640520799389384,0.8214652761266571
29,ICOS|BIK|FCAMR|GGT5|MUC16|KCNN3|HBB|CENPV|MMP3|ZNF257|S100A9|ARL14,0.5532070249803767,0.9976554760599748,0.6804553100746489,0.7836684194819192
30,PITX1|CILP|BAIAP2L1|TRPM4|MAMDC4|KCNN3|RNF128|MMP7|CD163|C12orf77|GPAT2|KCNK12,0.6901438635772927,0.9961961493111068,0.6323179076863522,0.7583899268465835
31,PSMA8|RSPH1|UMODL1|C1QB|S100A8|HLA-DQA1|DDX43|MMP7|PROK2|FAM151A|SEC31B|HLF,0.6436656827753041,0.9979894003230191,0.6314583827908953,0.7716063429943574
32,CTTNBP2|SDR16C5|CCL21|SOST|C1QB|TREM1|COL10A1|MLC1|C3orf67|C15orf48|XIRP2|PNMA6A,0.8239996504030627,0.997314937371057,0.669378944725337,0.8634644447815442
33,MMP7|DDX43|TAC1|S100A2|XK|TFPI2|MUC16|ARL14|MGST1|LRRN1|ITIH3|PPP1R14A,0.28966036864248784,0.9975089176349617,0.5235760924148005,0.7554346284409539
34,CNTN3|NLRP7|FHOD3|MAMDC4|CTGF|IL17RB|C16orf74|COL10A1|GJB2|SOST|PITX1|COL11A1,0.8302904106874558,0.9873736806649646,0.5372626764156443,0.7520654073558807
35,UBASH3A|KRT6A|LGALS2|CXCL14|C1QB|EPHA4|MMP12|C4orf22|CRYBA4|KCNN3|S100A8|PDGFRL,0.8153503739749195,0.9932332949170768,0.6610422355558282,0.9333595709962366
36,C12orf77|SPINK2|TCL1A|NOL4|EPCAM|RGL4|ASPN|BIK|CD1C|UBASH3A|FAM151A|HTR2B,0.7504763164553271,0.9916279009094194,0.7543927024307947,0.9164345616326773
37,MAL2|ASMT|MAGEB18|C12orf77|GPAT2|CHIT1|MYH1|MAGEA6|EPYC|NLRP4|IL13RA2|MARCO,0.5715270923577547,0.9968953575467377,0.5721104718090125,0.758862002529322
38,GGT5|GPAT2|INHBA|C1QB|CA3|ASPN|CCR10|EPCAM|TNFRSF17|MT1M|BAIAP2L1|PABPC5,0.5912441036205704,0.9931953310210562,0.6488500031208541,0.8221759633339305
