null_rep,panel,corr_structure_similarity,top4_eigensubspace_overlap,top8_eigensubspace_overlap,eigenvalue_profile_cosine
1,CTTNBP2|BIK|FHOD3|HIST1H1B|EYA2|RNF128|BEX2|ITIH3|VSIG4|MYOT|LOC101927811|RASSF6,0.39580201957826233,0.6496285253862083,0.8136442615217576,0.9971135304000788
2,KCNK12|CETP|MMP3|TMEM158|MIS18BP1|NLRP7|AP3D1|RNF128|MMP1|SACS-AS1|SCARA5|ZPBP2,0.2965856294464347,0.574214668350702,0.7263259447737282,0.9942879414223454
3,LIN28B|CHRM3-AS2|GPM6A|IL17RB|CLGN|FAM111B|COL11A1|ZNF750|ZYG11A|EYA2|TPSB2|PXDNL,0.33946163310775584,0.43299536811689765,0.7060823385317401,0.9956908686837271
4,LINC00877|BIK|ASPN|EPHB1|MARCO|CAMP|WFDC21P|AP3D1|DNER|RASSF6|MAMDC4|CCL22,0.0950469703496798,0.5943108144722464,0.6839195704183281,0.9954395305386295
5,VSIG4|FCER2|CRNDE|OLFM4|HLF|UGT2B17|DNER|CLGN|ORM1|PDGFRL|PPBP|NCKAP5,0.38324033152128945,0.4935050141033195,0.7769123067656158,0.9983557995944716
6,ZNF750|S100Z|ZBTB32|FCER2|SMC3|NPY1R|FCAMR|PROK2|C12orf77|PKHD1L1|UMODL1|HSF5,0.5770460666597672,0.5353592416595476,0.7848421403358514,0.9635699754439827
7,LOC100505878|PLA2G2A|CD74|PRAME|C12orf77|CCDC110|PABPC5|NPY1R|CCL17|CHIT1|PITX1|ORM1,0.33844518170996524,0.5895831663527037,0.7360248249975605,0.9801145306653432
8,ZBTB32|CAMP|MAGEB2|LRRN1|TREM1|ANKRD36BP2|EIF1AY|NME8|SYT17|SPIC|CHI3L1|SDR16C5,0.6043546190454474,0.7713618261536833,0.740874717446801,0.9986726143992365
9,SPIC|GJB2|LINC00877|HK3|GJB6|ASZ1|PITX1|SPINK2|TMEM158|CHI3L1|MFAP4|GTSF1,0.3444901783648613,0.5768984329259669,0.8230075372091352,0.9872916569367282
10,UGT2B17|LOC101930067|SDR16C5|IL13RA2|UMODL1|MMP1|CENPV|EPYC|ASPN|DNAH8|TCL1A|HK3,0.3175712698663441,0.5027338720489016,0.7334234655194007,0.9878609426453491
11,CTAG2|CHIT1|ZYG11A|TREM1|COMP|CHI3L1|LOC100505878|ZNF385B|COL9A3|EPHB1|ASZ1|SOST,0.3595979281725275,0.5597040680390806,0.6690203026144215,0.992543865614036
12,TCL1A|FDCSP|SMC3|IL13RA2|LILRA4|LMO2|BIK|UGT2B17|IGHD|CTTNBP2|CRNDE|CD74,0.3978251096540768,0.6737643773099914,0.7223885340405858,0.9800071690021793
13,EML6|AICDA|KDM5D|SPIC|BEX2|DNER|WISP2|CPXM1|SYT17|ZBTB32|IGHD|CXCL6,0.5378386832847432,0.5969120705666114,0.8282140014754399,0.9977056666769383
14,PLA2G2A|LINC00487|TCL1A|STEAP2|NTS|MAGEB18|SYT14|ASZ1|RNF183|SPIC|C7orf57|MAMDC4,0.4592482305989376,0.6214835776351616,0.7034050418364532,0.9851859920040946
15,OVAAL|LIN28B|KCNH8|INHBA|NLRP7|MYOCD|PKHD1L1|SCARA5|TREM1|IGHV1-69|GPM6A|PITX1,0.6006269403032448,0.6250343664887382,0.7844628192749099,0.983932884967555
16,CHIT1|OVAAL|CTAG2|C16orf74|AICDA|MMP20|FOSB|LEP|ZNF385B|C15orf48|NTS|SFRP2,0.3074832086922941,0.4539506295145961,0.7842408465361772,0.9882284308169169
17,LYPD6B|EPYC|HLF|LHX8|KRT13|ASZ1|UBASH3A|NOL4|CCDC110|IL22RA2|LINC01102|ZYG11A,0.539452595696789,0.576262956834987,0.7660252650707071,0.9921978350666263
18,IL17RB|ABCG5|CD1C|PLAC8|UMODL1|LOC102724689|EPYC|EYA2|MYOT|MFAP4|PABPC5|SMPX,0.3454890920499252,0.526024559187441,0.7589719634588709,0.9885904081614025
19,SFTA3|TPSB2|SOX2-OT|DNER|ZYG11A|AICDA|PKHD1L1|LINC00877|SDR16C5|ADIRF|CHRM3-AS2|LINC01102,0.638232028602326,0.6320189782460615,0.7289004565628706,0.9928412786927223
20,KCNN3|IGHD|ANKRD36BP2|CCDC110|EML6|ZYG11A|CTTNBP2|LINC01021|HMCN1|UHMK1|MMP7|TREM1,0.24332118598767097,0.5410848360824446,0.6563890551742322,0.9935458438843559
