gsm	parsed_label	n_matching_lines	matching_lines
GSM2328918	UNRESOLVED	0	
GSM2328919	UNRESOLVED	0	
GSM2328920	UNRESOLVED	0	
GSM2328921	UNRESOLVED	0	
GSM2328922	UNRESOLVED	0	
GSM2328923	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328924	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328925	UNRESOLVED	0	
GSM2328926	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328927	UNRESOLVED	0	
GSM2328928	UNRESOLVED	0	
GSM2328929	UNRESOLVED	0	
GSM2328930	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328931	UNRESOLVED	0	
GSM2328932	UNRESOLVED	0	
GSM2328933	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328934	UNRESOLVED	0	
GSM2328935	UNRESOLVED	0	
GSM2328936	UNRESOLVED	0	
GSM2328937	UNRESOLVED	0	
GSM2328938	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328939	UNRESOLVED	0	
GSM2328940	UNRESOLVED	0	
GSM2328941	UNRESOLVED	0	
GSM2328942	UNRESOLVED	0	
GSM2328943	UNRESOLVED	0	
GSM2328944	UNRESOLVED	0	
GSM2328945	UNRESOLVED	0	
GSM2328946	UNRESOLVED	0	
GSM2328947	UNRESOLVED	0	
GSM2328948	UNRESOLVED	0	
GSM2328949	UNRESOLVED	0	
GSM2328950	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328951	UNRESOLVED	0	
GSM2328952	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328953	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328954	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328955	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328956	UNRESOLVED	0	
GSM2328957	UNRESOLVED	0	
GSM2328958	UNRESOLVED	0	
GSM2328959	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328960	UNRESOLVED	0	
GSM2328961	UNRESOLVED	0	
GSM2328962	UNRESOLVED	0	
GSM2328963	UNRESOLVED	0	
GSM2328964	UNRESOLVED	0	
GSM2328965	UNRESOLVED	0	
GSM2328966	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328967	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328968	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328969	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2328970	UNRESOLVED	0	
