gsm	parsed_label	matched_line	all_coo_lines
GSM2328918	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328919	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328920	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328921	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328922	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328923	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328924	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328925	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328926	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328927	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328928	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328929	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328930	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328931	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328932	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328933	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328934	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328935	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328936	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328937	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328938	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328939	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328940	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328941	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328942	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328943	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328944	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328945	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328946	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328947	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328948	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328949	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328950	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328951	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328952	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328953	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328954	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328955	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328956	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328957	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328958	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328959	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328960	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328961	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328962	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328963	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328964	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328965	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328966	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328967	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328968	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328969	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328970	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328971	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328972	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328973	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328974	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328975	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328976	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328977	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328978	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328979	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328980	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328981	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328982	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328983	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328984	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328985	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328986	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328987	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328988	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328989	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328990	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328991	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328992	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328993	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328994	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328995	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328996	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328997	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328998	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328999	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
