gsm	parsed_label	matched_line	all_coo_lines
GSM4830213	UNRESOLVED		
GSM4830214	UNRESOLVED		
GSM4830215	UNRESOLVED		
GSM4830216	UNRESOLVED		
GSM4830217	UNRESOLVED		
GSM4830218	UNRESOLVED		
GSM4830219	UNRESOLVED		
GSM4830220	UNRESOLVED		
GSM4830221	UNRESOLVED		
GSM4830222	UNRESOLVED		
GSM4830223	UNRESOLVED		
GSM4830224	UNRESOLVED		
GSM4830225	UNRESOLVED		
GSM4830226	UNRESOLVED		
GSM4830227	UNRESOLVED		
GSM4830228	UNRESOLVED		
GSM4830229	UNRESOLVED		
GSM4830230	UNRESOLVED		
GSM4830231	UNRESOLVED		
GSM4830232	UNRESOLVED		
GSM4830233	UNRESOLVED		
GSM4830234	UNRESOLVED		
GSM4830235	UNRESOLVED		
GSM4830236	UNRESOLVED		
GSM4830237	UNRESOLVED		
GSM4830238	UNRESOLVED		
GSM4830239	UNRESOLVED		
GSM4830240	UNRESOLVED		
GSM4830241	UNRESOLVED		
GSM4830242	UNRESOLVED		
GSM4830243	UNRESOLVED		
GSM4830244	UNRESOLVED		
GSM4830245	UNRESOLVED		
GSM4830246	UNRESOLVED		
GSM4830247	UNRESOLVED		
GSM4830248	UNRESOLVED		
GSM4830249	UNRESOLVED		
GSM4830250	UNRESOLVED		
GSM4830251	UNRESOLVED		
GSM4830252	UNRESOLVED		
GSM4830253	UNRESOLVED		
GSM4830254	UNRESOLVED		
GSM4830255	UNRESOLVED		
GSM4830256	UNRESOLVED		
GSM4830257	UNRESOLVED		
GSM4830258	UNRESOLVED		
GSM4830259	UNRESOLVED		
GSM4830260	UNRESOLVED		
GSM4830261	UNRESOLVED		
GSM4830262	UNRESOLVED		
GSM4830263	UNRESOLVED		
GSM4830264	UNRESOLVED		
GSM4830265	UNRESOLVED		
GSM4830266	UNRESOLVED		
GSM4830267	UNRESOLVED		
GSM4830268	UNRESOLVED		
GSM4830269	UNRESOLVED		
GSM4830270	UNRESOLVED		
GSM4830271	UNRESOLVED		
GSM4830272	UNRESOLVED		
GSM4830273	UNRESOLVED		
GSM4830274	UNRESOLVED		
GSM4830275	UNRESOLVED		
GSM4830276	UNRESOLVED		
GSM4830277	UNRESOLVED		
GSM4830278	UNRESOLVED		
GSM4830279	UNRESOLVED		
GSM4830280	UNRESOLVED		
GSM4830281	UNRESOLVED		
GSM4830282	UNRESOLVED		
GSM4830283	UNRESOLVED		
GSM4830284	UNRESOLVED		
GSM4830285	UNRESOLVED		
GSM4830286	UNRESOLVED		
GSM4830287	UNRESOLVED		
GSM4830288	UNRESOLVED		
GSM4830289	UNRESOLVED		
GSM4830290	UNRESOLVED		
GSM4830291	UNRESOLVED		
GSM4830292	UNRESOLVED		
GSM4830293	UNRESOLVED		
GSM4830294	UNRESOLVED		
GSM4830295	UNRESOLVED		
GSM4830296	UNRESOLVED		
GSM4830297	UNRESOLVED		
GSM4830298	UNRESOLVED		
GSM4830299	UNRESOLVED		
GSM4830300	UNRESOLVED		
GSM4830301	UNRESOLVED		
GSM4830302	UNRESOLVED		
GSM4830303	UNRESOLVED		
GSM4830304	UNRESOLVED		
GSM4830305	UNRESOLVED		
GSM4830306	UNRESOLVED		
GSM4830307	UNRESOLVED		
GSM4830308	UNRESOLVED		
GSM4830309	UNRESOLVED		
GSM4830310	UNRESOLVED		
GSM4830311	UNRESOLVED		
GSM4830312	UNRESOLVED		
GSM4830313	UNRESOLVED		
GSM4830314	UNRESOLVED		
GSM4830315	UNRESOLVED		
GSM4830316	UNRESOLVED		
GSM4830317	UNRESOLVED		
GSM4830318	UNRESOLVED		
GSM4830319	UNRESOLVED		
GSM4830320	UNRESOLVED		
GSM4830321	UNRESOLVED		
GSM4830322	UNRESOLVED		
GSM4830323	UNRESOLVED		
GSM4830324	UNRESOLVED		
GSM4830325	UNRESOLVED		
GSM4830326	UNRESOLVED		
GSM4830327	UNRESOLVED		
GSM4830328	UNRESOLVED		
GSM4830329	UNRESOLVED		
GSM4830330	UNRESOLVED		
GSM4830331	UNRESOLVED		
GSM4830332	UNRESOLVED		
GSM4830333	UNRESOLVED		
GSM4830334	UNRESOLVED		
GSM4830335	UNRESOLVED		
GSM4830336	UNRESOLVED		
GSM4830337	UNRESOLVED		
GSM4830338	UNRESOLVED		
GSM4830339	UNRESOLVED		
GSM4830340	UNRESOLVED		
GSM4830341	UNRESOLVED		
GSM4830342	UNRESOLVED		
GSM4830343	UNRESOLVED		
GSM4830344	UNRESOLVED		
GSM4830345	UNRESOLVED		
GSM4830346	UNRESOLVED		
GSM4830347	UNRESOLVED		
GSM4830348	UNRESOLVED		
GSM4830349	UNRESOLVED		
GSM4830350	UNRESOLVED		
GSM4830351	UNRESOLVED		
GSM4830352	UNRESOLVED		
GSM4830353	UNRESOLVED		
GSM4830354	UNRESOLVED		
GSM4830355	UNRESOLVED		
GSM4830356	UNRESOLVED		
GSM4830357	UNRESOLVED		
