gsm	parsed_label	matched_line	evidence_lines
GSM4830213	UNRESOLVED		!Sample_title = 6UN4FA93
GSM4830214	UNRESOLVED		!Sample_title = DEV10
GSM4830215	UNRESOLVED		!Sample_title = DEV11
GSM4830216	UNRESOLVED		!Sample_title = DEV13
GSM4830217	UNRESOLVED		!Sample_title = DEV14
GSM4830218	UNRESOLVED		!Sample_title = DEV16
GSM4830219	UNRESOLVED		!Sample_title = DEV18
GSM4830220	UNRESOLVED		!Sample_title = DEV19
GSM4830221	UNRESOLVED		!Sample_title = DEV3
GSM4830222	UNRESOLVED		!Sample_title = DEV4
GSM4830223	UNRESOLVED		!Sample_title = DEV5
GSM4830224	UNRESOLVED		!Sample_title = DEV7
GSM4830225	UNRESOLVED		!Sample_title = E0023
GSM4830226	UNRESOLVED		!Sample_title = E0044
GSM4830227	UNRESOLVED		!Sample_title = E0126
GSM4830228	UNRESOLVED		!Sample_title = E0129
GSM4830229	UNRESOLVED		!Sample_title = E0145
GSM4830230	UNRESOLVED		!Sample_title = E0146
GSM4830231	UNRESOLVED		!Sample_title = E0220
GSM4830232	UNRESOLVED		!Sample_title = E0221
GSM4830233	UNRESOLVED		!Sample_title = E0222
GSM4830234	UNRESOLVED		!Sample_title = E0223
GSM4830235	UNRESOLVED		!Sample_title = E0228
GSM4830236	UNRESOLVED		!Sample_title = E0229
GSM4830237	UNRESOLVED		!Sample_title = E0278
GSM4830238	UNRESOLVED		!Sample_title = E0324
GSM4830239	UNRESOLVED		!Sample_title = E0326
GSM4830240	UNRESOLVED		!Sample_title = E0345
GSM4830241	UNRESOLVED		!Sample_title = E0349
GSM4830242	UNRESOLVED		!Sample_title = E0356
GSM4830243	UNRESOLVED		!Sample_title = ILS32144
GSM4830244	UNRESOLVED		!Sample_title = NP14766
GSM4830245	UNRESOLVED		!Sample_title = NP15272
GSM4830246	UNRESOLVED		!Sample_title = NP16361
GSM4830247	UNRESOLVED		!Sample_title = NP16960
GSM4830248	UNRESOLVED		!Sample_title = NP16980
GSM4830249	UNRESOLVED		!Sample_title = R07-1114
GSM4830250	UNRESOLVED		!Sample_title = R09-0660
GSM4830251	UNRESOLVED		!Sample_title = RA98-0715
GSM4830252	UNRESOLVED		!Sample_title = RA98-0727
GSM4830253	UNRESOLVED		!Sample_title = RA99-1655
GSM4830254	UNRESOLVED		!Sample_title = DEV1
GSM4830255	UNRESOLVED		!Sample_title = DEV2
GSM4830256	UNRESOLVED		!Sample_title = DEV8
GSM4830257	UNRESOLVED		!Sample_title = DEV9
GSM4830258	UNRESOLVED		!Sample_title = DEV12
GSM4830259	UNRESOLVED		!Sample_title = DEV15
GSM4830260	UNRESOLVED		!Sample_title = DEV17
GSM4830261	UNRESOLVED		!Sample_title = DEV21
GSM4830262	UNRESOLVED		!Sample_title = DEV22
GSM4830263	UNRESOLVED		!Sample_title = E0061
GSM4830264	UNRESOLVED		!Sample_title = E0071
GSM4830265	UNRESOLVED		!Sample_title = E0110
GSM4830266	UNRESOLVED		!Sample_title = E0111
