geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
0.75,REAL,,2,0.989523320134482,0.02474182587142426,-5.177837151074798,-5.2025789769462225,0.5,1.0,1.0,0.494761660067241,
0.75,CHEM_CISD,,2,0.9731178338586867,0.04181982418634611,-5.160759152759876,-5.2025789769462225,0.5,1.0,0.9925635809221204,0.48655891692934333,1
0.75,CHEM_EN2,,2,0.989523320134482,0.02474182587142426,-5.177837151074798,-5.2025789769462225,0.5,1.0,1.0,0.494761660067241,2
0.75,RANDOM,25043000,2,0.016405486275795324,1.1552684977944425,-4.04731047915178,-5.2025789769462225,0.0,0.0,0.007436419077879568,0.008202743137897662,1
0.75,RANDOM,25043001,2,0.0010710849784235342,2.1198015193233988,-3.0827774576228237,-5.2025789769462225,0.0,0.0,0.0006316485346949488,0.0005355424892117671,0
0.75,RANDOM,25043002,2,1.3691020386022069e-06,1.447731925590499,-3.7548470513557235,-5.2025789769462225,0.0,0.0,6.170767166004211e-07,6.845510193011034e-07,0
0.75,RANDOM,25043003,2,0.0021406265027825878,0.5816315869463642,-4.620947389999858,-5.2025789769462225,0.0,0.0,0.000965531109052911,0.0010703132513912939,0
0.75,RANDOM,25043004,2,1.1904379210384726e-32,2.5869780537991978,-2.6156009231470247,-5.2025789769462225,0.0,0.0,0.0,5.952189605192363e-33,0
0.75,RANDOM,25043005,2,2.905501063651059e-32,2.0267241577736312,-3.1758548191725913,-5.2025789769462225,0.0,0.0,0.0,1.4527505318255294e-32,0
0.75,RANDOM,25043006,2,1.4028525964410822e-29,0.5816315869463642,-4.620947389999858,-5.2025789769462225,0.0,0.0,0.0,7.014262982205411e-30,0
0.75,RANDOM,25043007,2,1.4229063289712485e-29,0.5723112160568968,-4.630267760889326,-5.2025789769462225,0.0,0.0,0.0,7.114531644856243e-30,0
0.75,RANDOM,25043008,2,1.3691020386022069e-06,3.2709683642656415,-1.9316106126805812,-5.2025789769462225,0.0,0.0,9.780434558798034e-07,6.845510193011034e-07,0
0.75,RANDOM,25043009,2,2.6025785458086932e-33,2.6354275157491975,-2.567151461197025,-5.2025789769462225,0.0,0.0,0.0,1.3012892729043466e-33,0
0.75,RANDOM,25043010,2,0.0021406456634288766,2.2963262295321214,-2.906252747414101,-5.2025789769462225,0.0,0.0,0.0015303392371416407,0.0010703228317144383,0
0.75,RANDOM,25043011,2,0.0005642825252076029,2.0659694888665485,-3.136609488079674,-5.2025789769462225,0.0,0.0,0.0004031843491763384,0.00028214126260380146,0
0.75,REAL,,4,0.9940097475542857,0.015001254255438745,-5.187577722690784,-5.2025789769462225,0.25,1.0,1.0,0.24850243688857143,
0.75,CHEM_CISD,,4,0.9731544305560612,0.041819824186344334,-5.160759152759878,-5.2025789769462225,0.25,1.0,0.9910905417476241,0.2432886076390153,1
0.75,CHEM_EN2,,4,0.9940097475542857,0.015001254255438745,-5.187577722690784,-5.2025789769462225,0.25,1.0,1.0,0.24850243688857143,4
0.75,RANDOM,25043000,4,0.016405486275795324,0.5803979358747791,-4.6221810410714435,-5.2025789769462225,0.0,0.0,0.007425298639550574,0.004101371568948831,1
0.75,RANDOM,25043001,4,0.0015778874316394482,2.093004575152641,-3.1095744017935814,-5.2025789769462225,0.0,0.0,0.0007864218246759979,0.00039447185790986205,0
0.75,RANDOM,25043002,4,1.3691020386022069e-06,1.4304093677111336,-3.772169609235089,-5.2025789769462225,0.0,0.0,6.161539386478411e-07,3.422755096505517e-07,0
0.75,RANDOM,25043003,4,0.0029999222468532747,0.5816315869463642,-4.620947389999858,-5.2025789769462225,0.0,0.0,0.0012299461420346616,0.0007499805617133187,0
0.75,RANDOM,25043004,4,2.2243839943779755e-32,1.4331887223741857,-3.769390254572037,-5.2025789769462225,0.0,0.0,0.0,5.560959985944939e-33,0
